Table 13,,,,,,,,,,,,,,,,
Crime Trends,,,,,,,,,,,,,,,,
"by Suburban and Nonsuburban Cities1 by Population Group, 2006–2007",,,,,,,,,,,,,,,,
Population group,,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,"Larceny-
theft",Motor vehicle theft,Arson,"Number
of 
agencies",2007 estimated population,,,
TOTAL SUBURBAN CITIES:,2006.0,143728.0,1252.0,11400.0,39221.0,91855.0,1488270.0,279362.0,1081711.0,127197.0,8998.0,,,,,
,2007.0,144249.0,1229.0,11050.0,39678.0,92292.0,1469831.0,277257.0,1076411.0,116163.0,8402.0,5431.0,49703618.0,,,
,Percent change,0.4,-1.8,-3.1,1.2,0.5,-1.2,-0.8,-0.5,-8.7,-6.6,,,,,
"GROUP IV (25,000 to 49,999)",2006.0,54716.0,506.0,3871.0,17171.0,33168.0,526212.0,101450.0,370540.0,54222.0,3138.0,,,,,
,2007.0,54689.0,516.0,3911.0,17372.0,32890.0,521796.0,101046.0,371960.0,48790.0,2999.0,534.0,18132178.0,,,
,Percent change,*,2.0,1.0,1.2,-0.8,-0.8,-0.4,0.4,-10.0,-4.4,,,,,
"GROUP V (10,000 to 24,999)",2006.0,50374.0,467.0,4197.0,14036.0,31674.0,522422.0,100794.0,376667.0,44961.0,3119.0,,,,,
,2007.0,51559.0,451.0,4045.0,14392.0,32671.0,517543.0,99754.0,376435.0,41354.0,2891.0,1187.0,18983351.0,,,
,Percent change,2.4,-3.4,-3.6,2.5,3.1,-0.9,-1.0,-0.1,-8.0,-7.3,,,,,
"GROUP VI (under 10,000)",2006.0,38638.0,279.0,3332.0,8014.0,27013.0,439636.0,77118.0,334504.0,28014.0,2741.0,,,,,
,2007.0,38001.0,262.0,3094.0,7914.0,26731.0,430492.0,76457.0,328016.0,26019.0,2512.0,3710.0,12588089.0,,,
,Percent change,-1.6,-6.1,-7.1,-1.2,-1.0,-2.1,-0.9,-1.9,-7.1,-8.4,,,,,
TOTAL NONSUBURBAN CITIES:,2006.0,95757.0,839.0,8977.0,19168.0,66773.0,873414.0,179061.0,646599.0,47754.0,5396.0,,,,,
,2007.0,96157.0,878.0,8592.0,19270.0,67417.0,861386.0,176898.0,639239.0,45249.0,5213.0,3408.0,21448706.0,,,
,Percent change,0.4,4.6,-4.3,0.5,1.0,-1.4,-1.2,-1.1,-5.2,-3.4,,,,,
"GROUP IV (25,000 to 49,999)",2006.0,39240.0,358.0,3616.0,10401.0,24865.0,326913.0,66928.0,239057.0,20928.0,2234.0,,,,,
,2007.0,38329.0,359.0,3356.0,10206.0,24408.0,317819.0,65429.0,232580.0,19810.0,2103.0,190.0,6807434.0,,,
,Percent change,-2.3,0.3,-7.2,-1.9,-1.8,-2.8,-2.2,-2.7,-5.3,-5.9,,,,,
"GROUP V (10,000 to 24,999)",2006.0,27878.0,245.0,2767.0,5427.0,19439.0,276223.0,56645.0,205413.0,14165.0,1505.0,,,,,
,2007.0,28610.0,268.0,2634.0,5606.0,20102.0,277313.0,56991.0,206917.0,13405.0,1544.0,409.0,6375750.0,,,
,Percent change,2.6,9.4,-4.8,3.3,3.4,0.4,0.6,0.7,-5.4,2.6,,,,,
"GROUP VI (under 10,000)",2006.0,28639.0,236.0,2594.0,3340.0,22469.0,270278.0,55488.0,202129.0,12661.0,1657.0,,,,,
,2007.0,29218.0,251.0,2602.0,3458.0,22907.0,266254.0,54478.0,199742.0,12034.0,1566.0,2809.0,8265522.0,,,
,Percent change,2.0,6.4,0.3,3.5,1.9,-1.5,-1.8,-1.2,-5.0,-5.5,,,,,
"1 Suburban cities include law enforcement agencies in cities with less than 50,000 inhabitants that are within a Metropolitan Statistical Area.  Suburban cities exclude all metropolitan agencies associated with a principal city.  Nonsuburban cities include law enforcement agencies in cities with less than 50,000 inhabitants that are not associated with a Metropolitan Statistical Area.",,,,,,,,,,,,,,,,
* Less than one-tenth of 1 percent.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
