Table 81,,,,,
MISSOURI,,,,,
Full-time Law Enforcement Employees,,,,,
"by State, Tribal, and Other Agencies, 2017",,,,,
State/Tribal/Other,Agency,Unit/Office,"Total law
enforcement
employees","Total
officers","Total
civilians"
State Agencies,Capitol Police,,31.0,28.0,3.0
,Department of Conservation,,201.0,197.0,4.0
,Department of Revenue,Compliance and Investigation Bureau,15.0,12.0,3.0
,Department of Social Services,State Technical Assistance Team,10.0,9.0,1.0
,Division of Alcohol and Tobacco Control,,32.0,21.0,11.0
,Gaming Commission,Enforcement Division,120.0,117.0,3.0
,State Fire Marshal,,24.0,22.0,2.0
,State Park Rangers,,42.0,40.0,2.0
Other Agencies,Clay County Drug Task Force,,4.0,4.0,0.0
,Clay County Park Authority,,6.0,6.0,0.0
,Jackson County Drug Task Force,,16.0,15.0,1.0
,Jackson County Park Rangers,,22.0,20.0,2.0
,Kansas City International Airport,,65.0,34.0,31.0
,Lambert-St. Louis International Airport,,80.0,63.0,17.0
,Springfield-Branson Airport,,11.0,11.0,0.0
,Springfield-Greene County Park Rangers,,7.0,7.0,0.0
,St. Charles County Park Rangers,,12.0,12.0,0.0
,Terminal Railroad,,6.0,6.0,0.0
