State,"Total
murders1","Total
firearms",Handguns,Rifles,Shotguns,"Firearms
(type
unknown)","Knives or
cutting
instruments","Other
weapons","Hands, fists,
feet, etc.2"
Alabama3,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Alaska,62.0,37.0,7.0,3.0,3.0,24.0,13.0,8.0,4.0
Arizona,404.0,249.0,162.0,8.0,9.0,70.0,50.0,93.0,12.0
Arkansas,250.0,168.0,92.0,11.0,4.0,61.0,23.0,52.0,7.0
California,1830.0,1274.0,886.0,37.0,34.0,317.0,258.0,195.0,103.0
Colorado,218.0,137.0,88.0,7.0,4.0,38.0,37.0,22.0,22.0
Connecticut,102.0,72.0,30.0,0.0,1.0,41.0,11.0,9.0,10.0
Delaware,52.0,44.0,20.0,0.0,1.0,23.0,3.0,4.0,1.0
District of Columbia,116.0,90.0,89.0,0.0,0.0,1.0,15.0,5.0,6.0
Georgia,672.0,542.0,490.0,15.0,5.0,32.0,37.0,85.0,8.0
Hawaii,39.0,4.0,1.0,1.0,0.0,2.0,9.0,10.0,16.0
Idaho,28.0,13.0,8.0,4.0,1.0,0.0,6.0,3.0,6.0
Illinois3,814.0,693.0,596.0,24.0,3.0,70.0,53.0,50.0,18.0
Indiana,360.0,291.0,147.0,14.0,6.0,124.0,20.0,39.0,10.0
Iowa,100.0,57.0,25.0,1.0,5.0,26.0,18.0,18.0,7.0
Kansas,129.0,79.0,44.0,4.0,7.0,24.0,16.0,26.0,8.0
Kentucky,263.0,192.0,128.0,6.0,6.0,52.0,25.0,33.0,13.0
Louisiana,566.0,460.0,216.0,23.0,12.0,209.0,46.0,42.0,18.0
Maine,23.0,12.0,4.0,0.0,0.0,8.0,3.0,4.0,4.0
Maryland,475.0,370.0,339.0,5.0,3.0,23.0,44.0,50.0,11.0
Massachusetts,170.0,99.0,34.0,0.0,0.0,65.0,36.0,29.0,6.0
Michigan,567.0,381.0,185.0,13.0,12.0,171.0,55.0,101.0,30.0
Minnesota,113.0,69.0,58.0,1.0,2.0,8.0,14.0,23.0,7.0
Mississippi,149.0,111.0,90.0,4.0,3.0,14.0,12.0,20.0,6.0
Missouri,596.0,514.0,224.0,22.0,8.0,260.0,25.0,48.0,9.0
Montana,41.0,17.0,10.0,2.0,1.0,4.0,12.0,5.0,7.0
Nebraska,43.0,31.0,27.0,2.0,2.0,0.0,4.0,5.0,3.0
Nevada,270.0,201.0,16.0,58.0,0.0,127.0,28.0,30.0,11.0
New Hampshire,14.0,7.0,4.0,0.0,1.0,2.0,5.0,1.0,1.0
New Jersey,324.0,242.0,175.0,7.0,4.0,56.0,42.0,29.0,11.0
New Mexico,113.0,71.0,20.0,2.0,0.0,49.0,20.0,19.0,3.0
New York,547.0,292.0,233.0,6.0,9.0,44.0,113.0,91.0,51.0
North Carolina,547.0,413.0,279.0,9.0,26.0,99.0,33.0,64.0,37.0
North Dakota,9.0,5.0,2.0,1.0,0.0,2.0,1.0,2.0,1.0
Ohio,682.0,485.0,226.0,5.0,11.0,243.0,46.0,128.0,23.0
Oklahoma,239.0,163.0,131.0,5.0,5.0,22.0,25.0,32.0,19.0
Oregon,100.0,58.0,34.0,2.0,2.0,20.0,17.0,22.0,3.0
Pennsylvania,735.0,567.0,452.0,11.0,8.0,96.0,63.0,73.0,32.0
Rhode Island,20.0,8.0,1.0,0.0,0.0,7.0,4.0,5.0,3.0
South Carolina,387.0,312.0,183.0,11.0,8.0,110.0,29.0,36.0,10.0
South Dakota,21.0,8.0,6.0,0.0,0.0,2.0,7.0,2.0,4.0
Tennessee,525.0,407.0,271.0,19.0,11.0,106.0,42.0,64.0,12.0
Texas,1364.0,1012.0,594.0,40.0,26.0,352.0,156.0,131.0,65.0
Utah,73.0,46.0,32.0,0.0,3.0,11.0,7.0,12.0,8.0
Vermont,14.0,6.0,1.0,0.0,0.0,5.0,6.0,1.0,1.0
Virginia,453.0,338.0,156.0,11.0,11.0,160.0,44.0,54.0,17.0
Washington,228.0,134.0,75.0,1.0,1.0,57.0,36.0,40.0,18.0
West Virginia,79.0,45.0,25.0,4.0,4.0,12.0,8.0,23.0,3.0
Wisconsin,186.0,149.0,111.0,4.0,2.0,32.0,11.0,17.0,9.0
Wyoming,14.0,6.0,5.0,0.0,0.0,1.0,3.0,3.0,2.0
Guam,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
