Population group,Population range,,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson,Number of agencies,"2007 
estimated 
population"
"METROPOLITAN
COUNTIES","100,000 and over",2006.0,155300.0,1878.0,9342.0,42110.0,101970.0,1050601.0,251325.0,668294.0,130982.0,8602.0,,
,,2007.0,152999.0,1838.0,9007.0,43267.0,98887.0,1050740.0,256150.0,671329.0,123261.0,7739.0,146.0,38948161.0
,,Percent change,-1.5,-2.1,-3.6,2.7,-3.0,*,1.9,0.5,-5.9,-10.0,,
,"25,000 to 99,999",2006.0,45436.0,564.0,4360.0,5050.0,35462.0,390918.0,112733.0,244041.0,34144.0,3004.0,,
,,2007.0,45719.0,606.0,4443.0,5122.0,35548.0,384357.0,110650.0,241899.0,31808.0,2912.0,413.0,21176497.0
,,Percent change,0.6,7.4,1.9,1.4,0.2,-1.7,-1.8,-0.9,-6.8,-3.1,,
,"Under 25,000",2006.0,16705.0,209.0,1646.0,2258.0,12592.0,130005.0,29509.0,75459.0,25037.0,1799.0,,
,,2007.0,16118.0,218.0,1502.0,2023.0,12375.0,127666.0,29002.0,75760.0,22904.0,1579.0,1088.0,4136915.0
,,Percent change,-3.5,4.3,-8.7,-10.4,-1.7,-1.8,-1.7,0.4,-8.5,-12.2,,
"NONMETROPOLITAN
COUNTIES","25,000 and over",2006.0,22254.0,315.0,2186.0,2065.0,17688.0,187556.0,61657.0,111182.0,14717.0,1556.0,,
,,2007.0,23237.0,312.0,2374.0,2080.0,18471.0,190268.0,63634.0,111945.0,14689.0,1424.0,278.0,11004275.0
,,Percent change,4.4,-1.0,8.6,0.7,4.4,1.4,3.2,0.7,-0.2,-8.5,,
,"10,000 to 24,999",2006.0,15781.0,237.0,1532.0,999.0,13013.0,124804.0,40955.0,74167.0,9682.0,1205.0,,
,,2007.0,16103.0,241.0,1465.0,1035.0,13362.0,125168.0,40646.0,75070.0,9452.0,1112.0,550.0,8888530.0
,,Percent change,2.0,1.7,-4.4,3.6,2.7,0.3,-0.8,1.2,-2.4,-7.7,,
,"Under 10,000",2006.0,8542.0,154.0,1306.0,352.0,6730.0,64803.0,19981.0,39157.0,5665.0,949.0,,
,,2007.0,8630.0,130.0,1362.0,351.0,6787.0,63175.0,19237.0,38553.0,5385.0,981.0,1312.0,3794269.0
,,Percent change,1.0,-15.6,4.3,-0.3,0.8,-2.5,-3.7,-1.5,-4.9,3.4,,
