Offense charged,"Total all
ages","Ages under
15","Ages
under 18",Ages 18 and over,"Under
10",10-12,13-14,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,"65 and
over",,
Murder and nonnegligent manslaughter,8383.0,57.0,660.0,7723.0,0.0,6.0,51.0,96.0,195.0,312.0,434.0,481.0,428.0,415.0,388.0,393.0,388.0,1525.0,1049.0,755.0,459.0,332.0,279.0,191.0,104.0,102.0,,
Rape2,17781.0,1103.0,2918.0,14863.0,23.0,290.0,790.0,489.0,652.0,674.0,745.0,765.0,614.0,584.0,490.0,481.0,515.0,2210.0,2054.0,1849.0,1296.0,1060.0,862.0,614.0,375.0,349.0,,
Robbery,63470.0,2573.0,13692.0,49778.0,13.0,354.0,2206.0,2824.0,3821.0,4474.0,4571.0,4014.0,3330.0,2700.0,2524.0,2385.0,2244.0,9603.0,6374.0,4352.0,2630.0,2124.0,1585.0,900.0,304.0,138.0,,
Aggravated assault,234134.0,5179.0,16286.0,217848.0,141.0,1442.0,3596.0,2914.0,3690.0,4503.0,5412.0,5871.0,6452.0,7259.0,7574.0,7981.0,8182.0,41178.0,34340.0,28141.0,18719.0,15798.0,13050.0,9431.0,4667.0,3793.0,,
Burglary,127010.0,6701.0,21389.0,105621.0,178.0,1456.0,5067.0,4478.0,4928.0,5282.0,5832.0,5189.0,4640.0,4191.0,4134.0,4213.0,4227.0,20522.0,16444.0,12776.0,7692.0,6392.0,4728.0,2971.0,1132.0,538.0,,
Larceny-theft,444542.0,17709.0,58792.0,385750.0,362.0,4122.0,13225.0,11410.0,13978.0,15695.0,17574.0,15457.0,13639.0,12865.0,12745.0,13131.0,13730.0,69516.0,58801.0,46756.0,31006.0,28876.0,23932.0,15897.0,7179.0,4646.0,,
Motor vehicle theft,55535.0,2412.0,10443.0,45092.0,9.0,305.0,2098.0,2422.0,2833.0,2776.0,2630.0,2186.0,1825.0,1793.0,1819.0,1876.0,1879.0,9272.0,7491.0,5680.0,3341.0,2472.0,1568.0,858.0,286.0,116.0,,
Arson,5747.0,860.0,1510.0,4237.0,52.0,292.0,516.0,273.0,224.0,153.0,188.0,151.0,130.0,133.0,147.0,132.0,131.0,683.0,613.0,530.0,350.0,347.0,276.0,228.0,114.0,84.0,,
Violent crime3,323768.0,8912.0,33556.0,290212.0,177.0,2092.0,6643.0,6323.0,8358.0,9963.0,11162.0,11131.0,10824.0,10958.0,10976.0,11240.0,11329.0,54516.0,43817.0,35097.0,23104.0,19314.0,15776.0,11136.0,5450.0,4382.0,,
Violent crime percent distribution1,100.0,2.8,10.4,89.6,0.1,0.6,2.1,2.0,2.6,3.1,3.4,3.4,3.3,3.4,3.4,3.5,3.5,16.8,13.5,10.8,7.1,6.0,4.9,3.4,1.7,1.4,,
