City,Population,"Total law
enforcement
employees","Total 
officers","Total 
civilians"
Bethany Beach,1218.0,11.0,10.0,1.0
Blades,1404.0,3.0,3.0,0.0
Bridgeville,2345.0,7.0,7.0,0.0
Camden,3492.0,9.0,8.0,1.0
Cheswold,1435.0,4.0,4.0,0.0
Dagsboro,895.0,3.0,3.0,0.0
Delaware City,1750.0,5.0,4.0,1.0
Delmar,1794.0,14.0,13.0,1.0
Dewey Beach,386.0,10.0,8.0,2.0
Dover,38084.0,139.0,98.0,41.0
Ellendale,430.0,1.0,1.0,0.0
Elsmere,6102.0,13.0,9.0,4.0
Felton,1426.0,3.0,3.0,0.0
Fenwick Island,434.0,7.0,6.0,1.0
Georgetown,7338.0,25.0,20.0,5.0
Greenwood,1105.0,5.0,3.0,2.0
Harrington,3699.0,14.0,13.0,1.0
Laurel,4238.0,18.0,17.0,1.0
Lewes,3131.0,14.0,13.0,1.0
Middletown,21213.0,38.0,32.0,6.0
Milford,11223.0,41.0,30.0,11.0
Millsboro,4366.0,16.0,15.0,1.0
Milton,2932.0,9.0,8.0,1.0
Newark,33722.0,88.0,70.0,18.0
New Castle,5362.0,18.0,17.0,1.0
Newport,1049.0,9.0,8.0,1.0
Ocean View,2117.0,10.0,9.0,1.0
Rehoboth Beach,1516.0,28.0,17.0,11.0
Seaford,7880.0,36.0,25.0,11.0
Selbyville,2466.0,7.0,6.0,1.0
Smyrna,11593.0,30.0,23.0,7.0
South Bethany,518.0,8.0,7.0,1.0
Wilmington,71552.0,364.0,300.0,64.0
Wyoming,1516.0,3.0,3.0,0.0
