State,City,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson1
CALIFORNIA,Adelanto,28719.0,153.0,5.0,7.0,33.0,108.0,758.0,354.0,308.0,96.0,11.0
,Agoura Hills,22966.0,49.0,0.0,3.0,9.0,37.0,348.0,76.0,254.0,18.0,6.0
,Alameda,70445.0,205.0,2.0,9.0,106.0,88.0,1976.0,304.0,1427.0,245.0,17.0
,Albany,15889.0,45.0,0.0,3.0,33.0,9.0,776.0,173.0,474.0,129.0,3.0
,Alhambra,87729.0,285.0,1.0,8.0,192.0,84.0,2120.0,426.0,1301.0,393.0,16.0
,Aliso Viejo,41691.0,31.0,1.0,5.0,8.0,17.0,526.0,88.0,405.0,33.0,2.0
,Alturas,2924.0,5.0,1.0,0.0,0.0,4.0,90.0,28.0,58.0,4.0,2.0
,American Canyon,17053.0,51.0,3.0,1.0,14.0,33.0,433.0,100.0,283.0,50.0,2.0
,Anaheim,335133.0,1423.0,17.0,96.0,581.0,729.0,8798.0,1827.0,5695.0,1276.0,41.0
,Anderson,10629.0,45.0,1.0,4.0,3.0,37.0,438.0,107.0,310.0,21.0,3.0
,Antioch,101973.0,860.0,10.0,27.0,411.0,412.0,3122.0,1027.0,1146.0,949.0,50.0
,Apple Valley,71211.0,269.0,2.0,22.0,78.0,167.0,1902.0,535.0,1117.0,250.0,16.0
,Arcadia,56967.0,156.0,2.0,9.0,71.0,74.0,1704.0,375.0,1183.0,146.0,1.0
,Arcata,16929.0,51.0,0.0,4.0,10.0,37.0,524.0,146.0,353.0,25.0,
,Arroyo Grande,16485.0,26.0,0.0,8.0,3.0,15.0,366.0,46.0,300.0,20.0,1.0
,Artesia,16607.0,86.0,1.0,4.0,43.0,38.0,345.0,98.0,183.0,64.0,5.0
,Arvin,15228.0,105.0,0.0,2.0,25.0,78.0,643.0,146.0,397.0,100.0,30.0
,Atascadero,27465.0,106.0,1.0,11.0,8.0,86.0,565.0,140.0,400.0,25.0,18.0
,Atherton,7307.0,12.0,0.0,0.0,2.0,10.0,205.0,34.0,167.0,4.0,2.0
,Atwater,27762.0,103.0,1.0,8.0,22.0,72.0,1021.0,260.0,681.0,80.0,8.0
,Auburn,13072.0,49.0,0.0,2.0,5.0,42.0,373.0,72.0,260.0,41.0,2.0
,Avalon,3325.0,39.0,0.0,2.0,5.0,32.0,162.0,41.0,82.0,39.0,1.0
,Avenal,17175.0,44.0,0.0,2.0,8.0,34.0,133.0,44.0,76.0,13.0,
,Azusa,47403.0,206.0,1.0,11.0,56.0,138.0,1273.0,207.0,818.0,248.0,8.0
,Bakersfield,318743.0,1961.0,15.0,41.0,629.0,1276.0,16058.0,3537.0,9853.0,2668.0,91.0
,Baldwin Park,78943.0,281.0,8.0,15.0,105.0,153.0,1914.0,392.0,814.0,708.0,16.0
,Banning,30163.0,209.0,1.0,11.0,50.0,147.0,769.0,295.0,367.0,107.0,0.0
,Barstow,23957.0,337.0,3.0,21.0,72.0,241.0,1209.0,402.0,621.0,186.0,15.0
,Bear Valley,4567.0,1.0,0.0,0.0,0.0,1.0,28.0,13.0,14.0,1.0,0.0
,Beaumont,30093.0,46.0,0.0,0.0,20.0,26.0,660.0,125.0,415.0,120.0,0.0
,Bell,37420.0,175.0,3.0,14.0,82.0,76.0,581.0,171.0,231.0,179.0,
,Bellflower,74544.0,507.0,5.0,25.0,244.0,233.0,2524.0,539.0,1297.0,688.0,13.0
,Bell Gardens,45451.0,218.0,6.0,19.0,81.0,112.0,862.0,198.0,322.0,342.0,4.0
,Belmont,24605.0,24.0,0.0,6.0,6.0,12.0,357.0,57.0,260.0,40.0,9.0
,Belvedere,2065.0,1.0,0.0,0.0,0.0,1.0,22.0,6.0,13.0,3.0,0.0
,Benicia,26544.0,57.0,1.0,5.0,22.0,29.0,475.0,153.0,260.0,62.0,13.0
,Berkeley,101343.0,639.0,5.0,24.0,431.0,179.0,7116.0,1172.0,4949.0,995.0,29.0
,Beverly Hills,35133.0,157.0,0.0,15.0,81.0,61.0,1169.0,284.0,833.0,52.0,4.0
,Big Bear Lake,6276.0,42.0,0.0,7.0,4.0,31.0,286.0,95.0,169.0,22.0,1.0
,Biggs,1802.0,22.0,0.0,1.0,1.0,20.0,41.0,11.0,23.0,7.0,0.0
,Bishop,3566.0,30.0,0.0,0.0,4.0,26.0,178.0,40.0,132.0,6.0,0.0
,Blue Lake,1110.0,4.0,0.0,1.0,0.0,3.0,61.0,18.0,39.0,4.0,1.0
,Blythe,22696.0,99.0,1.0,6.0,17.0,75.0,593.0,212.0,349.0,32.0,24.0
,Bradbury,1067.0,0.0,0.0,0.0,0.0,0.0,13.0,5.0,7.0,1.0,0.0
,Brawley,22666.0,64.0,1.0,5.0,23.0,35.0,1162.0,368.0,677.0,117.0,11.0
,Brea,39041.0,77.0,0.0,4.0,40.0,33.0,1513.0,207.0,1194.0,112.0,7.0
,Brentwood,52238.0,124.0,0.0,9.0,44.0,71.0,1271.0,259.0,880.0,132.0,27.0
,Brisbane,3575.0,10.0,0.0,0.0,3.0,7.0,129.0,22.0,94.0,13.0,0.0
,Broadmoor,4345.0,16.0,0.0,1.0,5.0,10.0,77.0,36.0,28.0,13.0,3.0
,Buellton,4345.0,11.0,0.0,1.0,2.0,8.0,100.0,19.0,74.0,7.0,1.0
,Buena Park,79890.0,317.0,3.0,12.0,131.0,171.0,2058.0,419.0,1122.0,517.0,29.0
,Burbank,104871.0,274.0,3.0,14.0,98.0,159.0,2767.0,487.0,1840.0,440.0,18.0
,Burlingame,27489.0,57.0,1.0,4.0,21.0,31.0,848.0,127.0,631.0,90.0,6.0
,Calabasas,22693.0,16.0,2.0,1.0,7.0,6.0,393.0,79.0,286.0,28.0,2.0
,Calexico,38928.0,94.0,0.0,1.0,27.0,66.0,1278.0,365.0,336.0,577.0,7.0
,California City,13443.0,61.0,1.0,4.0,10.0,46.0,301.0,143.0,143.0,15.0,6.0
,Calimesa,7528.0,8.0,1.0,0.0,5.0,2.0,204.0,57.0,120.0,27.0,0.0
,Calipatria,7743.0,0.0,0.0,0.0,0.0,0.0,16.0,8.0,4.0,4.0,0.0
,Calistoga,5217.0,23.0,0.0,1.0,5.0,17.0,128.0,21.0,101.0,6.0,0.0
,Camarillo,63238.0,94.0,0.0,8.0,22.0,64.0,1062.0,205.0,794.0,63.0,9.0
,Campbell,37429.0,101.0,1.0,8.0,30.0,62.0,1514.0,232.0,1058.0,224.0,23.0
