State,Agency,Total law enforcement employees,"Total 
officers Male",Female,"Total 
civilians Male",Female,,
ALABAMA,Department of Public Safety,1385.0,678.0,14.0,193.0,500.0,,
,Other state agencies,236.0,179.0,13.0,7.0,37.0,,
ALASKA,State Troopers,552.0,319.0,15.0,98.0,120.0,,
,Other state agencies,10.0,5.0,0.0,2.0,3.0,,
ARIZONA,Department of Public Safety,2109.0,1146.0,68.0,386.0,509.0,,
,Other state agencies,70.0,29.0,2.0,22.0,17.0,,
ARKANSAS,Other state agencies,48.0,34.0,3.0,5.0,6.0,,
CALIFORNIA,Highway Patrol,10975.0,6854.0,615.0,1571.0,1935.0,,
,Other state agencies,911.0,655.0,183.0,15.0,58.0,,
COLORADO,State Patrol,964.0,678.0,48.0,63.0,175.0,,
,Other state agencies,76.0,15.0,2.0,33.0,26.0,,
CONNECTICUT,State Police,1821.0,1180.0,82.0,263.0,296.0,,
,Other state agencies,34.0,26.0,1.0,5.0,2.0,,
DELAWARE,State Police,916.0,603.0,74.0,107.0,132.0,,
,Other state agencies,654.0,285.0,94.0,59.0,216.0,,
FLORIDA,Highway Patrol,2189.0,1457.0,187.0,177.0,368.0,,
,Other state agencies,3206.0,1355.0,171.0,572.0,1108.0,,
GEORGIA,Department of Public Safety,1830.0,1030.0,54.0,348.0,398.0,,
,Other state agencies,1178.0,241.0,46.0,340.0,551.0,,
IDAHO,State Police,458.0,256.0,12.0,52.0,138.0,,
ILLINOIS,State Police,4247.0,1858.0,215.0,812.0,1362.0,,
,Other state agencies,419.0,248.0,22.0,90.0,59.0,,
INDIANA,State Police,1952.0,1154.0,61.0,310.0,427.0,,
,Other state agencies,7.0,6.0,0.0,0.0,1.0,,
IOWA,Department of Public Safety,981.0,624.0,45.0,134.0,178.0,,
KANSAS,Highway Patrol,846.0,523.0,18.0,113.0,192.0,,
,Other state agencies,549.0,283.0,13.0,98.0,155.0,,
KENTUCKY,State Police,1753.0,947.0,31.0,398.0,377.0,,
,Other state agencies,571.0,465.0,12.0,46.0,48.0,,
LOUISIANA,State Police,1708.0,1156.0,49.0,124.0,379.0,,
,Other state agencies,57.0,43.0,3.0,0.0,11.0,,
MAINE,State Police,545.0,276.0,23.0,130.0,116.0,,
,Other state agencies1,78.0,47.0,2.0,18.0,11.0,,
MARYLAND,State Police,2258.0,1339.0,114.0,453.0,352.0,,
,Other state agencies,1642.0,877.0,127.0,307.0,331.0,,
MASSACHUSETTS,State Police,3006.0,2282.0,192.0,229.0,303.0,,
MICHIGAN,State Police,2612.0,1531.0,203.0,374.0,504.0,,
MINNESOTA,State Patrol,760.0,475.0,45.0,133.0,107.0,,
,Other state agencies,55.0,10.0,1.0,36.0,8.0,,
MISSISSIPPI,Highway Safety Patrol,1121.0,552.0,9.0,175.0,385.0,,
MISSOURI,State Highway Patrol,2033.0,901.0,31.0,487.0,614.0,,
,Other state agencies,598.0,516.0,36.0,12.0,34.0,,
MONTANA,Highway Patrol,255.0,216.0,12.0,8.0,19.0,,
,Other state agencies,24.0,21.0,0.0,0.0,3.0,,
NEBRASKA,State Patrol,738.0,461.0,29.0,101.0,147.0,,
NEVADA,Highway Patrol,884.0,445.0,48.0,114.0,277.0,,
,Other state agencies,62.0,34.0,2.0,11.0,15.0,,
NEW HAMPSHIRE,State Police,446.0,269.0,26.0,51.0,100.0,,
,Other state agencies,35.0,17.0,4.0,5.0,9.0,,
NEW JERSEY,State Police,4514.0,2883.0,115.0,719.0,797.0,,
,Other state agencies,438.0,332.0,29.0,46.0,31.0,,
,Port Authority of New York and New Jersey2,995.0,830.0,87.0,21.0,57.0,,
NEW MEXICO,State Police,650.0,500.0,21.0,39.0,90.0,,
NEW YORK,State Police,6092.0,4499.0,424.0,500.0,669.0,,
,Other state agencies,17.0,14.0,1.0,0.0,2.0,,
NORTH CAROLINA,Highway Patrol,2255.0,1684.0,43.0,283.0,245.0,,
,Other state agencies,700.0,496.0,64.0,57.0,83.0,,
NORTH DAKOTA,Highway Patrol,187.0,125.0,4.0,27.0,31.0,,
OHIO,Highway Patrol,2702.0,1404.0,164.0,514.0,620.0,,
,Other state agencies,474.0,344.0,21.0,38.0,71.0,,
OKLAHOMA,Department of Public Safety,1463.0,790.0,16.0,282.0,375.0,,
,Other state agencies,66.0,29.0,3.0,21.0,13.0,,
OREGON,State Police,872.0,483.0,47.0,120.0,222.0,,
,Other state agencies,54.0,31.0,13.0,0.0,10.0,,
PENNSYLVANIA,State Police,6612.0,4680.0,212.0,765.0,955.0,,
,Other state agencies,389.0,247.0,26.0,95.0,21.0,,
RHODE ISLAND,State Police,265.0,196.0,19.0,32.0,18.0,,
,Other state agencies,43.0,31.0,4.0,6.0,2.0,,
SOUTH CAROLINA,Highway Patrol,1125.0,857.0,30.0,88.0,150.0,,
,Other state agencies1,1333.0,860.0,158.0,104.0,211.0,,
SOUTH DAKOTA,Highway Patrol,251.0,146.0,2.0,81.0,22.0,,
,Other state agencies,144.0,41.0,3.0,37.0,63.0,,
TENNESSEE,Department of Safety,1803.0,866.0,40.0,248.0,649.0,,
,Other state agencies,1097.0,586.0,84.0,128.0,299.0,,
TEXAS,Department of Public Safety,7917.0,3286.0,201.0,1516.0,2914.0,,
UTAH,Highway Patrol,584.0,454.0,20.0,26.0,84.0,,
,Other state agencies,154.0,135.0,11.0,4.0,4.0,,
VERMONT,State Police,453.0,285.0,25.0,43.0,100.0,,
,Other state agencies,113.0,90.0,5.0,4.0,14.0,,
VIRGINIA,State Police,2653.0,1867.0,106.0,211.0,469.0,,
,Other state agencies,538.0,288.0,46.0,88.0,116.0,,
WASHINGTON,State Patrol,2267.0,984.0,80.0,589.0,614.0,,
WEST VIRGINIA,State Police,993.0,621.0,18.0,129.0,225.0,,
,Other state agencies,194.0,168.0,1.0,2.0,23.0,,
WISCONSIN,State Patrol,666.0,435.0,53.0,80.0,98.0,,
,Other state agencies,267.0,214.0,19.0,14.0,20.0,,
WYOMING,Highway Patrol,346.0,186.0,7.0,66.0,87.0,,
