Age,Total,,Sex Male,Female,Unknown,Race White,Black,IND,ASN,Other,Unknown,,Age,Total,TOTAL,Sex Male,Female,Unknown,Race White,Black,Other,Unknown
,,,,,,,,,,,,,Under 182,1370.0,1370.0,930.0,434.0,6.0,694.0,617.0,34.0,25.0
Under 182,1370.0,1370.0,930.0,434.0,6.0,694.0,617.0,14.0,20.0,34.0,25.0,,Under 222,3414.0,3414.0,2670.0,737.0,7.0,1557.0,1724.0,94.0,39.0
Under 222,3414.0,3414.0,2670.0,737.0,7.0,1557.0,1724.0,35.0,59.0,94.0,39.0,,18 and over2,12536.0,12536.0,9916.0,2614.0,6.0,6150.0,5942.0,328.0,116.0
18 and over2,12536.0,12536.0,9916.0,2614.0,6.0,6150.0,5942.0,103.0,225.0,328.0,116.0,,Infant (under 1),176.0,176.0,85.0,88.0,3.0,110.0,53.0,4.0,9.0
,,,,,,,,,,,,,1 to 4,331.0,331.0,180.0,148.0,3.0,185.0,130.0,8.0,8.0
BB,143.0,143.0,69.0,74.0,0.0,97.0,41.0,3.0,0.0,3.0,2.0,,5 to 8,73.0,73.0,34.0,39.0,0.0,43.0,29.0,0.0,1.0
NB,33.0,33.0,16.0,14.0,3.0,13.0,12.0,0.0,1.0,1.0,7.0,,9 to 12,81.0,81.0,48.0,33.0,0.0,41.0,35.0,4.0,1.0
UNK,258.0,258.0,175.0,60.0,23.0,124.0,74.0,2.0,2.0,4.0,56.0,,13 to 16,413.0,413.0,326.0,87.0,0.0,179.0,218.0,10.0,6.0
1,153.0,153.0,80.0,71.0,2.0,89.0,54.0,0.0,4.0,4.0,6.0,,17 to 19,1244.0,1244.0,1064.0,180.0,0.0,556.0,649.0,37.0,2.0
2,78.0,78.0,44.0,33.0,1.0,46.0,29.0,1.0,1.0,2.0,1.0,,20 to 24,2635.0,2635.0,2292.0,342.0,1.0,1077.0,1470.0,64.0,24.0
3,53.0,53.0,32.0,21.0,,29.0,23.0,,1.0,1.0,0.0,,25 to 29,2140.0,2140.0,1836.0,304.0,0.0,888.0,1196.0,37.0,19.0
