Offense charged,Number of persons arrested Total all ages 1998.0,2007.0,Percent change,Under 18 years of age 1998.0,2007.0,Percent change,18 years of age and over 1998.0,2007.0,Percent change,,,
Murder and nonnegligent manslaughter,8232.0,7301.0,-11.3,983.0,753.0,-23.4,7249.0,6548.0,-9.7,,,
Forcible rape,17148.0,13212.0,-23.0,2975.0,2034.0,-31.6,14173.0,11178.0,-21.1,,,
Robbery,68353.0,72355.0,5.9,18439.0,19550.0,6.0,49914.0,52805.0,5.8,,,
Aggravated assault,290851.0,257464.0,-11.5,42358.0,33314.0,-21.4,248493.0,224150.0,-9.8,,,
Burglary,195696.0,182552.0,-6.7,70171.0,48903.0,-30.3,125525.0,133649.0,6.5,,,
Larceny-theft,791085.0,689037.0,-12.9,258540.0,175561.0,-32.1,532545.0,513476.0,-3.6,,,
Motor vehicle theft,80925.0,62766.0,-22.4,29882.0,15289.0,-48.8,51043.0,47477.0,-7.0,,,
Arson,10055.0,9094.0,-9.6,5407.0,4391.0,-18.8,4648.0,4703.0,1.2,,,
Violent crime2,384584.0,350332.0,-8.9,64755.0,55651.0,-14.1,319829.0,294681.0,-7.9,,,
Property crime2,1077761.0,943449.0,-12.5,364000.0,244144.0,-32.9,713761.0,699305.0,-2.0,,,
Other assaults,768038.0,754280.0,-1.8,138780.0,138795.0,*,629258.0,615485.0,-2.2,,,
Forgery and counterfeiting,67870.0,58832.0,-13.3,4250.0,1699.0,-60.0,63620.0,57133.0,-10.2,,,
Fraud,213800.0,147985.0,-30.8,6066.0,4480.0,-26.1,207734.0,143505.0,-30.9,,,
Embezzlement,11115.0,14065.0,26.5,1018.0,1072.0,5.3,10097.0,12993.0,28.7,,,
"Stolen property; buying, receiving, possessing",78371.0,72904.0,-7.0,19869.0,13230.0,-33.4,58502.0,59674.0,2.0,,,
Vandalism,173617.0,168815.0,-2.8,75418.0,64927.0,-13.9,98199.0,103888.0,5.8,,,
"Weapons; carrying, possessing, etc.",109533.0,106080.0,-3.2,26395.0,24328.0,-7.8,83138.0,81752.0,-1.7,,,
Prostitution and commercialized vice,50082.0,39081.0,-22.0,743.0,785.0,5.7,49339.0,38296.0,-22.4,,,
Sex offenses (except forcible rape and prostitution),52527.0,45871.0,-12.7,9531.0,8106.0,-15.0,42996.0,37765.0,-12.2,,,
Drug abuse violations,878355.0,1033203.0,17.6,116352.0,109444.0,-5.9,762003.0,923759.0,21.2,,,
Gambling,5067.0,3289.0,-35.1,495.0,360.0,-27.3,4572.0,2929.0,-35.9,,,
Offenses against the family and children,85823.0,71305.0,-16.9,5765.0,3095.0,-46.3,80058.0,68210.0,-14.8,,,
Driving under the influence,803030.0,788864.0,-1.8,11917.0,9867.0,-17.2,791113.0,778997.0,-1.5,,,
Liquor laws,375009.0,332231.0,-11.4,94257.0,74948.0,-20.5,280752.0,257283.0,-8.4,,,
Drunkenness,468796.0,410583.0,-12.4,15964.0,11518.0,-27.9,452832.0,399065.0,-11.9,,,
Disorderly conduct,387534.0,358428.0,-7.5,101767.0,104380.0,2.6,285767.0,254048.0,-11.1,,,
Vagrancy,17994.0,16388.0,-8.9,1805.0,2719.0,50.6,16189.0,13669.0,-15.6,,,
All other offenses (except traffic),2185863.0,2267145.0,3.7,266238.0,207224.0,-22.2,1919625.0,2059921.0,7.3,,,
Suspicion,3463.0,1299.0,-62.5,903.0,255.0,-71.8,2560.0,1044.0,-59.2,,,
Curfew and loitering law violations,104976.0,73217.0,-30.3,104976.0,73217.0,-30.3,-,-,-,,,
Runaways,97320.0,61850.0,-36.4,97320.0,61850.0,-36.4,-,-,-,,,
