University/College,Campus,Student enrollment1,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson2,,
Allan Hancock College,,12321.0,1.0,0.0,0.0,0.0,1.0,21.0,7.0,14.0,0.0,0.0,,
California State Polytechnic University:,Pomona,20510.0,2.0,0.0,1.0,1.0,0.0,224.0,26.0,169.0,29.0,1.0,,
,San Luis Obispo,18722.0,2.0,0.0,0.0,1.0,1.0,127.0,7.0,115.0,5.0,,,
California State University:,Bakersfield,7711.0,2.0,0.0,0.0,1.0,1.0,115.0,31.0,74.0,10.0,0.0,,
,Channel Islands,3123.0,1.0,0.0,0.0,0.0,1.0,38.0,4.0,34.0,0.0,0.0,,
,Chico,16250.0,13.0,0.0,5.0,3.0,5.0,255.0,28.0,226.0,1.0,2.0,,
,Dominguez Hills,12068.0,10.0,0.0,2.0,3.0,5.0,103.0,18.0,63.0,22.0,0.0,,
,East Bay,12706.0,3.0,0.0,0.0,2.0,1.0,105.0,15.0,80.0,10.0,0.0,,
,Fresno,22098.0,10.0,0.0,0.0,4.0,6.0,347.0,59.0,275.0,13.0,1.0,,
,Fullerton,35921.0,7.0,0.0,2.0,3.0,2.0,197.0,45.0,128.0,24.0,1.0,,
,Long Beach,35574.0,7.0,0.0,1.0,2.0,4.0,200.0,19.0,154.0,27.0,0.0,,
,Los Angeles,20565.0,6.0,0.0,2.0,1.0,3.0,232.0,23.0,175.0,34.0,0.0,,
,Monterey Bay,3818.0,6.0,1.0,1.0,0.0,4.0,113.0,33.0,71.0,9.0,1.0,,
,Northridge,34560.0,15.0,0.0,5.0,5.0,5.0,266.0,30.0,223.0,13.0,0.0,,
,Sacramento,28529.0,4.0,0.0,2.0,0.0,2.0,252.0,42.0,192.0,18.0,1.0,,
,San Bernardino,16479.0,7.0,0.0,1.0,2.0,4.0,130.0,28.0,91.0,11.0,0.0,,
,San Jose3,,12.0,0.0,3.0,7.0,2.0,384.0,35.0,344.0,5.0,3.0,,
,Stanislaus,8374.0,2.0,0.0,0.0,0.0,2.0,54.0,5.0,45.0,4.0,0.0,,
College of the Sequoias,,9959.0,0.0,0.0,0.0,0.0,0.0,64.0,34.0,27.0,3.0,0.0,,
Contra Costa Community College,,6870.0,16.0,0.0,0.0,14.0,2.0,198.0,6.0,172.0,20.0,,,
Cuesta College,,10578.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,11.0,1.0,0.0,,
El Camino College,,23488.0,8.0,0.0,0.0,8.0,0.0,171.0,22.0,116.0,33.0,2.0,,
Foothill-De Anza College,,39874.0,2.0,0.0,0.0,1.0,1.0,73.0,31.0,41.0,1.0,0.0,,
Fresno Community College,,22040.0,5.0,0.0,0.0,3.0,2.0,189.0,8.0,146.0,35.0,1.0,,
Humboldt State University,,7435.0,3.0,0.0,1.0,2.0,0.0,122.0,14.0,107.0,1.0,0.0,,
Marin Community College,,6512.0,2.0,0.0,0.0,0.0,2.0,45.0,6.0,39.0,0.0,1.0,,
Pasadena Community College,,25873.0,12.0,0.0,0.0,10.0,2.0,197.0,0.0,181.0,16.0,1.0,,
Reedley Community College,,11782.0,0.0,0.0,0.0,0.0,0.0,39.0,2.0,37.0,0.0,0.0,,
Riverside Community College,,29486.0,3.0,0.0,1.0,0.0,2.0,133.0,7.0,118.0,8.0,0.0,,
San Bernardino Community College,,12090.0,5.0,0.0,2.0,1.0,2.0,77.0,21.0,44.0,12.0,0.0,,
San Diego State University,,33441.0,33.0,0.0,9.0,8.0,16.0,585.0,85.0,393.0,107.0,,,
San Francisco State University,,29628.0,10.0,0.0,1.0,4.0,5.0,317.0,59.0,233.0,25.0,1.0,,
San Jose/Evergreen Community College,,18164.0,0.0,0.0,0.0,0.0,0.0,79.0,10.0,63.0,6.0,2.0,,
Santa Rosa Junior College,,24806.0,0.0,0.0,0.0,0.0,0.0,86.0,10.0,72.0,4.0,0.0,,
Sonoma State University,,8274.0,4.0,0.0,1.0,2.0,1.0,122.0,20.0,101.0,1.0,0.0,,
University of California:,Berkeley,33920.0,48.0,0.0,7.0,27.0,14.0,842.0,89.0,737.0,16.0,11.0,,
,Davis,29628.0,10.0,0.0,0.0,0.0,10.0,716.0,85.0,623.0,8.0,3.0,,
,Hastings College of Law,1272.0,8.0,0.0,0.0,6.0,2.0,29.0,15.0,13.0,1.0,,,
,Irvine,25230.0,7.0,0.0,3.0,1.0,3.0,486.0,54.0,419.0,13.0,1.0,,
,Los Angeles,36611.0,38.0,0.0,5.0,13.0,20.0,955.0,227.0,686.0,42.0,1.0,,
,"Medical Center, Sacramento3",,6.0,0.0,0.0,1.0,5.0,185.0,21.0,157.0,7.0,1.0,,
,Merced,1286.0,1.0,0.0,0.0,0.0,1.0,19.0,3.0,16.0,0.0,0.0,,
,Riverside,16875.0,10.0,0.0,0.0,8.0,2.0,317.0,51.0,247.0,19.0,7.0,,
,San Diego,26247.0,5.0,0.0,1.0,2.0,2.0,471.0,56.0,373.0,42.0,4.0,,
,San Francisco,2943.0,3.0,0.0,0.0,1.0,2.0,404.0,30.0,355.0,19.0,,,
,Santa Barbara,21082.0,13.0,0.0,5.0,0.0,8.0,498.0,36.0,459.0,3.0,1.0,,
,Santa Cruz,15364.0,8.0,0.0,3.0,1.0,4.0,243.0,40.0,198.0,5.0,7.0,,
Ventura County Community College District,,11757.0,2.0,0.0,0.0,1.0,1.0,112.0,1.0,110.0,1.0,2.0,,
West Valley-Mission College,,18740.0,0.0,0.0,0.0,0.0,0.0,66.0,6.0,57.0,3.0,0.0,,
