Offense charged,Total all ages,"Ages
under 15",Ages under 18,"Ages 18
and over","Under
10",10-12,13-14,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65 and over
Murder and nonnegligent manslaughter,3095.0,19.0,273.0,2822.0,0.0,2.0,17.0,36.0,89.0,129.0,226.0,181.0,164.0,168.0,180.0,129.0,146.0,520.0,292.0,221.0,205.0,157.0,103.0,59.0,42.0,29.0
Forcible rape,6176.0,338.0,1008.0,5168.0,4.0,80.0,254.0,159.0,228.0,283.0,319.0,303.0,297.0,265.0,226.0,203.0,176.0,807.0,645.0,632.0,509.0,361.0,194.0,109.0,56.0,66.0
Robbery,27190.0,1414.0,6982.0,20208.0,27.0,197.0,1190.0,1389.0,1858.0,2321.0,2655.0,2157.0,1644.0,1354.0,1128.0,978.0,891.0,3212.0,1885.0,1575.0,1268.0,880.0,349.0,157.0,47.0,28.0
Aggravated assault,115349.0,4944.0,15968.0,99381.0,203.0,1222.0,3519.0,2989.0,3779.0,4256.0,4676.0,4491.0,4275.0,4487.0,4212.0,3922.0,3902.0,17333.0,12405.0,11576.0,10684.0,8318.0,4737.0,2250.0,1084.0,1029.0
Burglary,84443.0,6705.0,22900.0,61543.0,234.0,1412.0,5059.0,4618.0,5344.0,6233.0,6789.0,5390.0,4375.0,3540.0,3022.0,2741.0,2417.0,9840.0,6420.0,5931.0,5123.0,3491.0,1566.0,573.0,231.0,94.0
Larceny-theft,340518.0,25953.0,86689.0,253829.0,707.0,5387.0,19859.0,17229.0,20696.0,22811.0,22474.0,18037.0,14479.0,12368.0,10955.0,9698.0,8959.0,37754.0,27101.0,27179.0,25689.0,19113.0,10682.0,5068.0,2313.0,1960.0
Motor vehicle theft,26932.0,1323.0,6303.0,20629.0,7.0,138.0,1178.0,1533.0,1728.0,1719.0,1701.0,1408.0,1263.0,1047.0,1053.0,896.0,917.0,3753.0,2563.0,2314.0,1805.0,1113.0,488.0,168.0,86.0,54.0
Arson,4853.0,1384.0,2422.0,2431.0,120.0,433.0,831.0,434.0,337.0,267.0,241.0,176.0,135.0,116.0,103.0,81.0,67.0,342.0,269.0,228.0,246.0,185.0,121.0,63.0,32.0,26.0
Violent crime3,151810.0,6715.0,24231.0,127579.0,234.0,1501.0,4980.0,4573.0,5954.0,6989.0,7876.0,7132.0,6380.0,6274.0,5746.0,5232.0,5115.0,21872.0,15227.0,14004.0,12666.0,9716.0,5383.0,2575.0,1229.0,1152.0
Violent crime percent distribution2,100.0,4.4,16.0,84.0,0.2,1.0,3.3,3.0,3.9,4.6,5.2,4.7,4.2,4.1,3.8,3.4,3.4,14.4,10.0,9.2,8.3,6.4,3.5,1.7,0.8,0.8
Property crime3,456746.0,35365.0,118314.0,338432.0,1068.0,7370.0,26927.0,23814.0,28105.0,31030.0,31205.0,25011.0,20252.0,17071.0,15133.0,13416.0,12360.0,51689.0,36353.0,35652.0,32863.0,23902.0,12857.0,5872.0,2662.0,2134.0
Property crime percent distribution2,100.0,7.7,25.9,74.1,0.2,1.6,5.9,5.2,6.2,6.8,6.8,5.5,4.4,3.7,3.3,2.9,2.7,11.3,8.0,7.8,7.2,5.2,2.8,1.3,0.6,0.5
Other assaults,372393.0,29562.0,76049.0,296344.0,933.0,7614.0,21015.0,15064.0,16446.0,14977.0,12678.0,11990.0,11558.0,12419.0,12005.0,11367.0,11347.0,49787.0,38332.0,37641.0,34319.0,26203.0,14042.0,6569.0,3184.0,2903.0
Forgery and counterfeiting,30360.0,127.0,1024.0,29336.0,8.0,25.0,94.0,135.0,244.0,518.0,1002.0,1369.0,1323.0,1216.0,1246.0,1229.0,1264.0,5757.0,4325.0,3811.0,3085.0,2028.0,1001.0,426.0,162.0,92.0
Fraud,88486.0,338.0,2293.0,86193.0,16.0,51.0,271.0,351.0,544.0,1060.0,1965.0,2637.0,2839.0,2780.0,2915.0,2871.0,3092.0,14666.0,13226.0,12827.0,10552.0,7566.0,4361.0,2110.0,1058.0,728.0
Embezzlement,6299.0,25.0,466.0,5833.0,1.0,8.0,16.0,32.0,135.0,274.0,432.0,441.0,389.0,336.0,316.0,249.0,239.0,888.0,635.0,591.0,567.0,340.0,237.0,103.0,45.0,25.0
"Stolen property; buying, receiving,  possessing",36651.0,1632.0,6629.0,30022.0,22.0,252.0,1358.0,1331.0,1705.0,1961.0,2317.0,2060.0,1830.0,1566.0,1405.0,1345.0,1228.0,5227.0,3630.0,3164.0,2787.0,1837.0,960.0,388.0,169.0,109.0
Vandalism,85621.0,13850.0,34818.0,50803.0,639.0,3537.0,9674.0,6847.0,7082.0,7039.0,5998.0,4691.0,3473.0,3224.0,2792.0,2312.0,2094.0,7928.0,4879.0,4298.0,3689.0,2782.0,1404.0,613.0,342.0,284.0
"Weapons; carrying, possessing, etc.",47877.0,4394.0,12359.0,35518.0,242.0,1138.0,3014.0,2322.0,2645.0,2998.0,3237.0,2804.0,2351.0,2230.0,2079.0,1756.0,1600.0,6121.0,3559.0,2837.0,2403.0,1988.0,1218.0,680.0,335.0,320.0
Prostitution and commercialized vice,6126.0,18.0,137.0,5989.0,0.0,4.0,14.0,23.0,40.0,56.0,189.0,234.0,222.0,236.0,208.0,225.0,197.0,972.0,734.0,830.0,795.0,565.0,289.0,138.0,72.0,83.0
Sex offenses (except forcible rape and prostitution),23328.0,2397.0,4885.0,18443.0,140.0,650.0,1607.0,829.0,825.0,834.0,955.0,925.0,795.0,752.0,669.0,579.0,547.0,2492.0,1978.0,2104.0,2055.0,1658.0,1083.0,721.0,522.0,608.0
Drug abuse violations,493774.0,8365.0,58272.0,435502.0,99.0,880.0,7386.0,9677.0,15958.0,24272.0,35190.0,33850.0,29394.0,26003.0,23281.0,20679.0,19312.0,75829.0,46166.0,39488.0,35824.0,27853.0,14361.0,5595.0,1803.0,874.0
Gambling,1224.0,28.0,121.0,1103.0,3.0,2.0,23.0,25.0,40.0,28.0,39.0,42.0,49.0,28.0,40.0,29.0,36.0,123.0,134.0,109.0,127.0,107.0,69.0,62.0,63.0,46.0
Offenses against the family and children,50682.0,608.0,2176.0,48506.0,32.0,121.0,455.0,412.0,578.0,578.0,803.0,841.0,980.0,1120.0,1189.0,1342.0,1524.0,8363.0,8270.0,8341.0,7175.0,4770.0,2307.0,904.0,371.0,206.0
Driving under the influence,496340.0,93.0,6173.0,490167.0,18.0,8.0,67.0,228.0,1389.0,4463.0,11272.0,15511.0,17442.0,24837.0,24451.0,23587.0,22771.0,88689.0,58699.0,52442.0,50211.0,44075.0,27956.0,15278.0,7446.0,5500.0
