identificador,Barrio,direccion,horario,guardia,telefono
1295,ARAVACA,"CL BLANCA DE CASTILLA,  11",9:30 a 9:30,1,913576914
601,ARAVACA,"AV EUROPA, 30 (ARAVACA)",9:30 a 23:00,0,913513312
2619,ARAVACA,"AV VICTORIA, S/N CEN COM SEXTA AVENIDA",9:30 a 23:00,0,913728818
1198,ARAVACA,"AV VALDEMARIN, 165 LC 4-2",9:30 a 23:00,0,913070836
19,BARAJAS-ALAMEDA DE OSUNA,"AV GENERAL,   1 (BARAJAS)",9:30 a 23:00,0,913054120
677,BARAJAS-ALAMEDA DE OSUNA,"CL AUTOGIRO,   2 ESQ. CL ALAR DEL REY",9:30 a 23:00,0,913676575
2514,BARAJAS-ALAMEDA DE OSUNA,AEROPUERTO BARAJAS TERMINAL 1 LLEGADAS SALA 2,7:00 a 23:00,0,913055203
657,BARAJAS-ALAMEDA DE OSUNA,T4 AEROPUERTO BARAJAS LC.T2.15,7:00 a 23:00,0,913338357
1326,BARAJAS-ALAMEDA DE OSUNA,AEROPUERTO BARAJAS BULEVAR TERMINAL T2 (Antiguo Terminal Nacional),7:00 a 23:00,0,913054623
2274,CARABANCHEL-LATINA,"AV LOS POBLADOS,  58 C.C.PLAZA ALUCHE LC B1-B2",9:30 a 9:30,1,915094389
367,CARABANCHEL-LATINA,"PS EXTREMADURA, 124",9:30 a 9:30,1,914631194
1248,CARABANCHEL-LATINA,"CL OCA,  17 (Metro Oporto-salida Oca)",9:30 a 23:00,0,914714773
1358,CARABANCHEL-LATINA,"AV PADRE PIQUER,   8 (Metro Campamento)",9:30 a 23:00,0,917113442
1301,CARABANCHEL-LATINA,"CL LAS CUEVAS DE ALTAMIRA,  27-29 POR C/P. HUMA.10 (Poblado Dirigido Fuencarral)",9:30 a 23:00,0,915083485
913,CENTRO,"PS ACACIAS,  69 (Esquina Glorieta Piramides)",9:30 a 9:30,1,914744782
331,CENTRO,"CL MAYOR,  13",9:30 a 9:30,1,913664616
46,CENTRO,"PZ DEL ANGEL,  14 (Entre Pz Benavente y Santa Ana)",9:30 a 9:30,1,913692318
350,CENTRO,"CL TOLEDO,  46 (Metro La Latina)",9:30 a 23:00,0,913653458
95,CHAMARTIN-HORTALEZA,"AV MACHUPICHU,  37 LC 2 Y 3",9:30 a 9:30,1,913887588
624,CHAMARTIN-HORTALEZA,"PZ SAGRADOS CORAZONES,   4 (Esquina a C. Espina, 5)",9:30 a 9:30,1,915649284
694,CHAMARTIN-HORTALEZA,"CL COSTA RICA,  28",9:30 a 23:00,0,913593649
535,CHAMBERI-MONCLOA,"CL ELOY GONZALO,  31",9:30 a 9:30,1,914489932
136,CHAMBERI-MONCLOA,"CL CEA BERMUDEZ,  15",9:30 a 9:30,1,915335849
525,CHAMBERI-MONCLOA,"CL PRINCESA,  30",9:30 a 23:00,0,915423388
287,CHAMBERI-MONCLOA,"CL PRINCESA,  72 (Esq.Hilarion Eslava)",9:30 a 23:00,0,915439463
509,CHAMBERI-MONCLOA,"CL BLASCO DE GARAY,   5 (Semiesquina Alberto Aguilera)",9:30 a 23:00,0,915474731
55,CHAMBERI-MONCLOA,"CL FERRAZ,  13",9:30 a 23:00,0,915470572
589,CIUDAD LINEAL-SAN BLAS,"CL ALCALA, 321",9:30 a 9:30,1,914511284
886,CIUDAD LINEAL-SAN BLAS,"CL HERMANOS GARCIA NOBLEJAS,  21",9:30 a 9:30,1,914080164
1077,CIUDAD LINEAL-SAN BLAS,"AV DONOSTIARRA,  22 (Barrio Concepcion)",9:30 a 9:30,1,914039654
286,CIUDAD LINEAL-SAN BLAS,"CL SAN ROMUALDO,  51",9:30 a 23:00,0,913759068
743,CIUDAD LINEAL-SAN BLAS,"CL SAN TELESFORO,  45-47",9:30 a 23:00,0,913043416
967,CIUDAD LINEAL-SAN BLAS,"CL ARTURO SORIA, 142 (Entrada General Ricardos, 163 - Metro Oporto)",9:30 a 23:00,0,915106511
1289,FUENCARRAL-BARRIO DEL PILAR,"CL MARIA MAEZTU,146 C/A C/LEONOR LOPEZ CORDOBA,S/N",9:30 a 9:30,1,913487208
1870,FUENCARRAL-BARRIO DEL PILAR,"AV BETANZOS,  61 LC 416 TDA 3 (Barrio del Pilar)",9:30 a 9:30,1,913862393
1867,FUENCARRAL-BARRIO DEL PILAR,"CL ISLA DE AROSA,  21 (C/V SANTIAGO COMPOSTELA)",9:30 a 23:00,0,917385940
641,MORATALAZ,"CL FUENTE CARRANTONA,  29",9:30 a 9:30,1,915616041
751,PUEBLO DE VALLECAS,"CL PUENTEDEY, 10 (.)",9:30 a 9:30,1,914944536
1890,PUEBLO DE VALLECAS,"CL REAL DE ARGANDA,  40 (Vallecas Villa)",9:30 a 9:30,1,913013297
139,PUEBLO DE VALLECAS,"PS FEDERICO GARCIA LORCA,  19 (Antes A. de los Caidos)",9:30 a 9:30,1,913320826
515,PUENTE DE VALLECAS-ENTREVIAS,"AV MONTE IGUELDO,  14",9:30 a 9:30,1,914339315
