id,codeserc,tipologia,nome,indirizzo,cap,citta,provincia,stelle,email,url,lt,lg,telefono
7786,050025AAT0017,Agriturismi,I Moricci,"Via di Ripassaia, 10 - - Fabbrica",56037,Peccioli,PI,2,imoricci@tiscali.it,www.imoricci.it,41.0,13.0,0587 697446
1046,053010ALB0002,Alberghi - Hotel,Da Augusto,"Via Marconi, 101 - - BAGNO DI GAVORRANO",58021,Gavorrano,GR,1,albergo.augusto@tiscali.it,www.albergoaugusto.it,42.94,10.89,0566 844373
8959,048002CAV0006,Case per Vacanze,La Valle Dei Medici,"Via San Gavino, 57/a",0,Barberino di Mugello,FI,0,info@lavalledemedici.it, www.lavalledemedici.it,44.22,11151.0,558423053
6455,050017ALB0001,Alberghi - Hotel,Dany,"Via Gioacchino Rossini, 4 - Quattro Strade - Perignano",56035,Lari,PI,3,ristorantelidomasi@gmail.com,,37.4,13.62,0587 616020
244,049020AFR0007,Affittacamere,B & B Belvedere Di Suvereto,"PIAZZA SAN TOMMASO, 33-35 - BELVEDERE",57028,Suvereto,LI,0,info@belvederedisuvereto.it,www.belvederedisuvereto.it,39.18,16.88,0565 827061
770,049018STB0004,Stabilimenti Balneari,Bagno Nettuno,"VIA ANDREA COSTA, 3",57027,San Vincenzo,LI,0,bagno.nettuno@libero.it,,39.33,16.18,0565 701095
13047,046033STB0089,Stabilimenti Balneari,Principe Azzurro,"Via della Repubblica, 4 - Citta Giardino - ",55049,Viareggio,LU,0,info@bagnoprincipeazzurro.it,www.bagnoprincipeazzurro.it,41.95,12.73,0584 50021
18151,053012AFR0012,Affittacamere,La Rosada B&b,"Via Dell'Asilo, 42 - - GIGLIO PORTO",58012,Isola del Giglio,GR,0,faber51@hotmail.it,bedandbreakfastlarosada.it,42.36,10.92,0564 809079
1086,053012ALB0011,Alberghi - Hotel,Da Ruggero,"Via del Saraceno, 90 - - GIGLIO PORTO",58013,Isola del Giglio,GR,2,info@daruggero.com,www.isoladelgiglio.biz,42.36,10.92,0564 809121
1085,053012ALB0010,Alberghi - Hotel,Bahamas,"Via Cardinale Oreglia, 22 - - GIGLIO PORTO",58013,Isola del Giglio,GR,2,info@bahamashotel.it,www.hotelbahamas.net,42.36,10.92,0564 809254
1084,053012ALB0009,Alberghi - Hotel,Saraceno,"Via del Saraceno, 69 - - GIGLIO PORTO",58012,Isola del Giglio,GR,3,h.saraceno@tiscali.it,www.saracenohotel.it,42.36,10.92,0564 809006
1082,053012ALB0007,Alberghi - Hotel,Castello Monticello,S.P. 74 - MONTICELLO - GIGLIO PORTO,58012,Isola del Giglio,GR,3,info@hotelcastellomonticello.com,www.hotelcastellomonticello.com,42.36,10.92,0564 809252
1083,053012ALB0008,Alberghi - Hotel,Demo's Hotel,"Via Thaon De Revel, 45 - - GIGLIO PORTO",58012,Isola del Giglio,GR,3,info@hoteldemos.com,www.hoteldemos.com,42.36,10.92,0564 809235
1087,053012ALB0012,Alberghi - Hotel,La Pergola,"Via Thaon De Revel, 30 - - GIGLIO PORTO",58012,Isola del Giglio,GR,2,,,42.36,10.92,0564 809051
1077,053012ALB0001,Alberghi - Hotel,Campese,"Via della Costa, 1 - CAMPESE",58012,Isola del Giglio,GR,3,welcome@hotelcampese.com,www.hotelcampese.com,42.36,10.88,0564 804003
2852,053012CAV0003,Case per Vacanze,Villa Delfi,"Via Cotton dei Nobil, 15 - - CAMPESE",58012,Isola del Giglio,GR,0,info@villadelfi.com,www.villadelfi.com,42.36,10.88,320 9011218
1356,053012AFR0005,Affittacamere,B&b Airone Di Landini Mario,"Contrada Santa Maria, 12/1 - - CASTELLO",58012,Isola del Giglio,GR,0,camere.airone@tiscali.it,www.isoladelgiglio.org,42.36,10.9,0564 806076
3081,053012STB0001,Stabilimenti Balneari,Lo Scoglio,Via di Mezzo Franco - - CAMPESE,58012,Isola del Giglio,GR,0,,,42.36,10.88,0564 804213
14454,053012AFR0010,Affittacamere,Le Poste Di Simplicio,"Via di Mezzo Franco, 12 - - CAMPESE",58012,Isola del Giglio,GR,0,lepostedisimplicio@libero.it,,42.36,10.88,346 0924775
1078,053012ALB0003,Alberghi - Hotel,Da Giovanni,"Via di Mezzo Franco, 10 - - CAMPESE",58012,Isola del Giglio,GR,2,albergodagiovanni@libero.it,www.albegodagiovanni.it,42.36,10.88,0564 804010
1353,053012AFR0001,Affittacamere,Landini Angelo  Di Modesti Giuseppa,"Piazza Gloriosa, 16 - - CASTELLO",58012,Isola del Giglio,GR,0,,www.emmeti.it/welcome/toscana/isole/giglio/castello/servizi/landini,42.37,10.9,0564 806074
1596,053012ALL0001,Alloggi Privati,Dubblo Maria Lidia,"Via Allume, 1 - CAMPESE",58050,Isola del Giglio,GR,0,,,42.37,10.88,
1079,053012ALB0004,Alberghi - Hotel,Giardino Delle Palme,"Via della Torre, 3 - CAMPESE",58012,Isola del Giglio,GR,1,info@giardinolepalme.it,www.giardinolepalme.it,42.37,10.88,0564 804037 - 349 7864709
1360,053012AFR0009,Affittacamere,Landini Eleonora - Landini Primo,Provinciale 28 - GIGLIO CAMPESE,58012,Isola del Giglio,GR,0,,,42.37,10.88,0564 804135
1080,053012ALB0005,Alberghi - Hotel,La Lampara,Provinciale 66 - CAMPESE,58012,Isola del Giglio,GR,2,albergo.lampara@libero.it,www.lalampara.info,42.37,10.88,0564 804022
1089,053012ALB0014,Alberghi - Hotel,Il Porticciolo,"Via della Torre, 3 - - CAMPESE",58012,Isola del Giglio,GR,2,albergoilporticciolo@virgilio.it,www.albergoilporticciolo.it,42.37,10.88,0564 804221
959,053003ALB0003,Alberghi - Hotel,I Briganti Di Capalbio.It,"CHIARONE SCALO, 5 - CHIARONE SCALO",58011,Capalbio,GR,3,info@ibrigantidicapalbio.it,www.ibrigantidicapalbio.it,42.39,11.44,0564 890341 - 320 1142442
2952,053003RES0001,Residence,I Briganti Di Capalbio,"CHIARONE SCALO, 5 - CHIARONE SCALO",58011,Capalbio,GR,3,info@ibrigantidicapalbio.it,www.ibrigantidicapalbio.it,42.39,11.44,0564 642026
1144,053016ALB0013,Alberghi - Hotel,Don Pedro,"Via Panoramica, 7 - - PORTO ERCOLE",58018,Monte Argentario,GR,3,info@hoteldonpedro.it,www.hoteldonpedro.it,42.39,11.21,0564 833914
18654,053016ALL0040,Alloggi Privati,Bistazzoni Alberto,"Via Dei Tre Forti, 3 - - PORTO ERCOLE",58018,Monte Argentario,GR,0,info@portoercole.org,,42.39,11.2,0564 835347 - 335 8156253
1145,053016ALB0014,Alberghi - Hotel,Bi Hotel,"Via Lungomare Andrea Doria, 23 - - PORTO ERCOLE",58018,Monte Argentario,GR,3,info@bi-hotel.it,www.bi-hotel.it,42.39,11.2,0564 833055
18009,053016ALB0017,Alberghi - Hotel,A Point Porto Ercole Resort & Spa,Via Caravaggio ang. Via Tramontana - - PORTO ERCOLE,58018,Monte Argentario,GR,5,reservation@apointportoercole.com,www.apointhotelsresorts.com,42.39,11.2,0564 833636
19362,053016AAT0003,Agriturismi,Il Molino,"Via dei Molini, 95 - - PORTO ERCOLE",58019,Monte Argentario,GR,1,,,42.39,11.19,333 2654929
18653,053016ALL0039,Alloggi Privati,Il Caletto,"Via Dei Molini, 9",58019,Monte Argentario,GR,0,ilcaletto@yahoo.it,,42.39,11.19,347 5241564
1427,053016AFR0002,Affittacamere,Villa Azzurra - Camere,"Via Caravaggio, 93 - - PORTO ERCOLE",58018,Monte Argentario,GR,0,,,42.39,11.2,0564 833037
2740,053016CAM0001,Campeggi,Feniglia,Strada Feniglia - FENIGLIA - PORTO ERCOLE,58018,Monte Argentario,GR,1,campingfeniglia@virgilio.it,www.campingfeniglia.it,42.4,11.2,0564 831090 - 392 9640592
14139,053016ALL0034,Alloggi Privati,Rispoli Silvana,"Via Ponente, 16 - - PORTO ERCOLE",58018,Monte Argentario,GR,0,bebabeb4@g.mail.com,bandbbeba.wordpress.com,42.4,11.2,0564 830095
1157,053018ALB0009,Alberghi - Hotel,Vinicio,"Via delle Mimose, 154 - - ANSEDONIA",58015,Orbetello,GR,2,vinicio@ouverture.it,www.vinicio.it,42.41,11.29,0564 881220
3101,053018STB0012,Stabilimenti Balneari,La Capannuccia,ANSEDONIA,58016,Orbetello,GR,0,,,42.41,11.29,0564 881314
1260,053016RTA0001,Residenze Turistico Alb.,Hotel Torre Di Cala Piccola,CALA PICCOLA - PORTO SANTO STEFANO,58019,Monte Argentario,GR,4,info@torredicalapiccola.com,www.torredicalapiccola.com,42.41,11.09,0564 825111
3086,053016STB0005,Stabilimenti Balneari,Mamma Licia,FENIGLIA - PORTO ERCOLE,58018,Monte Argentario,GR,0,freccianera59@tiscal.it,www.mammalicia.it,42.41,11.21,0564 834187
3089,053016STB0008,Stabilimenti Balneari,Il Tridente,FENIGLIA - PORTO ERCOLE,58018,Monte Argentario,GR,0,,,42.41,11.21,0564 834141
963,053003ALB0007,Alberghi - Hotel,Del Lago,"Via Umbria, 22 - CAPALBIO SCALO",58010,Capalbio,GR,2,info@albergodellago.it,www.albergodellago.it,42.41,11.37,0564 899039
18775,053003ALL0026,Alloggi Privati,Maggiulli Daniele,"Via Origlio, 82",58011,Capalbio,GR,0,,,42.41,11.37,0564 898497
2971,053003STB0003,Stabilimenti Balneari,Macchiatonda,MACCHIATONDA - CAPALBIO SCALO,58010,Capalbio,GR,0,,,42.41,11.36,0564 898777
14146,053003AAT0034,Agriturismi,Il Padule,"STRADA LITORANEA, 71",58011,Capalbio,GR,1,,,42.41,11.32,333 2182278
2433,053016AAT0001,Agriturismi,Podere Aquilino,Via Aquilino - - PORTO ERCOLE,58019,Monte Argentario,GR,0,,,42.41,11.16,0564 864195
