cnae09,Column,Column2,Column3,Column4,Column5,titulo,Descripción:,CNAE 09 a dos dígitos,CNAE 09 a tres dígitos,CNAE 09 a cuatro dígitos,Column 3,Ramas de actividad CNAE 09 (R-6),Ramas de actividad CNAE 09 (R-12),Ramas de actividad CNAE 09 (R-28),Ramas de actividad CNAE 09 (R-66)
A,A,,,,,"Agricultura, ganadería, silvicultura y pesca",,,,,,,,,
01,0,1,,,,"Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas",,,,,,,,,
011,0,1,1,,,Cultivos no perennes,,,,,,,,,
0111,0,1,1,1,,"Cultivo de cereales (excepto arroz), leguminosas y semillas oleaginosas",,,,,,,,,
0112,0,1,1,2,,Cultivo de arroz,,,,,,,,,
0113,0,1,1,3,,"Cultivo de hortalizas, raíces y tubérculos",,,,,,,,,
0114,0,1,1,4,,Cultivo de caña de azúcar,,,,,,,,,
0115,0,1,1,5,,Cultivo de tabaco,,,,,,,,,
0116,0,1,1,6,,Cultivo de plantas para fibras textiles,,,,,,,,,
0119,0,1,1,9,,Otros cultivos no perennes,,,,,,,,,
012,0,1,2,,,Cultivos perennes,,,,,,,,,
0121,0,1,2,1,,Cultivo de la vid,,,,,,,,,
0122,0,1,2,2,,Cultivo de frutos tropicales y subtropicales,,,,,,,,,
0123,0,1,2,3,,Cultivo de cítricos,,,,,,,,,
0124,0,1,2,4,,Cultivo de frutos con hueso y pepitas,,,,,,,,,
0125,0,1,2,5,,Cultivo de otros árboles y arbustos frutales y frutos secos,,,,,,,,,
0126,0,1,2,6,,Cultivo de frutos oleaginosos,,,,,,,,,
0127,0,1,2,7,,Cultivo de plantas para bebidas,,,,,,,,,
0128,0,1,2,8,,"Cultivo de especias, plantas aromáticas, medicinales y farmacéuticas",,,,,,,,,
0129,0,1,2,9,,Otros cultivos perennes,,,,,,,,,
013,0,1,3,,,Propagación de plantas,,,,,,,,,
0130,0,1,3,0,,Propagación de plantas,,,,,,,,,
014,0,1,4,,,Producción ganadera,,,,,,,,,
0141,0,1,4,1,,Explotación de ganado bovino para la producción de leche,,,,,,,,,
0142,0,1,4,2,,Explotación de otro ganado bovino y búfalos,,,,,,,,,
0143,0,1,4,3,,Explotación de caballos y otros equinos,,,,,,,,,
0144,0,1,4,4,,Explotación de camellos y otros camélidos,,,,,,,,,
0145,0,1,4,5,,Explotación de ganado ovino y caprino,,,,,,,,,
0146,0,1,4,6,,Explotación de ganado porcino,,,,,,,,,
0147,0,1,4,7,,Avicultura,,,,,,,,,
0149,0,1,4,9,,Otras explotaciones de ganado,,,,,,,,,
015,0,1,5,,,Producción agrícola combinada con la producción ganadera,,,,,,,,,
0150,0,1,5,0,,Producción agrícola combinada con la producción ganadera,,,,,,,,,
016,0,1,6,,,"Actividades de apoyo a la agricultura, a la ganadería y de preparación posterior a la cosecha",,,,,,,,,
0161,0,1,6,1,,Actividades de apoyo a la agricultura,,,,,,,,,
0162,0,1,6,2,,Actividades de apoyo a la ganadería,,,,,,,,,
0163,0,1,6,3,,Actividades de preparación posterior a la cosecha,,,,,,,,,
0164,0,1,6,4,,Tratamiento de semillas para reproducción,,,,,,,,,
017,0,1,7,,,"Caza, captura de animales y servicios relacionados con las mismas",,,,,,,,,
0170,0,1,7,0,,"Caza, captura de animales y servicios relacionados con las mismas",,,,,,,,,
02,0,2,,,,Silvicultura y explotación forestal,,,,,,,,,
021,0,2,1,,,Silvicultura y otras actividades forestales,,,,,,,,,
0210,0,2,1,0,,Silvicultura y otras actividades forestales,,,,,,,,,
022,0,2,2,,,Explotación de la madera,,,,,,,,,
0220,0,2,2,0,,Explotación de la madera,,,,,,,,,
023,0,2,3,,,"Recolección de productos silvestres, excepto madera",,,,,,,,,
0230,0,2,3,0,,"Recolección de productos silvestres, excepto madera",,,,,,,,,
024,0,2,4,,,Servicios de apoyo a la silvicultura,,,,,,,,,
0240,0,2,4,0,,Servicios de apoyo a la silvicultura,,,,,,,,,
03,0,3,,,,Pesca y acuicultura,,,,,,,,,
031,0,3,1,,,Pesca,,,,,,,,,
0311,0,3,1,1,,Pesca marina,,,,,,,,,
0312,0,3,1,2,,Pesca en agua dulce,,,,,,,,,
032,0,3,2,,,Acuicultura,,,,,,,,,
0321,0,3,2,1,,Acuicultura marina,,,,,,,,,
0322,0,3,2,2,,Acuicultura en agua dulce,,,,,,,,,
B,B,,,,,Industrias extractivas,,,,,,,,,
05,0,5,,,,"Extracción de antracita, hulla y lignito",,,,,,,,,
051,0,5,1,,,Extracción de antracita y hulla,,,,,,,,,
0510,0,5,1,0,,Extracción de antracita y hulla,,,,,,,,,
052,0,5,2,,,Extracción de lignito,,,,,,,,,
0520,0,5,2,0,,Extracción de lignito,,,,,,,,,
06,0,6,,,,Extracción de crudo de petróleo y gas natural,,,,,,,,,
061,0,6,1,,,Extracción de crudo de petróleo,,,,,,,,,
0610,0,6,1,0,,Extracción de crudo de petróleo,,,,,,,,,
062,0,6,2,,,Extracción de gas natural,,,,,,,,,
0620,0,6,2,0,,Extracción de gas natural,,,,,,,,,
07,0,7,,,,Extracción de minerales metálicos,,,,,,,,,
071,0,7,1,,,Extracción de minerales de hierro,,,,,,,,,
0710,0,7,1,0,,Extracción de minerales de hierro,,,,,,,,,
072,0,7,2,,,Extracción de minerales metálicos no férreos,,,,,,,,,
0721,0,7,2,1,,Extracción de minerales de uranio y torio,,,,,,,,,
0729,0,7,2,9,,Extracción de otros minerales metálicos no férreos,,,,,,,,,
08,0,8,,,,Otras industrias extractivas,,,,,,,,,
081,0,8,1,,,"Extracción de piedra, arena y arcilla",,,,,,,,,
0811,0,8,1,1,,"Extracción de piedra ornamental y para la construcción, piedra caliza, yeso, creta y pizarra",,,,,,,,,
0812,0,8,1,2,,Extracción de gravas y arenas; extracción de arcilla y caolín,,,,,,,,,
089,0,8,9,,,Industrias extractivas n.c.o.p.,,,,,,,,,
0891,0,8,9,1,,Extracción de minerales para productos químicos y fertilizantes,,,,,,,,,
0892,0,8,9,2,,Extracción de turba,,,,,,,,,
0893,0,8,9,3,,Extracción de sal,,,,,,,,,
0899,0,8,9,9,,Otras industrias extractivas n.c.o.p.,,,,,,,,,
09,0,9,,,,Actividades de apoyo a las industrias extractivas,,,,,,,,,
091,0,9,1,,,Actividades de apoyo a la extracción de petróleo y gas natural,,,,,,,,,
0910,0,9,1,0,,Actividades de apoyo a la extracción de petróleo y gas natural,,,,,,,,,
099,0,9,9,,,Actividades de apoyo a otras industrias extractivas,,,,,,,,,
0990,0,9,9,0,,Actividades de apoyo a otras industrias extractivas,,,,,,,,,
C,C,,,,,Industria manufacturera,,,,,,,,,
10,1,0,,,,Industria de la alimentación,,,,,,,,,
101,1,0,1,,,Procesado y conservación de carne y elaboración de productos cárnicos,,,,,,,,,
1011,1,0,1,1,,Procesado y conservación de carne,,,,,,,,,
1012,1,0,1,2,,Procesado y conservación de volateria,,,,,,,,,
1013,1,0,1,3,,Elaboración de productos cárnicos y de volateria,,,,,,,,,
102,1,0,2,,,"Procesado y conservación de pescados, crustáceos y moluscos",,,,,,,,,
1021,1,0,2,1,,"Procesado de pescados, crustáceos y moluscos",,,,,,,,,
1022,1,0,2,2,,Fabricación de conservas de pescado,,,,,,,,,
103,1,0,3,,,Procesado y conservación de frutas y hortalizas,,,,,,,,,
1031,1,0,3,1,,Procesado y conservación de patatas,,,,,,,,,
1032,1,0,3,2,,Elaboración de zumos de frutas y hortalizas,,,,,,,,,
1039,1,0,3,9,,Otro procesado y conservación de frutas y hortalizas,,,,,,,,,
104,1,0,4,,,Fabricación de aceites y grasas vegetales y animales,,,,,,,,,
1042,1,0,4,2,,Fabricación de margarina y grasas comestibles similares,,,,,,,,,
1043,1,0,4,3,,Fabricación de aceite de oliva,,,,,,,,,
1044,1,0,4,4,,Fabricación de otros aceites y grasas,,,,,,,,,
105,1,0,5,,,Fabricación de productos lácteos,,,,,,,,,
1052,1,0,5,2,,Elaboración de helados,,,,,,,,,
1053,1,0,5,3,,Fabricación de quesos,,,,,,,,,
1054,1,0,5,4,,Preparación de leche y otros productos lácteos,,,,,,,,,
106,1,0,6,,,"Fabricación de productos de molinería, almidones y productos amiláceos",,,,,,,,,
1061,1,0,6,1,,Fabricación de productos de molinería,,,,,,,,,
1062,1,0,6,2,,Fabricación de almidones y productos amiláceos,,,,,,,,,
107,1,0,7,,,Fabricación de productos de panadería y pastas alimenticias,,,,,,,,,
1071,1,0,7,1,,Fabricación de pan y de productos frescos de panadería y pastelería,,,,,,,,,
1072,1,0,7,2,,Fabricación de galletas y productos de panadería y pastelería de larga duración,,,,,,,,,
1073,1,0,7,3,,"Fabricación de pastas alimenticias, cuscús y productos similares",,,,,,,,,
108,1,0,8,,,Fabricación de otros productoa alimenticios,,,,,,,,,
1081,1,0,8,1,,Fabricación de azúcar,,,,,,,,,
1082,1,0,8,2,,"Fabricación de cacao, chocolate y productos de confitería",,,,,,,,,
1083,1,0,8,3,,"Elaboración de café, té e infusiones",,,,,,,,,
1084,1,0,8,4,,"Elaboración de especias, salsas y condimentos",,,,,,,,,
1085,1,0,8,5,,Elaboración de platos y comidas preparados,,,,,,,,,
1086,1,0,8,6,,Elaboración de preparados alimenticios homogeneizados y alimentos dietéticos,,,,,,,,,
1089,1,0,8,9,,Elaboración de otros productos alimenticios n.c.o.p.,,,,,,,,,
109,1,0,9,,,Fabricación de productos para la alimentación animal,,,,,,,,,
1091,1,0,9,1,,Fabricación de productos para la alimentación de animales de granja,,,,,,,,,
1092,1,0,9,2,,Fabricación de productos para la alimentación de animales de compañía,,,,,,,,,
11,1,1,,,,Fabricación de bebidas,,,,,,,,,
110,1,1,0,,,Fabricación de bebidas,,,,,,,,,
1101,1,1,0,1,,"Destilación, rectificación y mezcla de bebidas alcohólicas",,,,,,,,,
1102,1,1,0,2,,Elaboración de vinos,,,,,,,,,
1103,1,1,0,3,,Elaboración de sidra y otras bebidas fermentadas a partir de frutas,,,,,,,,,
1104,1,1,0,4,,"Elaboración de otras bebidas no destiladas, procedentes de la fermentación",,,,,,,,,
1105,1,1,0,5,,Fabricación de cerveza,,,,,,,,,
1106,1,1,0,6,,Fabricación de malta,,,,,,,,,
1107,1,1,0,7,,Fabricación de bebidas no alcohólicas; producción de aguas minerales y otras aguas embotelladas,,,,,,,,,
12,1,2,,,,Industria del tabaco,,,,,,,,,
120,1,2,0,,,Industria del tabaco,,,,,,,,,
1200,1,2,0,0,,Industria del tabaco,,,,,,,,,
13,1,3,,,,Industria textil,,,,,,,,,
131,1,3,1,,,Preparación e hilado de fibras textiles,,,,,,,,,
1310,1,3,1,0,,Preparación e hilado de fibras textiles,,,,,,,,,
132,1,3,2,,,Fabricación de tejidos textiles,,,,,,,,,
1320,1,3,2,0,,Fabricación de tejidos textiles,,,,,,,,,
133,1,3,3,,,Acabado de textiles,,,,,,,,,
1330,1,3,3,0,,Acabado de textiles,,,,,,,,,
139,1,3,9,,,Fabricación de otros productos textiles,,,,,,,,,
1391,1,3,9,1,,Fabricación de tejidos de punto,,,,,,,,,
1392,1,3,9,2,,"Fabricación de artículos confeccionados con textiles, excepto prendas de vestir",,,,,,,,,
1393,1,3,9,3,,Fabricación de alfombras y moquetas,,,,,,,,,
1394,1,3,9,4,,"Fabricación de cuerdas, cordeles, bramantes y redes",,,,,,,,,
1395,1,3,9,5,,"Fabricación de telas no tejidas y artículos confeccionados con ellas, excepto prendas de vestir",,,,,,,,,
1396,1,3,9,6,,Fabricación de otros productos textiles de uso técnico e industrial,,,,,,,,,
1399,1,3,9,9,,Fabricación de otros productos textiles n.c.o.p.,,,,,,,,,
14,1,4,,,,Confección de prendas de vestir,,,,,,,,,
141,1,4,1,,,"Confección de prendas de vestir, excepto de peletería",,,,,,,,,
1411,1,4,1,1,,Confección de prendas de vestir de cuero,,,,,,,,,
1412,1,4,1,2,,Confección de ropa de trabajo,,,,,,,,,
1413,1,4,1,3,,Confección de otras prendas de vestir exteriores,,,,,,,,,
1414,1,4,1,4,,Confección de ropa interior,,,,,,,,,
1419,1,4,1,9,,Confección de otras prendas de vestir y accesorios,,,,,,,,,
142,1,4,2,,,Fabricación de artículos de peletería,,,,,,,,,
