id	resource - creators - creator - creatorName	resource - creators - creator - affiliation	resource - creators - creator - nameIdentifier	resource - relatedIdentifiers - relatedIdentifier	resource - relatedIdentifiers - relatedIdentifier - relationType	resource - relatedIdentifiers - relatedIdentifier - relatedIdentifierType	resource - relatedIdentifiers - relatedIdentifier - resourceTypeGeneral	resource - subjects - subject	resource - rightsList - rights	resource - rightsList - rights - rightsURI	resource - descriptions - description	resource - descriptions - description - descriptionType	resource - dates - date	resource - dates - date - dateType	resource - titles - title	resource - publisher	resource - identifier	resource - identifier - identifierType	resource - resourceType - resourceTypeGeneral	resource - resourceType	resource - publicationYear	resource - version	resource - language	resource - contributors	resource - contributors - contributor	resource - contributors - contributor - contributorType	resource - contributors - contributor - contributorName	resource - contributors - contributor - givenName	resource - contributors - contributor - familyName	resource - contributors - contributor - affiliation	resource - contributors - contributor - nameIdentifier	resource - contributors - contributor - nameIdentifier - schemeURI	resource - contributors - contributor - nameIdentifier - nameIdentifierScheme
10.5281_zenodo.1402067	Kuladinithi, Koojana	@ComNetsHH	0000-0001-6083-4048	https://github.com/ComNetsHH/Teaching_OMNeT/tree/v1.0.0	IsSupplementTo	URL			Creative Commons Attribution Share Alike 4.0 International	https://creativecommons.org/licenses/by-sa/4.0/legalcode	<p>All exercises and lecture contents of Simulation and Modelling of Communication Networks Course from Hamburg University of Technology can be found here.</p>	Abstract	2018-08-22	Issued	ComNetsHH/Teaching Modelling and Analysis of Communication Networks using OMNeT++ Simulator: Final Version of Tasks	Zenodo	10.5281/zenodo.1402067	DOI	InteractiveResource		2018	v1.0.0	en										
				10.5281/zenodo.1402066	IsVersionOf	DOI			Open Access	info:eu-repo/semantics/openAccess																							
				https://zenodo.org/communities/tuhh	IsPartOf	URL																											
	Elsner, Raphael	@ComNetsHH	0000-0003-2849-9053																														
	Krüger, Leo	@ComNetsHH	0000-0002-9886-889X																														
	Lindner, Sebastian	@ComNetsHH	0000-0002-5694-9675																														
	Petersen, Christoph	@ComNetsHH	0000-0002-9720-9833																														
	Plöger, Daniel	@ComNetsHH	0000-0002-7124-0074																														
	Vatandas, Zeynep	@ComNetsHH																															
	Timm-Giel, Andreas	@ComNetsHH	0000-0002-5998-6113																														
10.5281_zenodo.2551279	Hapke, Thomas	Technische Universität Hamburg	0000-0002-5135-2693	10.5281/zenodo.2551278	IsVersionOf	DOI		scholarly communication	Creative Commons Attribution 4.0 International	https://creativecommons.org/licenses/by/4.0/legalcode	<p>Grafische Darstellung zum Life Cycle Wissenschaftliche Kommunikation. Nutzung als Advance Organizer im Rahmen von Lehrveranstaltungen. Graphical presentation of the life cycle of scholarly communication (one slide in English). To be used as advance organizer for educational purposes.</p>	Abstract	2019-01-28	Issued	Life-Cycle Wissenschaftliche Kommunikation	Zenodo	10.5281/zenodo.2551279	DOI	Image	Diagram	2019		de										
				https://zenodo.org/communities/tuhh	IsPartOf	URL		wissenschaftliche Kommunikation	Open Access	info:eu-repo/semantics/openAccess																							
10.5281_zenodo.33283	Hapke, Thomas	Hamburg University of Technology, University Library		10.5281/zenodo.618634	IsVersionOf	DOI		citing, Zitieren, references, Zitate, academic writing, wissenschaftliches Schreiben	Creative Commons Attribution 4.0 International	https://creativecommons.org/licenses/by/4.0/legalcode	"<p>Short German text on how to deal with citations and references when writing academic texts (Main context: for educational purposes in the engineering sciences).</p>

<p>Kurze Handreichung zum Umgang mit Zitierungen beim Schreiben akademischer Texte (Kontext: Didaktische Absicht in den Ingenieurwissenschaften)</p>"	Abstract	2015-11-05	Issued	Zitieren und das Literatur- bzw. Quellenverzeichnis – eine Handreichung	Zenodo	10.5281/zenodo.33283	DOI	InteractiveResource		2015												
				https://zenodo.org/communities/tuhh	IsPartOf	URL			Open Access	info:eu-repo/semantics/openAccess																							
10.5281_zenodo.1745329	Hapke, Thomas	Hamburg University of Technology, University Library	0000-0002-5135-2693	10.5281/zenodo.618634	IsVersionOf	DOI		citing, Zitieren, references, Zitate, academic writing, wissenschaftliches Schreiben	Creative Commons Attribution 4.0 International	https://creativecommons.org/licenses/by/4.0/legalcode	"<p>Short German text on how to deal with citations and references when writing academic texts (Main context: for educational purposes in the engineering sciences).</p>

<p>Kurze Handreichung zum Umgang mit Zitierungen beim Schreiben akademischer Texte (Kontext: Didaktische Absicht in den Ingenieurwissenschaften)</p>"	Abstract	2018-11-30	Issued	Zitieren und das Literatur- bzw. Quellenverzeichnis – eine Handreichung	Zenodo	10.5281/zenodo.1745329	DOI	InteractiveResource		2018	Logo of pdf udated	de										
				https://zenodo.org/communities/tuhh	IsPartOf	URL			Open Access	info:eu-repo/semantics/openAccess																							
10.5281_zenodo.1745311	Hapke, Thomas	Hamburg University of Technology, University Library		10.5281/zenodo.618634	IsVersionOf	DOI		citing, Zitieren, references, Zitate, academic writing, wissenschaftliches Schreiben	Creative Commons Attribution 4.0 International	https://creativecommons.org/licenses/by/4.0/legalcode	"<p>Short German text on how to deal with citations and references when writing academic texts (Main context: for educational purposes in the engineering sciences).</p>

<p>Kurze Handreichung zum Umgang mit Zitierungen beim Schreiben akademischer Texte (Kontext: Didaktische Absicht in den Ingenieurwissenschaften)</p>"	Abstract	2018-11-30	Issued	Zitieren und das Literatur- bzw. Quellenverzeichnis – eine Handreichung	Zenodo	10.5281/zenodo.1745311	DOI	InteractiveResource		2018	Literaturangaben korrigiert, references corrected, November 2018	de										
				https://zenodo.org/communities/tuhh	IsPartOf	URL			Open Access	info:eu-repo/semantics/openAccess																							
