ID_NOTICE_CAN,TED_NOTICE_URL,YEAR,ID_TYPE,DT_DISPATCH,XSD_VERSION,CANCELLED,CORRECTIONS,B_MULTIPLE_CAE,CAE_NAME,CAE_NATIONALID,CAE_ADDRESS,CAE_TOWN,CAE_POSTAL_CODE,CAE_GPA_ANNEX,ISO_COUNTRY_CODE,ISO_COUNTRY_CODE_GPA,B_MULTIPLE_COUNTRY,ISO_COUNTRY_CODE_ALL,CAE_TYPE,EU_INST_CODE,MAIN_ACTIVITY,B_ON_BEHALF,B_INVOLVES_JOINT_PROCUREMENT,B_AWARDED_BY_CENTRAL_BODY,TYPE_OF_CONTRACT,TAL_LOCATION_NUTS,B_FRA_AGREEMENT,FRA_ESTIMATED,B_FRA_CONTRACT,B_DYN_PURCH_SYST,CPV,MAIN_CPV_CODE_GPA,ID_LOT,ADDITIONAL_CPVS,B_GPA,GPA_COVERAGE,LOTS_NUMBER,VALUE_EURO,VALUE_EURO_FIN_1,VALUE_EURO_FIN_2,B_EU_FUNDS,TOP_TYPE,B_ACCELERATED,OUT_OF_DIRECTIVES,CRIT_CODE,CRIT_PRICE_WEIGHT,CRIT_CRITERIA,CRIT_WEIGHTS,B_ELECTRONIC_AUCTION,NUMBER_AWARDS,ID_AWARD,ID_LOT_AWARDED,INFO_ON_NON_AWARD,INFO_UNPUBLISHED,B_AWARDED_TO_A_GROUP,WIN_NAME,WIN_NATIONALID,WIN_ADDRESS,WIN_TOWN,WIN_POSTAL_CODE,WIN_COUNTRY_CODE,B_CONTRACTOR_SME,CONTRACT_NUMBER,TITLE,NUMBER_OFFERS,NUMBER_TENDERS_SME,NUMBER_TENDERS_OTHER_EU,NUMBER_TENDERS_NON_EU,NUMBER_OFFERS_ELECTR,AWARD_EST_VALUE_EURO,AWARD_VALUE_EURO,AWARD_VALUE_EURO_FIN_1,B_SUBCONTRACTED,DT_AWARD
20163051,ted.europa.eu/udl?uri=TED:NOTICE:3051-2016:TEXT:EN:HTML,2016,3,04-JAN-16,R208.S2,0,0,,Statistikos departamentas,188600177,Gedimino pr. 29,Vilnius,01500,A1,LT,LT,,,1,,Other,N,,,S,,N,,,,72261000,72,,,Y,4,0,21404.96,21404.96,21404.96,N,OPE,,0,M,,Kaina---Loginis pasiūlymo pagrindimas---Rizikų supratimas ir kokybės užtikrinimo planas,40---40---20,N,1,7202216,,,N,,UAB „Proit“,,Šeimyniškių g. 3A,Vilnius,09213,LT,,1,,1,,,,,,21404.96,21404.96,N,16-DEC-15
20167023,ted.europa.eu/udl?uri=TED:NOTICE:7023-2016:TEXT:EN:HTML,2016,3,07-JAN-16,R208.S2,0,0,,Rahandusministeerium,70009244,Lõõtsa 8a,Tallinn,11415,A1,EE,EE,,,N,,Economical anf Financial Affairs,N,,,S,,Y,,Y,,72262000,72,,,Y,1,0,166666.0,166666,166666,N,NIC,,0,M,,Projektijuhi ühe töötunni maksumus---Testija ühe töötunni maksumus---Programmeerija ühe töötunni maksumus---A kategooria hooldusjuhtumi ühe töötunni maksumus---Analüütiku ühe töötunni maksum---Arhitekti ühe töötunni maksumus---B kategooria hooldusjuhtumi ühe töötunni maksumus---Pakkuja analüütiku projektides osalemine,10---10---10---10---10---10---10---30,N,1,7210101,,,N,,Mindware OÜ,,Pärnu mnt.158,Tallinn,11317,EE,,1,,1,,,,,166666,,166666,,05-JAN-16
20167168,ted.europa.eu/udl?uri=TED:NOTICE:7168-2016:TEXT:EN:HTML,2016,3,07-JAN-16,R208.S2,0,0,,Aplinkos ministerija,188602370,A. Jakšto g. 4,Vilnius,01105,A1,LT,LT,,,1,,Environment,N,,,S,,N,,,,72318000,72,,,N,4,1,117871.14,117871.14,117871.14,N,OPE,,0,M,,Kaina---Techninė pagalba---Tinklo kokybė,60---20---20,N,1,7210454,1,,N,,AB „TEO LT“,,Savanorių pr. 28,Vilnius,03501,LT,,1,Duomenų perdavimo Aplinkos ministerijos regionų aplinkos apsaugos departamentams ir Aplinkos ministerijos regionų aplinkos apsaugos agentūroms paslaugos,1,,,,,,117871.14,117871.14,N,10-DEC-15
20167176,ted.europa.eu/udl?uri=TED:NOTICE:7176-2016:TEXT:EN:HTML,2016,3,07-JAN-16,R208.S2,0,0,,Finansų ministerija — Valstybinė mokesčių inspekcija,188659752,Vasario 16-osios g. 15,Vilnius,01514,A1,LT,LT,,,1,,Economical anf Financial Affairs,N,,,S,,N,,,,72211000,72,,,Y,1,0,480972.03,480972.03,480972.03,N,OPE,,0,M,,1. Kaina---Pagrindinių funkcionalumų charakteristikos---Pasiūlymai programinės įrangos testavimo kokybei užtikrinti---Projekto įgyvendinimo planas,30---45---10---15,N,1,7210465,,,N,,UAB „Algoritmų sistemos“,,A. Juozapavičiaus g.6/2,Vilnius,,LT,,1,,1,,,,,480972.03,480972.03,480972.03,N,27-NOV-15
20168723,ted.europa.eu/udl?uri=TED:NOTICE:8723-2016:TEXT:EN:HTML,2016,3,08-JAN-16,R208.S2,0,0,,Socialinės apsaugos ir darbo ministerija — Valstybinio socialinio draudimo fondo valdyb,191630223,Konstitucijos pr. 12,Vilnius,09308,A1,LT,LT,,,1,,Social protection,N,,,S,,N,,,,72212000,72,,,Y,1,1,1226400.0,1226400,1226400,N,OPE,,0,M,,Paslaugų kokybės užtikrinimas---Kaina---Projekto aplinkos suvokimas; rizikos veiksnių įvardijimas ir jų valdymo plano efektyvumas---Techninis privalumas,10---50---10---30,N,1,7213178,1,,N,,UAB „e-Projects“,,Konstitucijos pr. 12,Vilnius,,LT,,1,Paslaugų sutartis,1,,,,,,1226400,1226400,N,04-DEC-15
201610445,ted.europa.eu/udl?uri=TED:NOTICE:10445-2016:TEXT:EN:HTML,2016,3,11-JAN-16,R208.S2,0,0,,Pilsonības un migrācijas lietu pārvalde,,Čiekurkalna 1. līnija 1; k-3,Rīga,1026,A1,LV,LV,,,1,,General public\services;Public Order and Safety,N,,,S,,N,,,,72262000,72,,,Y,3,0,470200.0,470200,470200,N,RES,,0,M,,,,N,1,7216824,,,N,,SIA “Lattelecom Technology”,,Pērses iela 8,Rīga,1011,LV,,1,,2,,,,,470200,470200,470200,N,04-JAN-16
201620820,ted.europa.eu/udl?uri=TED:NOTICE:20820-2016:TEXT:EN:HTML,2016,3,19-JAN-16,R208.S2,0,0,,Sotsiaalministeerium,70001952,Gonsiori 29,Tallinn,15027,A1,EE,EE,,,1,,General public\services;Health;Social protection,N,,,S,,N,,,,72250000,72,,,N,4,0,113400.0,113400,113400,N,OPE,,0,L,100,,,N,1,7233289,,,N,,Tieto Estonia Aktsiaselts,,Tammsaare tee 47,Tallinn,11316,EE,,1,,1,,,,,,113400,113400,,29-DEC-15
201626232,ted.europa.eu/udl?uri=TED:NOTICE:26232-2016:TEXT:EN:HTML,2016,3,21-JAN-16,R208.S2,0,0,,SIA Rīgas namu pārvaldnieks,,Aleksandra Čaka iela 42,Rīga,1007,A2,LV,LV,,,8,,Housing and community amenities,N,,,S,,N,,,,72318000,72,,,Y,4,0,149796.72,149796.72,149796.72,N,OPE,,0,L,100,,,N,1,7240526,,,N,,AS “OpusCapita”,,Straupes iela 5/3,Rīga,1073,LV,,1,,2,,,,,,149796.72,149796.72,N,14-JAN-16
201626236,ted.europa.eu/udl?uri=TED:NOTICE:26236-2016:TEXT:EN:HTML,2016,3,21-JAN-16,R208.S2,0,0,,Vidaus reikalų ministerija — Turto valdymo ir ūkio departamentas,188729923,Šventaragio g. 2,Vilnius,01122,A1,LT,LT,,,1,,Other,Y,,,S,,N,,,,72500000,72,,,Y,1,1,142000.0,142000,142000,Y,OPE,,0,M,,Kaina---Siūlomų paslaugų kokybė,40---60,N,1,7240530,1,,N,,Uždaroji akcinė bendrovė „Komsetas“ (Ūkio subjektų grupė; sudaryta iš UAB „Komsetas“; UAB „Blue Bridge“ ir UAB „Blue Bridge Code“; atstovaujama partnerio UAB „Komsetas“),,Aukštaičių g. 7,Vilnius,11341,LT,,1,Bendrojo ryšių palaikymo punkto infrastruktūros sukūrimo paslaugų pirkimas (ADIC-D4-25),2,,,,,,142000,142000,N,05-NOV-15
201626269,ted.europa.eu/udl?uri=TED:NOTICE:26269-2016:TEXT:EN:HTML,2016,3,21-JAN-16,R208.S2,0,0,,Rahandusministeerium,70009244,Lõõtsa 8a,Tallinn,11415,A1,EE,EE,,,N,,Economical anf Financial Affairs,N,,,S,,N,,,,72261000,72,,48440000,Y,1,0,557161.07,557161.07,557161.07,N,OPE,,0,L,100,,,N,2,7240596,,,N,,Osaühing MS Ärisüsteemid,,Lõõtsa 2,Tallinn,11415,EE,,1,,3,,,,,,39960,39960,,19-JAN-16
