Title,Authors,DOI,URL,Date,Language,Subjects,ISSNs,Publisher,Citation,Licence
A Copper-Based Metal-Organic Framework as an Efficient and Reusable Heterogeneous Catalyst for Ullmann and Goldberg Type C–N Coupling Reactions,Wei Long|Wenge Qiu|Chongwei Guo|Chuanqiang Li|Liyun Song|Guangmei Bai|Guizhen Zhang|Hong He,10.3390/molecules201219756,https://doaj.org/article/537cad9d297045fba5791312bf15d1e5,01/11/2015,English,metal-organic frameworks|C–N coupling|heterogeneous catalysis|copper complex|Organic chemistry|QD241-441|Chemistry|QD1-999|Science|Q,1420-3049,MDPI AG,"Molecules, Vol 20, Iss 12, Pp 21178-21192 (2015)",CC BY
"A new monoclinic polymorph of 1,1′-bis(diphenylthiophosphoryl)ferrocene",Yee Seng Tan|Chien Ing Yeo|Edward R. T. Tiekink,10.1107/S2056989015012682,https://doaj.org/article/e1b5ae0265a649f0a637bf7e6892e0b1,01/08/2015,EN,crystals structure|ferrocene derivative|polymorph|conformation|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 8, Pp 886-889 (2015)",CC BY
"A new polymorph of 1-({[1,3-dihydroxy-2-(hydroxymethyl)propan-2-yl]iminio}methyl)naphthalen-2-olate",Ailing Guo|Shurong Zhang|Kun Wang|Ruitao Zhu,10.1107/S205698901501539X,https://doaj.org/article/39414f0a1a6044de84b1fb8b9f2746ad,01/09/2015,EN,Schiff base|2-hydroxy-1-naphthaldehyde|O—H...O hydrogen bonding|N—H...O hydrogen bonding|crystal structure|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 9, Pp o686-o687 (2015)",CC BY
"Crystal structure and biological evaluation of 4-methylmorpholin-4-ium 1,3-dimethyl-2,6-dioxo-5-(2,4,6-trinitrophenyl)-1,2,3,6-tetrahydropyrimidin-4-olate",Jeganathan Gomathi|Doraisamyraja Kalaivani,10.1107/S2056989015010075,https://doaj.org/article/9e61f62e1868400588b35494eceb3780,01/06/2015,EN,crystal structure|anticonvulsant activity|hypnotic activity|barbiturate|molecular salt|hydrogen bonding|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 6, Pp 723-725 (2015)",CC BY
"Crystal structure of (1E,1′E)-N,N′-(ethane-1,2-diyl)bis[(pyridin-2-yl)methanimine]",Muneer Abdoh|Ismail Warad|S. Naveen|N. K. Lokanath|Rachid Salghi,10.1107/S2056989015010087,https://doaj.org/article/e8ee522252124fd59cfa430adc1b8c46,01/06/2015,EN,"crystal structure|pyridinecarbaldehydes|1,2-diaminopyridine|Schiff base|chelating ligands|Chemistry|QD1-999",2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 6, Pp o431-o431 (2015)",CC BY
Crystal structure of (2-bromomethyl-1-phenylsulfonyl-1H-indol-3-yl)(phenyl)methanone,M. Umadevi|V. Saravanan|R. Yamuna|A. K. Mohanakrishnan|G. Chakkaravarthi,10.1107/S2056989014028084,https://doaj.org/article/b86feb2a900a4ce7a2578aacba70f482,01/02/2015,EN,crystal structure|indole|phenylsulfonyl|bromomethyl|(phenyl)methanone|intramolecular hydrogen bonds|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 2, Pp o86-o87 (2015)",CC BY
"Crystal structure of (2-formylphenolato-κ2O,O′)oxido(2-{[(2-oxidoethyl)imino]methyl}phenolato-κ3O,N,O′)vanadium(V)",Sowmianarayanan Parimala|Parasuraman Selvam,10.1107/S2056989015006477,https://doaj.org/article/05b960778a7042d7bcdf7cc168b4780a,01/05/2015,EN,crystal structure|vanadyl complex|catalyst|hydrogen bonding|C—H...π interactions|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 5, Pp m104-m105 (2015)",CC BY
Crystal structure of (2S)-3-methyl-2-[(naphthalen-1-ylsulfonyl)amino]butanoic acid,Muhammad Danish|Muhammad Nawaz Tahir|Nabila Jabeen|Muhammad Asam Raza,10.1107/S2056989015007057,https://doaj.org/article/b4ba1fc7a9a14b7db0c49bfd46c0d657,01/05/2015,EN,crystal structure|catemer|naphthalen-1-ylsulfonyl|L-valine|hydrogen bonding|π–π stacking interactions|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 5, Pp o308-o308 (2015)",CC BY
"Crystal structure of (3S)-3-acetoxy-17-(pyridin-3-yl)androsta-5,16-diene",Shengjun Zhou|Huaqi Huang|Rongbin Huang,10.1107/S2056989015001966,https://doaj.org/article/b55ee31934074118af34b9c5f97cfebb,01/03/2015,EN,"crystal structure|androsta-5,16-diene|hydrogen bonds|C(16) chain|Chemistry|QD1-999",2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 3, Pp o146-o147 (2015)",CC BY
Crystal structure of (6-bromo-2-oxo-2H-chromen-4-yl)methyl morpholine-4-carbodithioate,K. Mahesh Kumar|K. R. Roopashree|M. Vinduvahini|O. Kotresh|H. C. Devarajegowda,10.1107/S2056989015011007,https://doaj.org/article/5d732ad61ce74e718e782dd43034c290,01/07/2015,EN,crystal structure|coumarins|dithiocarbamates|biological applications|hydrogen bonding|π–π interactions|Chemistry|QD1-999,2056-9890,International Union of Crystallography,"Acta Crystallographica Section E: Crystallographic Communications, Vol 71, Iss 7, Pp o489-o490 (2015)",CC BY
