id	creatorName	title	titleLang	translatedTitle	contributorName	language	resourceType	resourceTypeGeneral	publicationYear	date	dateType	publisher	university	institute	geoLocationPoint	subject	subject_ddc	abstract	seriesInformation	identifier	identifierType	format	rights	rightsOA	rightsURI	url	collection
hcu_	Gernert, Verena	Städtische Armutsmuster in Sofia – Grenzen und Möglichkeiten der integrierten Stadtentwicklung durch die Europäische Union	ger			de	Thesis	Text	2019-01-01	2023-01-27T09:53:58Z	Issued				53.540253,10.004717	Armut␟Ausgrenzung␟Stadtentwicklung␟Europäische Union␟Osteuropa␟Sofia␟Stadtviertel␟710: Landschaftsgestaltung␟Raumplanung␟ddc:710						application/pdf	individuelle Lizenz	Open Access	info:eu-repo/semantics/openAccess	https://doi.org/10.34712/142.1␟https://repos.hcu-hamburg.de/handle/hcu/21␟10.34712/142.1	Publikationen HCU Hamburg
							doc-type:doctoralThesis	Text																			
																	710										
hcu_	Fischer, Jonas␟Arlati, Alessandro␟Johst, Janne␟Vladova, Galya␟Knieling, Jörg␟Camara, Camila	Energy Improvement Districts : Conceptual and Technical Guidance for Implementing Cooperative Energy Planning at the District Level	eng			en	Working Paper	Text	2020-01-01	2023-01-26T14:57:26Z	Issued	HafenCity Universität Hamburg	HafenCity Universität Hamburg		53.540253,10.004717	energy planning␟district level␟governance␟stakeholder collaboration␟guidance␟710: Landschaftsgestaltung␟Raumplanung␟ddc:710		European Union, European Regional Development Fund				application/pdf	individuelle Lizenz	Open Access	info:eu-repo/semantics/openAccess	https://doi.org/10.34712/142.5␟978-3-947972-19-7␟https://repos.hcu-hamburg.de/handle/hcu/28␟10.34712/142.5	Publikationen HCU Hamburg
							doc-type:workingPaper	Text																			
																	710										
hcu_	Fischer, Jonas␟Arlati, Alessandro␟Johst, Janne␟Vladova, Galya␟Knieling, Jörg␟Camara, Camila	Recommendations for policy improvement for cooperative planning in BSR cities and regions	eng			en	Working Paper	Text	2020-01-01	2023-01-26T14:57:27Z	Issued	HafenCity Universität Hamburg	HafenCity Universität Hamburg		53.540253,10.004717	Policy recommendations␟EU-level␟collaborative energy planning␟district-level␟710: Landschaftsgestaltung␟Raumplanung␟ddc:710						application/pdf	individuelle Lizenz	Open Access	info:eu-repo/semantics/openAccess	https://doi.org/10.34712/142.4␟978-3-947972-23-4␟https://repos.hcu-hamburg.de/handle/hcu/29␟10.34712/142.4	Publikationen HCU Hamburg
							doc-type:workingPaper	Text																			
																	710										
hcu_	Fischer, Jonas␟Arlati, Alessandro␟Johst, Janne␟Vladova, Galya␟Knieling, Jörg␟Camara, Camila	Energy Improvement Districts - A Model Instrument for Low-Emission Cities	eng			en	Working Paper	Text	2020-01-01	2023-01-26T14:58:57Z	Issued	HafenCity Universität Hamburg	HafenCity Universität Hamburg		53.540253,10.004717	energy planning␟governance␟stakeholder collaboration␟district level␟710: Landschaftsgestaltung␟Raumplanung␟ddc:710						application/pdf	individuelle Lizenz	Open Access	info:eu-repo/semantics/openAccess	https://doi.org/10.34712/142.3␟978-3-947972-21-0␟https://repos.hcu-hamburg.de/handle/hcu/30␟10.34712/142.3	Publikationen HCU Hamburg
							doc-type:workingPaper	Text																			
																	710										
hcu_	Hansen, André␟Ulbrich, Katja	KlimaBöden : qualitatives Management urbaner Böden und deren Nutzung zur Optimierung des Stadtklimas; am Beispiel Hamburg	ger			de	Thesis	Text	2013-01-01	2023-01-27T09:28:54Z	Issued				53.540253,10.004717	710: Landschaftsgestaltung␟Raumplanung␟Klima␟Boden␟Stadtklima␟ddc:710␟Klima␟Boden␟Stadtklima		"KlimaBöden - Seit langem schon steht das Klima der Städte in der Kritik einiger Wissenschaften. Ebenso die urbanen Böden. Doch werden die disziplinären Scheuklappen abgelegt, ist ein intelligenter Umgang mit den
Wechselwirkungen von städtischem Klima und Boden möglich, der sogar positive und einzigartige Entwicklungen mit sich bringen kann.
Der Boden als des Stadtplaners größtes Gut, wird in dieser Arbeit mit einem qualitativen Management belegt, um die natürlichen Funktionen der Stadtböden nutzbar zu machen und ihre klimawirksamen Effekte optimierend einzusetzen. Disziplinübergreifende Arbeitsmethoden
und die Abkehr von veralteter Stadtplanung, sind dabei ebenso maßgeblich wie der passgenaue Umgang mit individuellen Stadtstrukturen."				application/pdf	individuelle Lizenz	Open Access	info:eu-repo/semantics/openAccess	https://repos.hcu-hamburg.de/handle/hcu/34	Publikationen HCU Hamburg
							doc-type:masterThesis	Text																			
																	710										
hcu_	Adanali, Zeynep	Türkischstämmige Migranten auf dem Hamburger Wohnungsmarkt : am Beispiel des Stadtteils Wilhelmsburg	ger			de	Thesis	Text	2013-01-01	2023-01-27T09:36:11Z	Issued				53.540253,10.004717	710: Landschaftsgestaltung␟Raumplanung␟Migration␟Wohnungsmarkt␟Einwanderer␟Hamburg-Wilhelmsburg␟ddc:710␟Migration␟Wohnungsmarkt␟Einwanderer␟Hamburg-Wilhelmsburg						application/pdf	individuelle Lizenz	Open Access	info:eu-repo/semantics/openAccess	https://repos.hcu-hamburg.de/handle/hcu/35	Publikationen HCU Hamburg
							doc-type:masterThesis	Text																			
																	710										
hcu_	Römhild, Clara Marie	Und was passiert mit Omas Haus? : partizipative Planungsansätze im Umgang mit den aktuellen Herausforderungen in Einfamilienhausgebieten der 1950er - 70er Jahre	ger		Knieling, Jörg	de	Thesis	Text	2013-01-01	2023-01-27T09:21:09Z	Issued				53.540253,10.004717	710: Landschaftsgestaltung␟Raumplanung␟Wohnsiedlung␟Einfamilienhaus␟Lebenszyklus <Wirtschaft>␟ddc:710␟Wohnsiedlung␟Einfamilienhaus␟Lebenszyklus <Wirtschaft>		Zentrale Aufgabenstellung dieser Bachelorarbeit ist es anhand von Kriterien zu bewerten, ob die partizipativen Ansätze des Nutzungszyklus-Managements, welche für 1950er-70er Jahre Quartiere mit Geschosswohnungsbau entwickelt wurden, auch in Eigenheimsiedlungen desselben Zeitraums Anwendung finden können. Ergebnis soll ein Überblick über die Anwendungsmöglichkeiten partizipativer Planungsinstrumente des Nutzungszyklus-Managements von Geschosswohnsiedlungen in Einfamilienhaussiedlungen der 1950er-70er Jahre sein. Der Überblick kann Kommunen bei der Auswahl geeigneter partizipativer Instrumente für eine nachhaltige Entwicklung der 1950er-70er Jahre Eigenheimsiedlungen unterstützen. Darüber hinaus kann diese Arbeit einen Ansatz für die Entwicklung eines NZM für Einfamilienhaussiedlungen der 1950er-70er Jahre liefern.				application/pdf	individuelle Lizenz	Open Access	info:eu-repo/semantics/openAccess	https://repos.hcu-hamburg.de/handle/hcu/37	Publikationen HCU Hamburg
							doc-type:bachelorThesis	Text																			
																	710										
hcu_	Richter, Falco	urbanRESET Hamburg : wirkungsgeschichtliche Untersuchungen zu bestandsorientierten Strategien von Städtebau und Stadtentwicklung in Hamburg anhand des ehemaligen Schlachthof-Areals auf St. Pauli	ger			de	Thesis	Text	2013-01-01	2023-01-27T09:34:24Z	Issued				53.540253,10.004717	710: Landschaftsgestaltung␟Raumplanung␟Stadtentwicklung␟Stadtumbau␟Stadtsanierung␟Bestand␟Transformation␟Landesbetrieb Vieh- und Fleischzentrum Hamburg␟Hamburg␟ddc:710␟Stadtentwicklung␟Stadtumbau␟Stadtsanierung␟Bestand␟Transformation␟Landesbetrieb Vieh- und Fleischzentrum Hamburg␟Hamburg		"Der städtebautheoretische Forschungsansatz „urbanRESET“ steht für eine europaweite Suche nach innovativen Projektbeispielen des Umdeutens, Transformierens und Reintegrierens städtischer Räume. Im Hamburger Kontext spielt diese urbane Praxis traditionell eine untergeordnete Rolle. Zwar lassen sich zahlreiche Arbeiten im Bestand identifizieren, ergebnisoffene innovative Prozesse stellen aber die absolute Ausnahme dar. Allmählich gewinnen jedoch vor dem Hintergrund einer forcierten Innenentwicklung und eines steigenden Drucks aus der Bevölkerung bestandsorientierte Strategien erneut an Bedeutung. 

Die Analyse des ehemaligen Schlachthof-Areals auf St. Pauli mit Hilfe des Erklärungsmodus von urbanRESET stellt dieses als herausragendes Beispiel für die Umsetzung bestandsorientierter Strategien dar. Ursprünglich als  Teil einer europaweiten Schlachthof-Bewegung entstanden, durchlief dieses Areal in mehreren Perioden einen ab den 70er Jahren intensivierten städtebaulichen und strukturellen Wandel. Durch sensible Revitalisierungen haben sich funktionale Stadtbausteine herausbilden können, denen eine zentrale Bedeutung auf der Stadtteilebene zukommt. Aus den wirkungsgeschichtlichen Untersuchungen ergeben sich neue Impulse für den Hamburger Städtebau und die Stadtentwicklung im Bestand."				application/pdf	individuelle Lizenz	Open Access	info:eu-repo/semantics/openAccess	https://repos.hcu-hamburg.de/handle/hcu/38	Publikationen HCU Hamburg
							doc-type:masterThesis	Text																			
																	710										
hcu_	Richter-Rethwisch, Sophie	Der neue Häuserkampf in Berlin : wie können Stadtplanung und Wohnungspolitik ein „Recht auf Stadt“ ermöglichen?	ger			de	Thesis	Text	2013-01-01	2023-01-27T09:25:45Z	Issued				53.540253,10.004717	710: Landschaftsgestaltung␟Raumplanung␟Wohnungspolitik␟Stadtsoziologie␟Stadtentwicklung␟Beteiligung␟Berlin-Kreuzberg␟ddc:710␟Wohnungspolitik␟Stadtsoziologie␟Stadtentwicklung␟Beteiligung␟Berlin-Kreuzberg		"Vormals „Soziale Brennpunkte“, zentral gelegene Arbeiterviertel wie Neukölln oder Kreuzberg wandeln sich zu begehrten Wohnlagen. Noch vor wenigen Jahren, als im März 2006 die Neuköllner Rütli-Schule durch einen Brandbrief der Rektorin an den Berliner Senat bundesweit bekannt wurde, galt Neukölln als Symbolstadtteil für Armut und Gewalt. Die in den 1960er Jahren zuziehenden Gastarbeiter durften laut Stempel in ihrem Pass nur in den Arbeiterbezirken wohnen und konzentrieren sich bis heute in den
Sozialbauten, für die die Anschlussförderungen versagt wurden und die Kappung der Sozialwohnungsmieten 2011 endete. Seitdem können Mieten bis auf das Kostenmietenniveau erhoben werden, sodass Geringverdiener und Sozialleistungsbezieher schlagartig aus den Wohnungen verdrängt werden und bezahlbare Wohnungen meist nur in den Großwohnsiedlungen am Stadtrand finden können. Diese stadträumliche Verdrängung verstärkt die gesellschaftliche Marginalisierung ökonomisch
benachteiligter Milieus in bisher für Berlin nicht bekanntem Ausmaß. Sie befördert Gewalt und Kriminalität, wie sie in den Pariser Banlieues vorkommt, und zieht weitere gesellschaftliche Integrationsprobleme nach sich. Viele Gastarbeiter, die überwiegend aus der Türkei stammen, konzentrieren sich in den Sozialbauten am Kottbusser Tor, dem „Kotti“, und machen Kreuzberg zu dem bunten, offenen und urbanen Stadtteil, der er heute noch ist. Für die Integration weniger zahlungskräftiger
Bevölkerungsgruppen ist das „Recht auf Stadt“, d.h. vor allem das Recht
auf innerstädtischen Wohnraum, von zentraler Bedeutung, dessen Sicherung eine wichtige Aufgabe der kommunalen Wohnungspolitik sein muss. Auch die steigende Zahl prekär beschäftigter „kreativer Milieus“, von denen viele einer akademischen Bildungsschicht angehören, sind auf preisdämmende staatliche Maßnahmen angewiesen, um ihr „Recht auf Stadt“ zu ermöglichen. Seit Beginn der Finanzkrise gewinnen die Immobilienmärkte als sichere Anlage an Zuspruch durch Investoren, Fondsgesellschaften und Privatpersonen. Besonders die Investition
in Luxusbauten in zentralen Großstadtlagen ermöglicht die größte Rendite. Der jüngste Immobilienboom im Luxussegment treibt die Preise nach oben und verschärft die Knappheit an bezahlbarem Wohnraum in den Großstadtzentren.Zunehmend sind von dem allgemeinen Anstieg der Wohnungspreise in Kreuzberg und Neukölln Teile der Mittelschicht betroffen. Der soziale Wohnungsbau, der nach dem Zweiten Weltkrieg als „nationale Aufgabe“ zum Ziel hatte, „breite Schichten der Bevölkerung“
mit Wohnraum zu versorgen, ist seit Mitte der 1990er Jahre Ländersache. Als preisdämmendes Korrektiv verliert er seine Bedeutung. Der Rückgang der staatlichen Steuerung aufgrund des lange als „entspannt“ geltenden Wohnungsmarktes in Berlin führte zu einer sich zuspitzenden Wohnungsnot. Zahlreicher und lauter werdende Mieterinitiativen machen deutlich, dass ein politisches Gegensteuern und eine Zusammenarbeit mit betroffenen Mietern notwendig sind. Die Mietergemeinschaft Kotti & Co hat ihr Protestcamp am Kottbusser Tor im Oktober 2012 mit Bauwagen und Bretterbude winterfest gemacht und will weiterhin präsent bleiben,
bis die Politik ihre Forderungen umsetzt. Regelmäßig trägt sie mit größer werdenden Lärmdemos ihre Kritik auf die Straße."				application/pdf	individuelle Lizenz	Open Access	info:eu-repo/semantics/openAccess	https://repos.hcu-hamburg.de/handle/hcu/41	Publikationen HCU Hamburg
							doc-type:masterThesis	Text																			
																	710										
hcu_	Look, Frithjof␟Petersen, Jens-Phillip␟Schmedemann, Jan-Phillipp␟Schill, Olga	Großmarkt Hamburg : Szenarien für eine Um- und Neunutzung	ger			de	StudyThesis	Text	2012-01-01	2023-01-26T15:00:41Z	Issued				53.540253,10.004717	M2 Projekt␟710: Landschaftsgestaltung␟Raumplanung␟Großmarkt / Hamburg␟Nutzungsänderung␟ddc:710␟Großmarkt / Hamburg␟Nutzungsänderung		"Die Projektarbeit „Großmarkt Hamburg. Szenarien für eine Um- und
Neunutzung“ erarbeitet zwei Szenarien mit je zwei Handlungsoptionen
bzw. möglichen Entwicklungsschritten. Ein Szenario greift die
aktuellen Öffnungsstrategien des Großmarktes (u.a. „food market“,
Harley Days) auf und ergänzt diese durch einen „food court“. Das
andere, „radikale“ Szenario geht von einer Komplettverlagerung
des Großmarkts aus und entwirft eine mögliche Neunutzung des
Areals durch ein Forschungszentrum für Nachhaltigkeit.
Wesentlich ist dabei, dass nicht nur ein finaler Entwurf erarbeitet
wird, der suggestiv mit dem Vollendeten wirbt, sondern durch je
eine positive und eine negative Handlungsoption auch die Determinanten,
die für eine derartige Entwicklung erfüllt sein müssten,
herausgestellt und beschrieben werden.
Der Projektgruppe geht es dabei nicht nur um die Erarbeitung zweier
Endzustände und des Wegs dahin, sondern auch um die Anwendung
der Szenariotechnik."				application/pdf	individuelle Lizenz	Open Access	info:eu-repo/semantics/openAccess	https://repos.hcu-hamburg.de/handle/hcu/42	Publikationen HCU Hamburg
							doc-type:StudyThesis	Text																			
																	710										
hcu_	Groß, Ramona␟Slawski, Anika	Dornröschen, wach auf! : ein städtebaulich-touristisches Konzept für Eutin-Fissau	ger		Koch, Michael	de	Thesis	Text	2013-01-01	2023-01-27T09:21:08Z	Issued				53.540253,10.004717	710: Landschaftsgestaltung␟Raumplanung␟Stadtentwicklung␟Tourismus␟Eutin␟ddc:710␟Stadtentwicklung␟Tourismus␟Eutin		"Die Arbeit möchte einen fachlichen Beitrag zum allgemeinen Umgang mit wenig zeitgemäßen Tourismusstrukturen
in Destinationen leisten und für eine konkrete Dorfschaft als Grundlage und Entscheidungshilfe für künftige planerische Überlegungen dienen. Ziel ist es dabei, bestehende wissenschaftliche Erkenntnisse zur städtebaulich-
touristischen Entwicklung praktisch anhand einer norddeutschen Dorfschaft mit traditionsreichen, jedoch modernisierungsbedürftigen, touristischen Strukturen zu nutzen. Dazu soll ein besucher- und ortsgerechtes Konzept entwickelt werden, welches sich auf den Ansatz der regionalen Identität stützt und so die bestehenden städtebaulichen sowie touristischen Defizite des Ortes behebt und Potenziale hervorbringt."				application/pdf	individuelle Lizenz	Open Access	info:eu-repo/semantics/openAccess	https://repos.hcu-hamburg.de/handle/hcu/43	Publikationen HCU Hamburg
							doc-type:bachelorThesis	Text																			
																	710										
hcu_	Kemper, Leonie	Die Karstquellen der Hellwegbörden : schützenswertes Element der Kulturlandschaft? ; ein Beitrag zum Schutz historischer Kulturlandschaftselemente	ger		Knieling, Jörg	de	Thesis	Text	2013-01-01	2023-01-27T09:20:14Z	Issued				53.540253,10.004717	710: Landschaftsgestaltung␟Raumplanung␟Kulturlandschaft␟Hellwegbörde␟Westfalen␟ddc:710␟Kulturlandschaft␟Hellwegbörde␟Westfalen		Die Kulturlandschaftsforschung in Nordrhein-Westfalen hat bereits zu einer Analyse des Raumes geführt, sodass 32 Kulturlandschaften anhand ihrer entscheidenden Charakteristika und Merkmale definiert werden konnten. Auch den Hellwegbörden wurde im Zuge dessen der Status der Kulturlandschaft verliehen. In dieser Region Nordrhein-Westfalens lässt sich ein besonders hohes Aufkommen an sogenannten Karstquellen auffinden, welche durch den Zugang zum Frischwasser aus historischer Sicht starken Einfluss auf die Entwicklung dieses Gebietes ausübten. Diese Naturdenkmäler wurden jedoch im Rahmen der Kulturlandschaftsforschung in Nordrhein-Westfalen nicht umfangreich untersucht, sodass sie bisher keine Schutzwürdigkeit als Bestandteile der Hellwegbörden erfahren. Diese Bachelorarbeit leistet einen Beitrag zum Kulturlandschaftsschutz, indem sie sich der Fragestellung widmet, ob die Karstquellen schützenswerte Elemente der Kulturlandschaft Hellwegbörden darstellen. Anhand von Bewertungskriterien soll untersucht werden, inwiefern sie die verschiedenen Werte eines schutzwürdigen Kulturlandschaftselementes erfüllen. Abschließend wird eine Empfehlung zum weiteren Umgang mit den Karstquellen gegeben.				application/pdf	individuelle Lizenz	Open Access	info:eu-repo/semantics/openAccess	https://repos.hcu-hamburg.de/handle/hcu/44	Publikationen HCU Hamburg
							doc-type:bachelorThesis	Text																			
																	710										
hcu_	Ulaş, Coşkun	Im Schatten des Billstedt-Centers? : Potenziale des lokalen Gewerbes im direkten Umfeld eines Shopping-Centers	ger		Krüger, Thomas	de	Thesis	Text	2013-01-01	2023-01-27T09:16:40Z	Issued				53.540253,10.004717	710: Landschaftsgestaltung␟Raumplanung␟Hamburg-Billstedt␟Einkaufszentrum␟Einzelhandel␟ddc:710␟Hamburg-Billstedt␟Einkaufszentrum␟Einzelhandel		"Die vorliegende Ausarbeitung ist eine analytische Untersuchung im Bereich „Lokales Gewerbe mit dem Schwerpunkt Einzelhandel und Gastronomie im direkten Umfeld eines Shopping-Centers“. Dabei beschränkt sich die Analyse nicht auf den kleinteilig angelegten lokalen Einzelhandel, sondern beschreibt vielmehr dessen Situation im räumlichen und funktionalen Bezug zum angrenzenden Shopping-Center. Sie arbeitet die Potenziale des untersuchten
Gebietes aus und beschreibt auch in diesem Zusammenhang bereits existierende bzw. mögliche Probleme. ... Die Zielsetzung und das damit verbundene Erkenntnisinteresse hierbei ist die Ausarbeitung von Potenzialen und Problemen, die die strukturelle Situation im untersuchten Gebiet vorweist. Im Rahmen der Analyse wird diese Situation abschließend bewertet und auf diesen Ergebnissen aufbauend werden erste Handlungsempfehlungen bzw. Verbesserungsvorschläge formuliert."				application/pdf	individuelle Lizenz	Open Access	info:eu-repo/semantics/openAccess	https://repos.hcu-hamburg.de/handle/hcu/45	Publikationen HCU Hamburg
							doc-type:bachelorThesis	Text																			
																	710										
hcu_	Klein, Philipp␟Krämer, Ronja␟Lobinger, Sophia␟Macele, Sharon␟Tihanyi, Attila	Städtebaureform und Nachverdichtung in Hamm und Horn	ger			de	StudyThesis	Text	2014-01-01	2023-01-26T15:11:17Z	Issued				53.540253,10.004717	710: Landschaftsgestaltung␟Raumplanung␟Städtebau␟Reform␟Verdichtete Bebauung␟ddc:710␟Städtebau␟Reform␟Verdichtete Bebauung						application/pdf	individuelle Lizenz	Open Access	info:eu-repo/semantics/openAccess	https://repos.hcu-hamburg.de/handle/hcu/46	Publikationen HCU Hamburg
							doc-type:StudyThesis	Text																			
																	710										
hcu_	Stellmacher, Christoph	Informelle Ökonomie - informeller Strassenhandel : allgemeine Theorie, gelebte Praxis und deren Auswirkungen in Mexiko-Stadt	ger			de	Thesis	Text	2011-01-01	2023-01-27T09:44:31Z	Issued				53.540253,10.004717	710: Landschaftsgestaltung␟Raumplanung␟Schattenwirtschaft␟Straßenverkauf␟Mexiko <Stadt>␟ddc:710␟Schattenwirtschaft␟Straßenverkauf␟Mexiko <Stadt>		"""Die vorliegende Untersuchung verknüpft die Auseinandersetzung um die Bedeutung und Gründe für informelle Ökonomie mit dem konkreten Beispiel des Straßenhandels von Mexiko-Stadt und dessen räumlichen Auswirkungen. Es wird anhand der Diskussion um die informelle Ökonomie in der Form des informellen Straßenhandels die spezifische Situation in Mexiko-Stadt genauer analysiert.
Das Interesse dieser Arbeit liegt zunächst darin, die Grundelemente des Begriffs der informellen Ökonomie und Unterschiede in der wissenschaftlichen Auseinandersetzung zu erarbeiten. Fragen nach der genauen Bedeutung des Begriffes und einer möglichen Abgrenzbarkeit stellen sich ebenso wie jene nach der Betrachtungsweise informeller Wirtschaftsaktivitäten.
Auch stellt sich die Frage nach der spezifischen Situation des Staates Mexiko und jener von Mexiko-Stadt. Wie sich die Stadt entwickelte, welchen Einfluss die Wirtschaft des gesamten Landes auf die Stadt hat, welche Rolle die informelle Ökonomie in der gesamten Wirtschaftsleistung einnimmt und welchen Stellenwert der Straßenhandel in Mexiko-Stadt hat ist von Bedeutung für die Untersuchung.
Der Interessenschwerpunkt der Arbeit liegt auf den Nutzungs- und Aneignungsformen des öffentlichen Stadtraumes durch den informellen Straßenhandel in Mexiko-Stadt. So ist es interessant, verschiedene Formen der Aneignung sowie die Praktiken zu untersuchen, mit denen Formen der Repression begegnet wird, beziehungsweise zu klären, welche Folgen gezielte Eingriffe durch Maßnahmen auf den Straßenhandel haben ... """				application/pdf	individuelle Lizenz	Open Access	info:eu-repo/semantics/openAccess	https://repos.hcu-hamburg.de/handle/hcu/47	Publikationen HCU Hamburg
							doc-type:masterThesis	Text																			
																	710										
hcu_	Ygit, Ayse	Bürgerbeteiligung am Beispiel des Veddeler Nordufers : Darstellung und Bewertung einzelner Bürgerbeteiligungsverfahren mit einer großen Anzahl an Bewohnern mit Migrationshintergrund	ger		Schubert, Dirk	de	Thesis	Text	2014-01-01	2023-01-27T09:20:13Z	Issued				53.540253,10.004717	710: Landschaftsgestaltung␟Raumplanung␟Bürgerbeteiligung␟Hamburg-Veddel␟Migration␟ddc:710␟Bürgerbeteiligung␟Hamburg-Veddel␟Migration						application/pdf	individuelle Lizenz	Open Access	info:eu-repo/semantics/openAccess	https://repos.hcu-hamburg.de/handle/hcu/49	Publikationen HCU Hamburg
							doc-type:bachelorThesis	Text																			
																	710										
hcu_	Jürgens, Florian	Zukunftsperspektiven für die vorbereitende Bauleitplanung	ger			de	Thesis	Text	2011-01-01	2023-01-27T09:34:26Z	Issued				53.540253,10.004717	710: Landschaftsgestaltung␟Raumplanung␟Bauleitplanung␟ddc:710␟Bauleitplanung						application/pdf	individuelle Lizenz	Open Access	info:eu-repo/semantics/openAccess	https://repos.hcu-hamburg.de/handle/hcu/51	Publikationen HCU Hamburg
							doc-type:masterThesis	Text																			
																	710										
hcu_	Pahl, Julius	Transformation von Stadträumen : Nachverdichtung in Hamburg-Eimsbütttel	ger		Koch, Michael	de	Thesis	Text	2013-01-01	2023-01-27T09:20:14Z	Issued				53.540253,10.004717	710: Landschaftsgestaltung␟Raumplanung␟Stadtteil␟Hamburg-Eimsbüttel␟Weiterentwicklung␟Bebauungsdichte␟ddc:710␟Stadtteil␟Hamburg-Eimsbüttel␟Weiterentwicklung␟Bebauungsdichte						application/pdf	individuelle Lizenz	Open Access	info:eu-repo/semantics/openAccess	https://repos.hcu-hamburg.de/handle/hcu/52	Publikationen HCU Hamburg
							doc-type:bachelorThesis	Text																			
																	710										
hcu_	Fischer, Ralf␟Schmidt, Florian	Recht auf öffentlichen Raum : eine Untersuchung am Beispiel öffentlicher Räume in Hamburg unter planerischen Gerechtigkeitsaspekten	ger			de	Thesis	Text	2013-01-01	2023-01-27T09:34:24Z	Issued				53.540253,10.004717	710: Landschaftsgestaltung␟Raumplanung␟Öffentlicher Raum␟Hamburg␟Stadtplanung␟Gerechtigkeit␟Ethik␟ddc:710␟Öffentlicher Raum␟Hamburg␟Stadtplanung␟Gerechtigkeit␟Ethik		"Im Rahmen der vorliegenden Master-Thesis Recht auf öffentlichen Raum soll untersucht werden, welche moralischen Motive – unter Berücksichtigung ethischer Gesichtspunkte – für das gute Handeln des Planenden vorliegen. Wenn man voraussetzt, dass Planende in ihrem beruflichen Handeln die Lebensqualität ihrer Mitmenschen beeinflussen können, lohnt es sich vor diesem Hintergrund, die Wechselseitigkeit zwischen Planung und Ethik einleuchtend zu untersuchen.
Konkret soll in dieser Thesis daher das Verhältnis folgender Fragen
zueinander beleuchtet werden: Auf der einen Seite, was wird in der Planung
getan? Auf der anderen Seite, was sollte in der Planung getan werden? Dieses Verhältnis stellt den Ausgangspunkt des wissenschaftlichen Erkenntnisinteresses der ersten Forschungsphase der vorliegenden Arbeit dar..."				application/pdf	individuelle Lizenz	Open Access	info:eu-repo/semantics/openAccess	https://repos.hcu-hamburg.de/handle/hcu/53	Publikationen HCU Hamburg
							doc-type:masterThesis	Text																			
																	710										
