TipoActividad,cnae09,URI_CNAE,Seccion,Column,Column2,Column3,Column4,Padre,titulo,Descripción:,CNAE 09 a dos dígitos,CNAE 09 a tres dígitos,CNAE 09 a cuatro dígitos,Column 3,Ramas de actividad CNAE 09 (R-6),Ramas de actividad CNAE 09 (R-12),Ramas de actividad CNAE 09 (R-28),Ramas de actividad CNAE 09 (R-66)
Seccion,A,http://vocab.linkeddata.es/datosabiertos/kos/comercio/cnae/Seccion/A,A,A,,,,,"Agricultura, ganadería, silvicultura y pesca",,,,,,,,,
Division,01,http://vocab.linkeddata.es/datosabiertos/kos/comercio/cnae/Division/01,A,0,1,,,Seccion/A,"Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas",,,,,,,,,
Cod3,011,http://vocab.linkeddata.es/datosabiertos/kos/comercio/cnae/Cod3/011,A,0,1,1,,Division/01,Cultivos no perennes,,,,,,,,,
Cod4,0111,http://vocab.linkeddata.es/datosabiertos/kos/comercio/cnae/Cod4/0111,A,0,1,1,1,Cod3/011,"Cultivo de cereales (excepto arroz), leguminosas y semillas oleaginosas",,,,,,,,,
Cod4,0112,http://vocab.linkeddata.es/datosabiertos/kos/comercio/cnae/Cod4/0112,A,0,1,1,2,Cod3/011,Cultivo de arroz,,,,,,,,,
Cod4,0113,http://vocab.linkeddata.es/datosabiertos/kos/comercio/cnae/Cod4/0113,A,0,1,1,3,Cod3/011,"Cultivo de hortalizas, raíces y tubérculos",,,,,,,,,
Cod4,0114,http://vocab.linkeddata.es/datosabiertos/kos/comercio/cnae/Cod4/0114,A,0,1,1,4,Cod3/011,Cultivo de caña de azúcar,,,,,,,,,
Cod4,0115,http://vocab.linkeddata.es/datosabiertos/kos/comercio/cnae/Cod4/0115,A,0,1,1,5,Cod3/011,Cultivo de tabaco,,,,,,,,,
Cod4,0116,http://vocab.linkeddata.es/datosabiertos/kos/comercio/cnae/Cod4/0116,A,0,1,1,6,Cod3/011,Cultivo de plantas para fibras textiles,,,,,,,,,
Cod4,0119,http://vocab.linkeddata.es/datosabiertos/kos/comercio/cnae/Cod4/0119,A,0,1,1,9,Cod3/011,Otros cultivos no perennes,,,,,,,,,
Cod3,012,http://vocab.linkeddata.es/datosabiertos/kos/comercio/cnae/Cod3/012,A,0,1,2,,Division/01,Cultivos perennes,,,,,,,,,
Cod4,0121,http://vocab.linkeddata.es/datosabiertos/kos/comercio/cnae/Cod4/0121,A,0,1,2,1,Cod3/012,Cultivo de la vid,,,,,,,,,
Cod4,0122,http://vocab.linkeddata.es/datosabiertos/kos/comercio/cnae/Cod4/0122,A,0,1,2,2,Cod3/012,Cultivo de frutos tropicales y subtropicales,,,,,,,,,
Cod4,0123,http://vocab.linkeddata.es/datosabiertos/kos/comercio/cnae/Cod4/0123,A,0,1,2,3,Cod3/012,Cultivo de cítricos,,,,,,,,,
Cod4,0124,http://vocab.linkeddata.es/datosabiertos/kos/comercio/cnae/Cod4/0124,A,0,1,2,4,Cod3/012,Cultivo de frutos con hueso y pepitas,,,,,,,,,
Cod4,0125,http://vocab.linkeddata.es/datosabiertos/kos/comercio/cnae/Cod4/0125,A,0,1,2,5,Cod3/012,Cultivo de otros árboles y arbustos frutales y frutos secos,,,,,,,,,
Cod4,0126,http://vocab.linkeddata.es/datosabiertos/kos/comercio/cnae/Cod4/0126,A,0,1,2,6,Cod3/012,Cultivo de frutos oleaginosos,,,,,,,,,
Cod4,0127,http://vocab.linkeddata.es/datosabiertos/kos/comercio/cnae/Cod4/0127,A,0,1,2,7,Cod3/012,Cultivo de plantas para bebidas,,,,,,,,,
Cod4,0128,http://vocab.linkeddata.es/datosabiertos/kos/comercio/cnae/Cod4/0128,A,0,1,2,8,Cod3/012,"Cultivo de especias, plantas aromáticas, medicinales y farmacéuticas",,,,,,,,,
