Record - metadata - oai_dc:dc - xsi:schemaLocation	dc:subject	Record - metadata - oai_dc:dc - dc:subject - xsi:type	Record - metadata - oai_dc:dc - dc:subject - ddb:GND-Nr	dc:creator	dc:type	Record - metadata - oai_dc:dc - dc:audience	dc:identifier	dc:rights	dc:title	dc:format	dc:date	dc:language	dc:description	Record - metadata - oai_dc:dc - dc:relation	dc:contributor	dc:publisher	dc:source	Record - header - setSpec	Record - header - datestamp
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	Armut			Gernert, Verena	Thesis	Researchers	https://doi.org/10.34712/142.1	info:eu-repo/semantics/openAccess	Städtische Armutsmuster in Sofia – Grenzen und Möglichkeiten der integrierten Stadtentwicklung durch die Europäische Union	application/pdf	2019-01-01	ger						com_hcu_13	2023-01-27T09:53:58Z
	Ausgrenzung				doc-type:doctoralThesis	Students	https://repos.hcu-hamburg.de/handle/hcu/21											col_hcu_15	
	Stadtentwicklung						10.34712/142.1											open_access	
	Europäische Union																	doc-type:doctoralThesis	
	Osteuropa																	ddc:710	
	Sofia																		
	Stadtviertel																		
	710: Landschaftsgestaltung, Raumplanung																		
	ddc:710																		
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	energy planning			Fischer, Jonas	Working Paper	Researchers	https://doi.org/10.34712/142.5	info:eu-repo/semantics/openAccess	Energy Improvement Districts : Conceptual and Technical Guidance for Implementing Cooperative Energy Planning at the District Level	application/pdf	2020-01-01	eng	European Union, European Regional Development Fund	AREA 21 : Baltic Smart City Areas for the 21st century		HafenCity Universität Hamburg		com_hcu_13	2023-01-26T14:57:26Z
	district level			Arlati, Alessandro	doc-type:workingPaper	Students	978-3-947972-19-7							Interreg Baltic Sea Region				col_hcu_15	
	governance			Johst, Janne			https://repos.hcu-hamburg.de/handle/hcu/28											open_access	
	stakeholder collaboration			Vladova, Galya			10.34712/142.5											ddc:710	
	guidance			Knieling, Jörg															
	710: Landschaftsgestaltung, Raumplanung			Camara, Camila															
	ddc:710																		
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	Policy recommendations			Fischer, Jonas	Working Paper	Researchers	https://doi.org/10.34712/142.4	info:eu-repo/semantics/openAccess	Recommendations for policy improvement for cooperative planning in BSR cities and regions	application/pdf	2020-01-01	eng		AREA 21 : Baltic Smart City Areas for the 21st century		HafenCity Universität Hamburg		com_hcu_13	2023-01-26T14:57:27Z
	EU-level			Arlati, Alessandro	doc-type:workingPaper	Students	978-3-947972-23-4							Interreg Baltic Sea Region				col_hcu_15	
	collaborative energy planning			Johst, Janne			https://repos.hcu-hamburg.de/handle/hcu/29											open_access	
	district-level			Vladova, Galya			10.34712/142.4											ddc:710	
	710: Landschaftsgestaltung, Raumplanung			Knieling, Jörg															
	ddc:710			Camara, Camila															
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	energy planning			Fischer, Jonas	Working Paper	Researchers	https://doi.org/10.34712/142.3	info:eu-repo/semantics/openAccess	Energy Improvement Districts - A Model Instrument for Low-Emission Cities	application/pdf	2020-01-01	eng		AREA 21 : Baltic Smart City Areas for the 21st century		HafenCity Universität Hamburg		com_hcu_13	2023-01-26T14:58:57Z
	governance			Arlati, Alessandro	doc-type:workingPaper	Students	978-3-947972-21-0							Interreg Baltic Sea Region				col_hcu_15	
	stakeholder collaboration			Johst, Janne			https://repos.hcu-hamburg.de/handle/hcu/30											open_access	
	district level			Vladova, Galya			10.34712/142.3											ddc:710	
	710: Landschaftsgestaltung, Raumplanung			Knieling, Jörg															
	ddc:710			Camara, Camila															
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	710: Landschaftsgestaltung, Raumplanung			Hansen, André	Thesis	Researchers	https://repos.hcu-hamburg.de/handle/hcu/34	info:eu-repo/semantics/openAccess	KlimaBöden : qualitatives Management urbaner Böden und deren Nutzung zur Optimierung des Stadtklimas; am Beispiel Hamburg	application/pdf	2013-01-01	ger	"KlimaBöden - Seit langem schon steht das Klima der Städte in der Kritik einiger Wissenschaften. Ebenso die urbanen Böden. Doch werden die disziplinären Scheuklappen abgelegt, ist ein intelligenter Umgang mit den
Wechselwirkungen von städtischem Klima und Boden möglich, der sogar positive und einzigartige Entwicklungen mit sich bringen kann.
Der Boden als des Stadtplaners größtes Gut, wird in dieser Arbeit mit einem qualitativen Management belegt, um die natürlichen Funktionen der Stadtböden nutzbar zu machen und ihre klimawirksamen Effekte optimierend einzusetzen. Disziplinübergreifende Arbeitsmethoden
und die Abkehr von veralteter Stadtplanung, sind dabei ebenso maßgeblich wie der passgenaue Umgang mit individuellen Stadtstrukturen."					com_hcu_13	2023-01-27T09:28:54Z
	Klima			Ulbrich, Katja	doc-type:masterThesis	Students												col_hcu_31	
	Boden																	open_access	
	Stadtklima																	ddc:710	
	ddc:710																	doc-type:masterThesis	
	Klima	xMetaDiss:GND																	
	Boden	xMetaDiss:GND																	
	Stadtklima	xMetaDiss:GND	4134931-3																
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	710: Landschaftsgestaltung, Raumplanung			Adanali, Zeynep	Thesis	Researchers	https://repos.hcu-hamburg.de/handle/hcu/35	info:eu-repo/semantics/openAccess	Türkischstämmige Migranten auf dem Hamburger Wohnungsmarkt : am Beispiel des Stadtteils Wilhelmsburg	application/pdf	2013-01-01	ger						com_hcu_13	2023-01-27T09:36:11Z
	Migration				doc-type:masterThesis	Students												col_hcu_31	
	Wohnungsmarkt																	open_access	
	Einwanderer																	ddc:710	
	Hamburg-Wilhelmsburg																	doc-type:masterThesis	
	ddc:710																		
	Migration	xMetaDiss:GND																	
	Wohnungsmarkt	xMetaDiss:GND																	
	Einwanderer	xMetaDiss:GND																	
	Hamburg-Wilhelmsburg	xMetaDiss:GND																	
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	710: Landschaftsgestaltung, Raumplanung			Römhild, Clara Marie	Thesis	Researchers	https://repos.hcu-hamburg.de/handle/hcu/37	info:eu-repo/semantics/openAccess	Und was passiert mit Omas Haus? : partizipative Planungsansätze im Umgang mit den aktuellen Herausforderungen in Einfamilienhausgebieten der 1950er - 70er Jahre	application/pdf	2013-01-01	ger	Zentrale Aufgabenstellung dieser Bachelorarbeit ist es anhand von Kriterien zu bewerten, ob die partizipativen Ansätze des Nutzungszyklus-Managements, welche für 1950er-70er Jahre Quartiere mit Geschosswohnungsbau entwickelt wurden, auch in Eigenheimsiedlungen desselben Zeitraums Anwendung finden können. Ergebnis soll ein Überblick über die Anwendungsmöglichkeiten partizipativer Planungsinstrumente des Nutzungszyklus-Managements von Geschosswohnsiedlungen in Einfamilienhaussiedlungen der 1950er-70er Jahre sein. Der Überblick kann Kommunen bei der Auswahl geeigneter partizipativer Instrumente für eine nachhaltige Entwicklung der 1950er-70er Jahre Eigenheimsiedlungen unterstützen. Darüber hinaus kann diese Arbeit einen Ansatz für die Entwicklung eines NZM für Einfamilienhaussiedlungen der 1950er-70er Jahre liefern.		Knieling, Jörg			com_hcu_13	2023-01-27T09:21:09Z
	Wohnsiedlung				doc-type:bachelorThesis	Students												col_hcu_31	
	Einfamilienhaus																	open_access	
	Lebenszyklus <Wirtschaft>																	ddc:710	
	ddc:710																	doc-type:bachelorThesis	
	Wohnsiedlung	xMetaDiss:GND																	
	Einfamilienhaus	xMetaDiss:GND																	
	Lebenszyklus <Wirtschaft>	xMetaDiss:GND																	
