Column 1,Column 2,Column 3,Column 4
HRQ QI™ ICD-10-CM/PCS Specification v2020,,,
Inpatient Quality Indicators Appendices,,,
www.qualityindicators.ahrq.gov,,,
"APPENDIX A: Abnormal presentation, fetal death, and multiple gestation diagnosis codes",,,
"Abnormal presentation, fetal death, and multiple gestation diagnosis codes: (PRCSECD)",,,
O30001,"Twin pregnancy, unspecified number of",O3123X1,Continuing pregnancy after intrauterine
,placenta and unspecified number of,,"death of one fetus or more, third"
,"amniotic sacs, first trimester",,"trimester, fetus 1"
O30002,"Twin pregnancy, unspecified number of",O3123X2,Continuing pregnancy after intrauterine
,placenta and unspecified number of,,"death of one fetus or more, third"
,"amniotic sacs, second trimester",,"trimester, fetus 2"
O30003,"Twin pregnancy, unspecified number of",O3123X3,Continuing pregnancy after intrauterine
,placenta and unspecified number of,,"death of one fetus or more, third"
,"amniotic sacs, third trimester",,"trimester, fetus 3"
O30009,"Twin pregnancy, unspecified number of",O3123X4,Continuing pregnancy after intrauterine
,placenta and unspecified number of,,"death of one fetus or more, third"
,"amniotic sacs, unspecified trimester",,"trimester, fetus 4"
O30011,"Twin pregnancy,",O3123X5,Continuing pregnancy after intrauterine
,"monochorionic/monoamniotic, first",,"death of one fetus or more, third"
trimester,,,"trimester, fetus 5"
O30012,"Twin pregnancy,",O3123X9,Continuing pregnancy after intrauterine
,"monochorionic/monoamniotic, second",,"death of one fetus or more, third"
trimester,,,"trimester, other fetus"
O30013,"Twin pregnancy,",O318X10,Other complications specific to multiple
,"monochorionic/monoamniotic, third",,"gestation, first trimester, not applicable or"
trimester,,unspecified,
O30019,"Twin pregnancy,",O318X11,Other complications specific to multiple
,"monochorionic/monoamniotic, unspecified",,"gestation, first trimester, fetus 1"
trimester,,,
O30021,"Conjoined twin pregnancy, first trimester",O318X12,Other complications specific to multiple
,,,"gestation, first trimester, fetus 2"
O30022,"Conjoined twin pregnancy, second",O318X13,Other complications specific to multiple
trimester,,,"gestation, first trimester, fetus 3"
O30023,"Conjoined twin pregnancy, third trimester",O318X14,Other complications specific to multiple
,,,"gestation, first trimester, fetus 4"
O30029,"Conjoined twin pregnancy, unspecified",O318X15,Other complications specific to multiple
trimester,,,"gestation, first trimester, fetus 5"
O30031,"Twin pregnancy,",O318X19,Other complications specific to multiple
,"monochorionic/diamniotic, first trimester",,"gestation, first trimester, other fetus"
July 2020,1 of 11,,
,HRQ QI™ ICD-10-CM/PCS Specification v2020,Appendix A,
,Inpatient Quality Indicators Appendices,,
www.qualityindicators.ahrq.gov,,,
O30032,"Twin pregnancy,",O318X20,Other complications specific to multiple
,"monochorionic/diamniotic, second",,"gestation, second trimester, not applicable"
trimester,,,or unspecified
