Seccion,Division,Epigrafe,Literal,literal corto,INDICE
A,01,010001,Explotaciones agrícolas,Explotaciones agrícolas,
A,01,010002,Explotaciones ganaderas,Explotaciones ganaderas,
A,02,020001,Silvicultura y explotación forestal,Silvicultura y explotación forestal,
A,03,030001,Pesca y acuicultura,Pesca y acuicultura,
B,05,050001,"Extracción de antracita, hulla y lignito","Extracción de antracita, hulla y lignito",
B,06,060001,Extracción de crudo de petróleo y gas natural,Extracción de crudo de petróleo y gas natural,
B,07,070001,Extracción de minerales metálicos,Extracción de minerales metálicos,
B,08,080001,Otras industrias extractivas,Otras industrias extractivas,
B,09,090001,Actividades de apoyo a las industrias extractivas,Actividades de apoyo a las industrias extractivas,
C,10,101001,"Procesado y conservación de carne y elaboración de productos cárnicos, aves y caza","Procesado,conservac.,elabor.carne,produc.cárnicos,aves,caza",
C,10,101002,Salas de despiece ,Salas de despiece ,
C,10,101003,"	Envasado de carne y derivados de carne","	Envasado de carne y derivados de carne",
C,10,102001,"Elaboración, envasado y conservación de  productos pesqueros y mariscos","Elaboración, envasado,conservac.produc.pesqueros y marisco",
C,10,102002,"	Puesto del Mercado Central de Pescados de fabricación y/o elaboración y/o transformación de productos de la pesca","Puesto Merc.Central Pescados fabr,elab,transf prod pesca",
C,10,102003,"	Envasado de productos de la pesca: envasado y re envasado de productos de la pesca",Envasado prod.pesca:envasado y reenvasado,
C,10,103001,"Elaboración, envasado y conservación de frutas, verduras y derivados","Elaboración, envasado,conservac. frutas, verduras y derivad.",
C,10,103002,"	Envasado de frutas y hortalizas frescas","	Envasado de frutas y hortalizas frescas",
C,10,104001,Fabricación de aceites y grasas vegetales y animales,Fabricación de aceites y grasas vegetales y animales,
C,10,105001,Procesado y conservación de leche y derivados,Procesado y conservación de leche y derivados,
C,10,105002,Fabricación de helados,Fabricación de helados,
C,10,106001,"Fabricación de productos de molinería (harinas), almidones y derivados","Fabric.productos molinería(harinas), almidones y derivados",
C,10,107001,Fabricación de productos de panadería y pastelería,Fabricación de productos de panadería y pastelería,
C,10,107002,"Fabricación de pastas alimenticias,cuscus y similares","Fabricación de pastas alimenticias,cuscus y similares",
C,10,108001,Procesado y conservación de platos preparados o precocinados y dietéticos,"Procesado,conservac.platos preparados,precocin. y dietéticos",
C,10,108002,Procesado y conservación de congelados,Procesado y conservación de congelados,
C,10,108003,Elaboración/envasado de ovoproductos,Elaboración/envasado de ovoproductos,
C,10,108004,Elaboración y envasado de huevos,Elaboración y envasado de huevos,
C,10,108005,Fabricación o elaboración de otros productos alimenticios n.c.o.p.,"Fabric., elaboración otros produc.alimenticios n.c.o.p.",
C,10,109001,Fabricación de productos para la alimentación animal,Fabricación de productos para la alimentación animal,
C,11,110001,Fabricación de bebidas,Fabricación de bebidas,
C,12,120001,Industria del tabaco,Industria del tabaco,
C,13,130001,"Fabricación de tejidos textiles, alfombras, cuerdas y otros productos textiles (excepto prendas de vestir)","Fabric.tejido textil, alfombras, cuerdas,(except.confección)",
C,14,141001,Confección prendas de vestir (incluido cuero y excluida la peletería y las prendas de punto),"Confección prendas vestir incl.cuero(except.peletería,punto)",
C,14,142001,Fabricación de artículos de peletería,Fabricación de artículos de peletería,
C,14,143001,Confección de prendas de vestir de punto,Confección de prendas de vestir de punto,
C,15,151001,"Preparación, curtido y acabado del cuero; fabricación de artículos de marroquinería, viaje, guarnicionería y talabartería; preparación y teñido de pieles","Industria cuero(marroquin.,teñido piel) except.prendas cuero",
C,15,152001,Fabricación de calzado,Fabricación de calzado,
C,16,160001,"Industria de la madera y corcho (excepto muebles), cestería y espartería","Industria madera,corcho(except. muebles);cestería,espartería",
C,17,170001,Industria del papel,Industria del papel,
C,18,181001,Imprenta,Imprenta,
C,18,181002,Serigrafía y servicios de preimpresión y preparación de soportes,"Serigrafía,servicios de preimpresión,preparación de soportes",
C,18,181003,Encuadernación y servicios relacionados con la misma,Encuadernación y servicios relacionados con la misma,
C,18,182001,Reproducción de soportes grabados,Reproducción de soportes grabados,
C,19,190001,Coquerías y refino de petróleo,Coquerías y refino de petróleo,
C,20,201001,"Fabricación de productos químicos básicos, compuestos nitrogenados, fertilizantes, plásticos y caucho sintético en formas primarias","Fabric.prod.químic.básico,fertiliz.,plástico,caucho sintét. ",
C,20,202001,Fabricación de pesticidas y otros productos agroquímicos,Fabricación de pesticidas y otros productos agroquímicos,
C,20,203001,"Fabricación de pinturas, barnices, lacas y revestimientos similares","Fabric.pinturas, barnices, lacas y revestimientos similares",
C,20,203002,Fabricación de tintas de imprenta y masillas,Fabricación de tintas de imprenta y masillas,
C,20,204001,"Fabricación de jabones, detergentes y otros artículos de limpieza; perfumes y cosméticos","Fabric. jabón, detergente,art. limpieza; perfumes,cosméticos",
C,20,205001,Fabricación de otros productos químicos,Fabricación de otros productos químicos,
C,20,206001,Fabricación de fibras artificiales y sintéticas,Fabricación de fibras artificiales y sintéticas,
C,21,210001,Fabricación productos farmaceúticos,Fabricación productos farmaceúticos,
C,22,220001,Fabricación de productos de caucho y plásticos,Fabricación de productos de caucho y plásticos,
C,23,230001,"Fabricación de productos minerales no metálicos (hormigón, cemento, mortero, cal, yeso, ladrillos, cerámica)","Fabric.prod.minerales no metálicos (hormigón,yeso,cerámica)",
C,23,230002,Fabricación de artículos derivados del yeso y/o escayola,Fabricación de artículos derivados del yeso y/o escayola,
C,23,230003,"Corte, tallado y acabado de la piedra","Corte, tallado y acabado de la piedra",
C,23,230004,Fabricación de vidrio y productos derivados,Fabricación de vidrio y productos derivados,
C,23,230005,Fabricación de vajillas y artículos para el hogar,Fabricación de vajillas y artículos para el hogar,
C,23,230006,"Fabricación de productos abrasivos y productos minerales no metálicos
n.c.o.p.",Fabric.produc.abrasivos y minerales no metálicos n.c.o.p.,
C,24,240001,"Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones","Metalurgia; fabric.produc.hierro, acero y ferroaleaciones",
C,25,250001,Fabricación artículos de ferretería,Fabricación artículos de ferretería,
C,25,250002,Recubrimientos metálicos (tratamiento y revestimiento de metales),"Recubrimientos metálicos (tratamiento,revestimiento metales)",
C,25,250003,"Fabricación de productos metálicos, excepto maquinaria y equipo","Fabricación productos metálicos, except.maquinaria y equipo",
C,26,261001,Fabricación de componentes electrónicos y circuitos impresos ensamblados,Fabric.componentes electrónicos y circuitos ensamblados,
C,26,262001,Fabricación de ordenadores y equipos informáticos,Fabricación de ordenadores y equipos informáticos,
C,26,263001,Fabricación de equipos de telecomunicaciones,Fabricación de equipos de telecomunicaciones,
C,26,264001,Fabricación de productos electrónicos de consumo,Fabricación de productos electrónicos de consumo,
C,26,265001,"Fabricación de instrumentos de precisión, medida y control; fabricación de relojes","Fabric.instrumentos precisión,medida y control y relojes",
C,26,266001,"Fabricación de equipos de radiación, electromédicos y electroterapéuticos","Fabric.equipos radiación, electromédicos,electroterapéuticos",
C,26,267001,Fabricación de instrumentos de óptica y equipo fotográfico,Fabricación de instrumentos de óptica y equipo fotográfico,
C,26,268001,Fabricación de soportes magnéticos y ópticos,Fabricación de soportes magnéticos y ópticos,
C,27,270001,"Fabricación de aparatos eléctricos, electrodomésticos (excepto ordenadores)","Fabric.aparat.eléctricos, electrodomést.(except.ordenadores)",
C,27,270002,Fabricación de material y equipo eléctrico (excepto ordenadores),Fabric.material y equipo eléctrico (except.ordenadores),
C,28,280001,Fabricación de maquinaria de uso general y equipo n.c.o.p.,Fabricación de maquinaria de uso general y equipo n.c.o.p.,
C,29,290001,"Fabricación de vehículos de motor, remolques y semirremolques","Fabric.vehículos motor,remolques y semirremolques",
C,30,300001,Fabricación de otro material de transporte,Fabricación de otro material de transporte,
C,31,310001,Fabricación de muebles (incluidos colchones),Fabricación de muebles (incluidos colchones),
C,31,310002,Carpintería y ebanistería,Carpintería y ebanistería,
C,32,321001,"Fabricación de artículos de joyería, bisutería y similares","Fabricación de artículos de joyería, bisutería y similares",
C,32,322001,Fabricación de instrumentos musicales,Fabricación de instrumentos musicales,
C,32,323001,Fabricación de artículos de deporte,Fabricación de artículos de deporte,
C,32,324001,Fabricación de juegos y juguetes,Fabricación de juegos y juguetes,
C,32,325001,Fabricación de instrumentos y suministros médicos y odontológicos,Fabric.instrumentos y suministros médicos y odontológicos,
C,32,329001,Industrias manufactureras n.c.o.p.,Industrias manufactureras n.c.o.p.,
C,33,331001,"Mantenimiento y reparación de maquinaria y equipo, incluido el ferroviario","Mantenimiento,repara.maquinar. y equipo,incluido ferroviario",
C,33,332001,Instalación de máquinas y equipos industriales,Instalación de máquinas y equipos industriales,
D,35,350001,"Producción, transporte y distribución de energía eléctrica y gas","Producción,transporte y distribución electricidad y gas",
D,35,350002,Fabricación de hielo y suministro de vapor y aire acondicionado,Fabric.de hielo y suministro de vapor y aire acondicionado,
E,36,360001,"Captación, depuración y distribución de agua","Captación, depuración y distribución de agua",
E,37,370001,Recogida y tratamiento de aguas residuales,Recogida y tratamiento de aguas residuales,
E,38,380001,"Recogida, tratamiento y eliminación de residuos; valorización (procesos de recuperación)","Recogida, tratamiento y eliminación residuos; valorización ",
E,39,390001,Actividades de descontaminación y otros servicios de gestión de residuos,Activ.descontaminación y otros servicios gestión de residuos,
F,41,411001,Promoción inmobiliaria,Promoción inmobiliaria,
F,41,412001,Construcción de edificios,Construcción de edificios,
F,42,420001,Ingeniería civil,Ingeniería civil,
F,43,431001,Demolición y preparación de terrenos,Demolición y preparación de terrenos,
