label,label-uri
Acreedores del Ayuntamiento,acreedores-del-ayuntamiento
Asociaciones,asociaciones
Asociaciones Juveniles,asociaciones-juveniles
Centros Educativos,centros-educativos
Clubes Deportivos,clubes-deportivos
Comunidad de Propietarios,comunidad-de-propietarios
Disminuídos Psíquicos Ligeros con o sin certificado de I.A.S.S.,disminuidos-psiquicos-ligeros-con-o-sin-certificado-de-iass
"Educadores, monitores, etc.",educadores-monitores-etc
Empresas,empresas
Entidades Sociales,entidades-sociales
Familias Numerosas,familias-numerosas
Infancia,infancia
Inmigrantes,inmigrantes
Jóvenes,jovenes
Jubilados,jubilados
Minorías Étnicas,minorias-etnicas
Mujer,mujer
Parados,parados
Personas con Dificultades de Inserción,personas-con-dificultades-de-insercion
Personas con Discapacidad,personas-con-discapacidad
Personas Físicas,personas-fisicas
Personas Jurídicas,personas-juridicas
Personas Jurídicas (excluídas las Entidades Financieras),personas-juridicas-excluidas-las-entidades-financieras
Personas Mayores,personas-mayores
Profesores / Educadores,profesores--educadores
Rentas Bajas,rentas-bajas
Transeúntes,transeuntes
