Column 1,Column 2,Column 3
﻿    ,     ,                     
.    ,.    ,CARACTER            
ACCE ,ACCE ,ACCES               
ACCE ,ACCES,ACCES               
ACCE ,SARBI,ACCES               
ACCES,ACCE ,ACCESO              
ACCES,ACCES,ACCESO              
ACCES,SARBI,ACCESO              
ACEQ ,ACEQ ,ACEQUIA             
ACERA,ACERA,ACERA               
ALAM ,ALAM ,ALAMEDA             
ALAM ,ZUMAR,ALAMEDA             
ALDAP,ALDAP,ALDAPA              
ALDAP,CUSTA,ALDAPA              
ALDEA,ALDEA,ALDEA               
ALQUE,ALQUE,ALQUERIA            
ALTO ,ALTO ,ALTO                
ALTO ,GAIN ,ALTO                
ANDAD,ANDAD,ANDADOR             
ANGTA,ANGTA,ANGOSTA             
APTES,APTES,APARTAMENTS         
APTES,APTOS,APARTAMENTS         
APTOS,APTES,APARTAMENTOS        
APTOS,APTOS,APARTAMENTOS        
ARB  ,ARB  ,ARBOLEDA            
ARB  ,ZUHAI,ARBOLEDA            
ARRAL,ARRAL,ARRABAL             
ARRAL,ERREB,ARRABAL             
ARRAL,RABAL,ARRABAL             
ARRAL,RAVAL,ARRABAL             
ARRY ,ARRY ,ARROYO              
ARRY ,ERREK,ARROYO              
ARRY ,RIERA,ARROYO              
ASSEG,ASSEG,ASSEGADOR           
ATAJO,ATAJO,ATAJO               
ATAJO,ATAL ,ATAJO               
ATAJO,ATALL,ATAJO               
ATAJO,LASTE,ATAJO               
ATAL ,ATAJO,ATALL               
ATAL ,ATAL ,ATALL               
ATAL ,ATALL,ATALL               
ATAL ,LASTE,ATALL               
ATALL,ATAJO,ATALLO              
ATALL,ATAL ,ATALLO              
ATALL,ATALL,ATALLO              
ATALL,LASTE,ATALLO              
ATZUC,ATZUC,ATZUCAT             
AUTO ,AUTO ,AUTOPISTA           
AUTO ,AVIA ,AUTOPISTA           
AUZO ,AUZO ,AUZO                
AUZO ,AUZUN,AUZO                
AUZO ,BARRI,AUZO                
AUZO ,BARRO,AUZO                
AUZOT,AUZOT,AUZOTEGI            
AUZOT,BARDA,AUZOTEGI            
AUZUN,AUZO ,AUZUNEA             
AUZUN,AUZUN,AUZUNEA             
AUZUN,BARRI,AUZUNEA             
AUZUN,BARRO,AUZUNEA             
AV   ,AV   ,AVINGUDA            
AV   ,AVDA ,AVINGUDA            
AV   ,AVGDA,AVINGUDA            
AV   ,ETDEA,AVINGUDA            
AV   ,HIRIB,AVINGUDA            
AVDA ,AV   ,AVENIDA             
AVDA ,AVDA ,AVENIDA             
AVDA ,AVGDA,AVENIDA             
AVDA ,ETDEA,AVENIDA             
AVDA ,HIRIB,AVENIDA             
AVGDA,AV   ,AVINGUDA            
AVGDA,AVDA ,AVINGUDA            
AVGDA,AVGDA,AVINGUDA            
AVGDA,ETDEA,AVINGUDA            
AVGDA,HIRIB,AVINGUDA            
AVIA ,AUTO ,AUTOVIA             
AVIA ,AVIA ,AUTOVIA             
BARDA,AUZOT,BARRIADA            
BARDA,BARDA,BARRIADA            
BARRI,AUZO ,BARRI               
BARRI,AUZUN,BARRI               
BARRI,BARRI,BARRI               
BARRI,BARRO,BARRI               
BARRO,AUZO ,BARRIO              
BARRO,AUZUN,BARRIO              
BARRO,BARRI,BARRIO              
BARRO,BARRO,BARRIO              
BDA  ,BDA  ,BAIXADA             
BDA  ,BJADA,BAIXADA             
BELNA,BELNA,BELENA              
BIDE ,BIDE ,BIDE                
BIDE ,VIA  ,BIDE                
BIDEB,BIDEB,BIDEBIETA           
BIDEB,GTA  ,BIDEBIETA           
BJADA,BDA  ,BAJADA              
BJADA,BJADA,BAJADA              
BLQUE,BLQUE,BLOQUE              
BRANC,BRANC,BARRANCO            
BRDLA,BRDLA,BARREDUELA          
BRZAL,BRZAL,BRAZAL              
BULEV,BULEV,BULEVAR             
BULEV,BV   ,BULEVAR             
BV   ,BV   ,BULEVAR             
C    ,C    ,CARRER              
C    ,C/   ,CARRER              
C    ,CALLE,CARRER              
C    ,CARRE,CARRER              
C    ,KALE ,CARRER              
C    ,KARRI,CARRER              
C    ,RUA  ,CARRER              
C.H. ,C.H. ,CMNO HONDO          
C.N. ,C.N. ,CMNO NUEVO          
C.V. ,C.V. ,CMNO VIEJO          
C/   ,C    ,CARRER              
C/   ,C/   ,CARRER              
C/   ,CALLE,CARRER              
C/   ,CARRE,CARRER              
C/   ,KALE ,CARRER              
C/   ,KARRI,CARRER              
C/   ,RUA  ,CARRER              
CÑADA,CÑADA,CAÑADA              
CALLE,C    ,CALLE               
CALLE,C/   ,CALLE               
CALLE,CALLE,CALLE               
CALLE,CARRE,CALLE               
CALLE,KALE ,CALLE               
CALLE,KARRI,CALLE               
CALLE,RUA  ,CALLE               
CALLI,CALLI,CALLI               
CAMI ,CAMI ,CAMI                
CAMI ,CAMIN,CAMI                
CAMI ,CMNO ,CAMI                
CAMIN,CAMI ,CAMIN               
CAMIN,CAMIN,CAMIN               
CAMPA,CAMPA,CAMPA               
CANÑO,CANÑO,CANTIÑO             
CANAL,CANAL,CANAL               
CANT ,CANT ,CANTON              
CANT ,CANTO,CANTON              
CANTO,CANT ,CANTO               
CANTO,CANTO,CANTO               
CARRA,CARRA,CARRERADA           
CARRA,CARRY,CARRERADA           
CARRE,C    ,CARRER              
CARRE,C/   ,CARRER              
CARRE,CALLE,CARRER              
CARRE,CARRE,CARRER              
CARRE,KALE ,CARRER              
CARRE,KARRI,CARRER              
CARRE,RUA  ,CARRER              
CARRY,CARRA,CARRERANY           
CARRY,CARRY,CARRERANY           
CBTIZ,CBTIZ,COBERTIZO           
CELLA,CELLA,CANELLA             
CELLA,CLLON,CANELLON            
CELLA,CELLA,CANELLON            
CERRO,CERRO,CERRO               
CINT ,CINT ,CINTURO             
CINY ,CINY ,CINYELL             
CIRCU,CIRCU,CIRCUMVAL.LACIO     
CJLA ,CJLA ,CALLEJUELA          
CJLA ,RUELA,CALLEJUELA          
CJTO ,CJTO ,CONJUNTO            
CJTO ,CXTO ,CONJUNTO            
CLEYA,CLEYA,CALEYA              
CLLJA,CLLJA,CALLEJA             
CLLJA,KARIK,CALLEJA             
CLLJA,RUELA,CALLEJA             
CLLJO,CLLJO,CALLEJO             
CLLON,CLLON,CALLEJON            
CLLON,ETXAR,CALLEJON            
CLLON,CELLA,CALLEJON            
CLLZO,CLLZO,CALLIZO             
CLYON,CLYON,CALEYON             
CMÑO ,CMÑO ,CAMIÑO              
CMÑO ,CMNO ,CAMIÑO              
CMNO ,CMÑO ,CAMINO              
CMNO ,CMNO ,CAMINO              
CNDA ,CNDA ,CANADA              
COL  ,COL  ,COLONIA             
COMPJ,COMPJ,COMPLEJO            
COMPJ,COMPX,COMPLEJO            
COMPX,COMPX,COMPLEXO            
COMPX,COMPJ,COMPLEXO            
COSTA,COSTA,COSTA               
COSTA,KOSTA,COSTA               
CRA  ,CRA  ,CARRERA             
CNLLA,CNLLA,CANELLA             
CORDL,CORDL,CORDEL              
CRA  ,KARRE,CARRERA             
CRLLO,CRLLO,CORRILLO            
CRO  ,CRO  ,CARRERO             
CRRA ,CRRA ,CARRUA              
CRRAL,CRRAL,CORRALO             
CRRCI,CRRCI,CORREDORCILLO       
CRRDA,CRRDA,CORREDOIRA          
CRRDA,CRRDE,CORREDOIRA          
CRRDE,CRRDA,CORREDERA           
CRRDE,CRRDE,CORREDERA           
CRRDO,CRRDO,CORREDOR            
CRRIL,CRRIL,CARRIL              
CRRIL,KRRIL,CARRIL              
CRRLO,CRRLO,CORRALILLO          
CRRO ,CRRO ,CARREIRO            
CRROL,CRROL,CORRIOL             
CRROL,SEDER,CORRIOL             
CRROL,SENDA,CORRIOL             
CRTIL,CRTIL,CARRETIL            
CRTJO,CRTJO,CORTIJO             
CSRIO,CSRIO,CASERIO             
CSTAN,CSTAN,COSTANILLA          
CTRA ,CTRA ,CARRETERA           
CTRA ,ERREP,CARRETERA           
CTRIN,CTRIN,CARRETERIN          
CUSTA,ALDAP,CUESTA              
CUSTA,CUSTA,CUESTA              
CXON ,CXON ,CALEXON             
CXON ,CELLA,CALEXON             
CXTO ,CXTO ,CONXUNTO            
CXTO ,CJTO ,CONXUNTO            
CZADA,CZADA,CALZADA             
CZADS,CZADS,CALZADAS            
DEMAR,DEMAR,DEMARCACIO          
DEMAR,DEMAR,DEMARCACIO          
