"filename","predicted_delimiter","predicted_quotechar","predicted_escapechar","target_delimiter","target_quotechar","target_escapechar","prediction_time"
"51f315930f6d2f8872e1b911ab7d637b.csv",",","l*","[CLS]",",","","","0"
"921cbf67a17083e37eabdd43131a156f.csv",";","""","T*",";","""","","0"
"ResultsOR30x250-0.50_6.dat.csv",";","""","""",";","""","","0"
"51a78259728d4426752498ba56697393.csv",",","","",",","","","0"
"21bc381e3ebfc2eda7604fd218965f0d.csv","l*","""","""",",","""","""","0"
"Contracts and grants register spreadsheet June 2015.csv"," ","""","/",",","""","""","0"
"8425440.csv"," ",".","",";","","","0"
"BIS_special_advisers_gifts__July_to_September_2012.csv","T*","T*","",",","","","0"
"7407ce95a5073ba7d9994993b78ca566.csv","l*","""","T*",",","""","""","0"
"HMRC_ePCS_spending_over_500_for_May_2018.csv"," "," ","",",","","","0"
"217846cc10a0d023d106fa6aac36321b.csv","l*","""","l*",";","""","""","0"
"British_Library_Staff_and_Salary_Data_-_September_2011-junior.csv","T*","""","'",",","""","","0"
"7ded3be1d00ee9a35a7e2f0e3bde3c59.csv",",","""","¶",",","""","""","0"
"87ec0a6f983ca727cb1f9b6b98834d6b.csv","l*","""","'",",","""","""","0"
"Auto_Tone_sub314_day1.csv",",","'","l",",","'","","0"
"58acc708f832e8177daf965ebf1a1e8e.csv","T*","T*","",";","","","0"
"36c0084d566cec189747fd210c9ad55e.csv",",","","",",","","","0"
"0fef247dea9a7f051c5e67724a1ffe63.csv",",","""","T*",",","""","""","0"
"0d83a289f755d7f5b9bb5a2f7aee22f9.csv",",","""","""",",","""","","0"
"6dfb61e38d9fcce1493c0256221961a4.csv","T*","|","l*","|","","","0"
"69182e487dec9438f587881ddd1b8fe0.csv","d*","","","	","","","0"
"ResultsOR30x100-0.75_10.dat__m28.csv",";","""","""",";","""","","0"
"1c0dd059572b284dcdbb19148cb0bf19.csv","d*","","","","","","0"
"43d7391ee95298548d3306acb0b8bce7.csv",",","","",",","","","0"
"383c06d19d3601798e608fe2361e578c.csv","l*","","",":","","","0"
"212331aac93426ad84e362831d99b899.csv","d*","","","","","","0"
"Registration_Districts_(June_2018)_Names_and_Codes_in_England_and_Wales.csv",",","","",",","","","0"
"7d502a69a107fa5335054e12a5943790.csv",",","'","T*",",","'","","0"
"Prompt_Payments_Q1_FY_2019-20.csv"," ","""","",",","""","","0"
"61f4f13cb9e8cd2b3466e409dd6e838b.csv","A*","""","T*",",","""","\","0"
"8bad76a24711ad1a23511bad09ecb230.csv","A*","","",";","","","0"
"ResultsOR30x250-0.25_10.dat.csv",";","""","""",";","""","","0"
"0067f7405cd8db4dbcf17d4f7476cd1d.csv","	","""","""","	","""","","0"
"6d6746a479a4120b1f3463accdefd9ab.csv"," ","l*","l*","	","","","0"
"Planning_Decisions_2017-2018_non_geo.csv","l*","""","/",",","""","""","0"
"38478c89fd199e6095896fad056bd306.csv",",","""","[",",","""","\","0"
"45101b616dc36feae88ae155aa5317dd.csv","d","","",",","","","0"
"24ab1f731542107d61b3fc077b0fe690.csv","	",")","l","	","","","0"
"ResultsOR30x100-0.50_10.dat__m20.csv",";","""","""",";","""","","0"
"8ad8139c8c6ccbac409ce075377b9c6a.csv",",","'","",",","'","","0"
"984d9e40eee79ef3e6f7e84f933d496c.csv",",","""","""",",","""","""","0"
"TC-KOH-800C-4mg-KOH LSV-900.csv","d","","\",",","","","0"
"ResultsOR30x100-0.75_1.dat__m22.csv",";","""","""",";","""","","0"
"56327aa79e636253adec6e4d0a4d27e6.csv","l*"," ","",",","""","","0"
"9117c37e2289167244d7c7f7e54453af.csv",";","""","""",";","""","""","0"
"TP_DCLG_June_2015_for_Publication.csv",",","""","/",",","""","""","0"
"5f6b3265a40ffd4ac4b78ebe6a329cf3.csv","d*","","","	","","","0"
"090a25645786f0379b0f97e56280f90e.csv",":","","",":","","","0"
"9f4be743cb4ba29284b5df373a77d5e4.csv","l*","""","",";","""","","0"
"ResultsOR30x100-0.50_9.dat.csv",";","""","L*",";","""","","0"
"07b53b03726661799ad754c35939794a.csv","A*","""","T*",",","""","\","0"
"55c8c304f62627f9706788073ddd70e8.csv","d*","","","","","","0"
