"filename","predicted_delimiter","predicted_quotechar","predicted_escapechar","target_delimiter","target_quotechar","target_escapechar","prediction_time"
"0fcf696e2856873ceba6f612afc9f814.csv",",","","",",","","","0"
"ministers-meetings-apr-jun-2011.csv",";","""","",",","""","","0"
"ResultsOR30x100-0.25_5.dat__m25.csv",";","""","",";","""","","0"
"c56d15ea7ca4f1722b5cb6e2190381ee.csv",",","","",",","","","0"
"Trial_1.csv",",","","",",","","","0"
"6862de1d76bd00fbd3bf458ce06d2895.csv",",","""","",",","""","","0"
"bbe1b79e5fac576a5a05f1947d53f7ab.csv",",","","",",","","","0"
"Chiusdino.csv",";","","",";","","","0"
"32888af465ceffdf0c8e6265b80d5926.csv",",","""","",",","""","","0"
"2021-03-analytics.csv",",","","",",","""","","0"
"HMRC_exceptions_to_the_Government_spending_moratorium_1_Apr_2013_-_30_Jun_2013_-_Advertising_and_Marketing.csv",",","£","",",","","","0"
"11743bb11d8a470412f0b2f72edcf908.csv",",","","",",","","","0"
"2acda79c0348085796145ee226d169e6.csv","	","","","	","","","0"
"W45.csv",",","","",",","","","0"
"4bc2c222426c3ac4cd30d2600cb0ecbf.csv",",","","",",","","","0"
"TC-KOH-800C-4mg-KOH CV.csv",",","","",",","","","0"
"science-museum-group__30-09-2012__nmsi_300912-SMG-Organogram-Data-v1-senior.csv",",","""","@",",","""","","0"
"d720b6d0fcde5d13a4db5faad563dfaa.csv",",","""","",",","""","","0"
"957534b7038e330bac710e8f21c630a2.csv",",","""","",",","""","","0"
"vissim_data_conf1723_i5_v5097.csv",";","","",";","","","0"
"45f12d22569b2d4434e7ea73192d4a2f.csv",",","""","""",",","""","","0"
"ca4cf3e07962ec319c5154d0bfbd1a1f.csv",",","","",",","","","0"
"7f5c0dcab4a80827dc570e57933f405e.csv",",","""","",",","""","","0"
"7ea741e25a60325a9a9d0e80adac6ba8.csv",",","","",",","","","0"
"4b55b31ec2dfd6a03a820159585055ad.csv",",","""","",",","""","","0"
"db81c83cb734e735c4769618b3d47605.csv",",","","",",","","","0"
"a8dae9480f7e4e7dce42379a54cae17c.csv","","","","","","","0"
"transparency-code-payments-over-500_May_2019.csv",",","""","",",","""","","0"
"932996d0a0981d2b620341014c08f562.csv",",","","",",","","","0"
"36f82ba535657f036fd2f18074b0d89f.csv","L*","",""," ","","","0"
"0c47069277503c6725c32dae1cf40ea7.csv",",","""","""",",","""","""","0"
"690c12a5f51e52f1f375f87eb0387257.csv",",","","",",","","","0"
"a0f6298d2c5e0420e79047498f271574.csv",",","""","",",","""","","0"
"bb04ce2b714678e05c4c64c78c1c4bfd.csv",",","","",",","","","0"
"ResultsOR30x100-0.75_5.dat__m25.csv",";","""","",";","""","","0"
"S46out.csv",",","","",",","","","0"
"8a442e7fb2422edf505b1830254aa54d.csv",",","","",",","","","0"
"c889c7d9d9cb2e84c10ee736c1151a5a.csv"," ","""",""," ","""","","0"
"b311c3d4946459fd05d6b32726969bf7.csv",";","","",";","","","0"
"217b6c1aed68fe9d62fcf425f6603744.csv",",","","",",","","","0"
"2052c06789dd855b980f7aeb2436d5f6.csv"," ","""","",",","""","","0"
"85f85d6a0c93f275d3d466a6775103ec.csv",",","""","",",","""","","0"
"gpa1delgpa1light.csv","	","","",",","","","0"
"S44sum.csv",",","","",",","","","0"
"the-british-library__31-03-2016__bl_British-Library-Staff-and-Salary-Data-March-2016-junior.csv",",","""","",",","""","","0"
"4b7dae33ff206d57cddd0f7fb90ef929.csv",";","""","",";","""","","0"
"ResultsOR30x100-0.25_1.dat__m20.csv",";","""","",";","""","","0"
"June2015(1).csv",",","","",",","""","","0"
"d8a77be1aa0148fe4e9689e6488a4ca3.csv",",","","",",","","","0"
"detector1_counts_model.csv",",","","",",","","","0"
"page1.csv",",","","",",","","","0"
"5e6653bd099e0dab2401a2ccb0bbbbea.csv",",","""","",",","""","","0"
"88c55a7f2858c701531fc12273515b7d.csv",",","""","""",",","""","""","0"
"768a5d70700a3a9a3c24a61f6b703434.csv",",","","",",","","","0"
"ResultsOR30x100-0.75_10.dat__m24.csv",";","""","",";","""","","0"
"disclosure-spads-hospitality-oct-dec-2013.csv",",","""","""",",","""","""","0"
"4c0171891798a46870f9ae2ab990183c.csv",",","","",",","","","0"
"6ae2206f8f98b26b94654595630244a5.csv",",","","",",","","","0"
"GPC_TU_Report_Apr_2017.csv",",","""","",",","""","""","0"
"eb0fcdda237923b1fcb69e2a276a23f8.csv","","","","","","","0"
"609938d85fd297d40ec2ba36de7f77d7.csv",",","""","",",","""","","0"
"871cdb26cf901fe48a5d2d88e01df2a2.csv",";","""","",";","""","","0"
"XRD 20%Yb4%Er sample06.csv",",","""","",",","""","","0"
"d8309652077a26af8721817f1b915a51.csv",",","""","",",","""","","0"
"ea16e5631f87388626bacda2e1399974.csv",",","","",",","","","0"
"top20-donors-5oct2010.csv",",","""","",",","""","","0"
"a56e84ca972f7230c9d4f7205b6bb332.csv","	","""","""",",","","","0"
"9a52dd683bea2761bc4d45b2bc5e77a9.csv","|","","","|","","","0"
"TC-KOH-1000C-4mg-KOH LSV-400.csv",",","","",",","","","0"
"c8d2d41ec8b8620c912b9ec3c4491ee5.csv",",","""","",",","""","","0"
"49a001d520d135bd5362edaf8cfd0470.csv",",","""","",",","""","","0"
"ResultsOR30x100-0.50_1.dat__m16.csv",";","""","",";","""","","0"
"8886970b31ac846bdd2fa22fd36992db.csv",",","","",",","","","0"
"student_loans_company_limited-2011-09-30-organogram-senior.csv",",","""","",",","""","""","0"
"ministry-of-justice__30-09-2014__justice_SCS-Structure-and-Pay-disclosure-final-senior.csv",",","""","@",",","""","","0"
"S36sum.csv",",","","",",","","","0"
"CWNovember2017.csv",",","""","",",","""","","0"
"df28e0f586f7efdceaa9af0718f0592e.csv",",","","",",","","","0"
"da2915c7b74d7c7574b6968cb76765e2.csv",",","","",",","","","0"
"fd7e7d6b57fc2501f40cdd77be8053e6.csv",",","","",",","","","0"
"86aa5e8e73efacc0e8491c4743958160.csv",",","""","",",","""","","0"
"422ace4891b19c7275a39b0df6b50f1c.csv",";","","",",","","","0"
"Auto_Tone_sub204_ret.csv",",","","",",","","","0"
"fb2c51fc55d9a087566d2df2d8997934.csv",",","""","",",","""","","0"
"dcec7e5ba8dd5e0aadbedb391a6baf95.csv",",","""","",",","""","","0"
"d944f467eb696e8612ff02cf27d29d8d.csv"," ","""","",",","""","""","0"
"89fcdcc77d2ec92257ce9b39412f76b6.csv",",","","",",","","","0"
"69351f7daff7cf19f9d1903346bf70cb.csv",",","#","",",","","","0"
"26f8d45760f3b946397bcb8b51c33895.csv",",","""","",",","""","","0"
"1dab23008592ae5635c35c5b92155776.csv"," ","","",",","","","0"
"32669bdc3b4526291f7706118fc3e3bc.csv",",","","",",","","","0"
"8cdc4584a910df3271645c22dcdcc73d.csv",",","","",",","","","0"
"b007873f606d4382614637889d0de16d.csv",",","""","",",","""","","0"
"attorney-generals-office__31-03-2014__tsol_AGO-government-staff-and-salary-data-May-v1-senior.csv",",","""","'",",","""","","0"
"data-mask.csv",",","","",",","","","0"
"criminal-injuries-compensation-authority__31-03-2012__justice_CICA-senior.csv",",","""","@",",","""","","0"
"d27178f5b4ad8ceefe93247e5f3ac60f.csv",",","","",",","","","0"
"d6bdbcf33709c12a3ff74041075f6bd2.csv",";","""","",";","""","","0"
"listeuce1.csv",";","","",";","","","0"
"2013-2014-08.csv",",","""","",",","""","","0"
"b369b47f54ad0b1d0c7792dd62e8e9e9.csv",",","""","""",",","""","""","0"
"locations-2011.csv",",","""","""",",","","","0"
"411417cdbb9299d63fae0d9ab69e4b1b.csv",",","""","",",","""","","0"
"S22sum.csv",",","","",",","","","0"
"Purchasing+Card+-+April+19.csv",",","""","",",","""","","0"
"92c7a04bc05015521901235cc24e0366.csv",",","""","",",","""","","0"
"bcfc74ab51d15b25a7441a62e4d46e54.csv",",","","",",","","","0"
"october-2015-card-transparency.csv",",","""","",",","""","","0"
"df72c02dd8a92e6d8baf0ffdd36d2e32.csv",",","""","",",","""","","0"
"76233edc63a8f1efd65fe6fdedf6f64b.csv",",","","",",","","","0"
"6a9895ae74b11bd4621f61d818be0ace.csv","s","","",",","","","0"
"kpi-45d.csv",",","""","",",","""","","0"
"Government_staff_and_salary_data_template_-_March_16_-_Anon_V3-senior.csv",",","""","@",",","""","","0"
"dwp-gpc-spend-0911.csv"," ","","",",","","","0"
"a643618e894bc61e46b2829fe08392bd.csv",",","","",",","","","0"
"674644c2955274dbf2a7f121e8711c57.csv",",","'","",",","","","0"
"502fc888ff5dbdf79138779b0fce4baa.csv",",","","",",","","","0"
"W31sum.csv",",","","",",","","","0"
"british-museum__31-03-2012__britishmuseum_British_Museum-March-2012-senior.csv",",","""","",",","""","","0"
"W32sum.csv",",","","",",","","","0"
"52e948e95f11df75a9b9d24aeca3e445.csv",",","""","",",","""","","0"
"ieee.csv",",","""","""",",","""","""","0"
"cc6f9d636b9dbdfdcf016180d6de7278.csv",":","","",";","","","0"
"macromolecular_composition.csv",",","","",",","","","0"
"8293563.csv",";","","",";","","","0"
"Primary Pupils on Roll by Year Group - May 2017.csv",",","","",",","""","","0"
"c9c8c153740d6083feabc0bdd4f737e3.csv",",","""","",",","""","","0"
"ResultsOR30x250-0.50_2.dat.csv",";","""","",";","""","","0"
"059f562d9a4b409e2aeae635814448cd.csv",",","","",",","""","""","0"
"O'Neill2002-bs-Rs-mod.csv",",","","",",","","","0"
"vissim_data_conf1723_i10_v5132.csv",";","","",";","","","0"
"98d30a68b781b77410947a634705dbea.csv"," ","",""," ","","","0"
