##Temp./°C,Time/min,Mass/%
 33.36500,  0.00000,99.99324
 33.35700,  0.00667,99.98987
 33.35100,  0.01333,99.98937
 33.34400,  0.02000,99.98887
 33.33900,  0.02667,99.98741
 33.33300,  0.03333,99.98690
 33.32500,  0.04000,99.98639
 33.31900,  0.04667,99.98491
 33.31500,  0.05333,99.98437
 33.30800,  0.06000,99.98332
 33.30400,  0.06667,99.98222
 33.29700,  0.07333,99.98152
 33.29500,  0.08000,99.98072
 33.29500,  0.08667,99.97978
 33.30000,  0.09333,99.97917
 33.30700,  0.10000,99.97842
 33.31700,  0.10667,99.97753
 33.33200,  0.11333,99.97749
 33.35100,  0.12000,99.97686
 33.37000,  0.12667,99.97662
 33.39200,  0.13333,99.97632
 33.41900,  0.14000,99.97548
 33.44600,  0.14667,99.97557
 33.47500,  0.15333,99.97470
 33.51100,  0.16000,99.97480
 33.53800,  0.16667,99.97400
 33.57300,  0.17333,99.97325
 33.60400,  0.18000,99.97210
 33.63600,  0.18667,99.97149
 33.66800,  0.19333,99.97048
 33.69900,  0.20000,99.96956
 33.73400,  0.20667,99.96967
 33.76200,  0.21333,99.96890
 33.78900,  0.22000,99.96820
 33.82100,  0.22667,99.96756
 33.85100,  0.23333,99.96697
 33.88000,  0.24000,99.96643
 33.90800,  0.24667,99.96594
 33.93900,  0.25333,99.96550
 33.96400,  0.26000,99.96414
 33.99200,  0.26667,99.96377
 34.02100,  0.27333,99.96342
 34.04900,  0.28000,99.96308
 34.07600,  0.28667,99.96275
 34.10500,  0.29333,99.96242
 34.13100,  0.30000,99.96208
 34.16200,  0.30667,99.96173
 34.19600,  0.31333,99.96137
 34.22100,  0.32000,99.96099
 34.25400,  0.32667,99.96061
 34.28400,  0.33333,99.96020
 34.31900,  0.34000,99.95977
 34.35000,  0.34667,99.95931
 34.38700,  0.35333,99.95882
 34.42000,  0.36000,99.95832
 34.45800,  0.36667,99.95779
 34.49400,  0.37333,99.95821
 34.53400,  0.38000,99.95766
 34.57100,  0.38667,99.95711
 34.61000,  0.39333,99.95655
 34.65200,  0.40000,99.95600
 34.69200,  0.40667,99.95594
 34.73200,  0.41333,99.95540
 34.77100,  0.42000,99.95488
 34.81500,  0.42667,99.95435
 34.85700,  0.43333,99.95383
 34.89800,  0.44000,99.95332
 34.94300,  0.44667,99.95283
 34.98500,  0.45333,99.95188
 35.02800,  0.46000,99.95143
 35.07100,  0.46667,99.95101
 35.11500,  0.47333,99.95060
 35.15700,  0.48000,99.95022
 35.19900,  0.48667,99.94985
 35.24400,  0.49333,99.94950
 35.28800,  0.50000,99.94820
 35.32900,  0.50667,99.94788
 35.37400,  0.51333,99.94756
 35.41600,  0.52000,99.94678
 35.46200,  0.52667,99.94648
 35.50400,  0.53333,99.94618
 35.55000,  0.54000,99.94541
 35.59300,  0.54667,99.94511
 35.63600,  0.55333,99.94432
 35.68500,  0.56000,99.94402
 35.73000,  0.56667,99.94275
 35.77400,  0.57333,99.94244
 35.82200,  0.58000,99.94214
 35.86800,  0.58667,99.94134
 35.91400,  0.59333,99.94102
 35.96100,  0.60000,99.94068
 36.00800,  0.60667,99.94033
 36.06100,  0.61333,99.93997
 36.11000,  0.62000,99.93962
 36.15600,  0.62667,99.93928
 36.20500,  0.63333,99.93894
 36.25900,  0.64000,99.93861
 36.30600,  0.64667,99.93829
 36.35500,  0.65333,99.93798
 36.40600,  0.66000,99.93719
 36.45900,  0.66667,99.93690
 36.50600,  0.67333,99.93662
 36.55600,  0.68000,99.93634
 36.60700,  0.68667,99.93606
 36.66000,  0.69333,99.93530
 36.70800,  0.70000,99.93503
 36.76200,  0.70667,99.93381
 36.81400,  0.71333,99.93356
 36.86400,  0.72000,99.93285
 36.91200,  0.72667,99.93262
 36.96700,  0.73333,99.93193
 37.01900,  0.74000,99.93172
 37.06700,  0.74667,99.93105
 37.12000,  0.75333,99.92990
 37.17100,  0.76000,99.92923
 37.22300,  0.76667,99.92904
 37.27300,  0.77333,99.92837
 37.32600,  0.78000,99.92771
 37.37800,  0.78667,99.92657
 37.43100,  0.79333,99.92641
 37.48100,  0.80000,99.92578
 37.53500,  0.80667,99.92564
 37.58300,  0.81333,99.92503
 37.63500,  0.82000,99.92489
 37.68700,  0.82667,99.92426
 37.74000,  0.83333,99.92315
 37.79200,  0.84000,99.92300
 37.84600,  0.84667,99.92285
 37.89500,  0.85333,99.92223
 37.94900,  0.86000,99.92209
 38.00200,  0.86667,99.92148
 38.05400,  0.87333,99.92135
 38.10600,  0.88000,99.92075
 38.15700,  0.88667,99.92064
 38.21200,  0.89333,99.91956
 38.26200,  0.90000,99.91897
 38.31600,  0.90667,99.91885
 38.36700,  0.91333,99.91825
 38.41900,  0.92000,99.91765
 38.47400,  0.92667,99.91753
 38.52700,  0.93333,99.91646
 38.58100,  0.94000,99.91638
 38.63100,  0.94667,99.91535
 38.68300,  0.95333,99.91529
 38.73300,  0.96000,99.91475
 38.78600,  0.96667,99.91374
 38.83900,  0.97333,99.91368
 38.89100,  0.98000,99.91315
 38.94200,  0.98667,99.91263
 38.99400,  0.99333,99.91212
 39.04400,  1.00000,99.91113
 39.09300,  1.00667,99.91061
 39.14700,  1.01333,99.91008
 39.20200,  1.02000,99.91004
 39.25100,  1.02667,99.90858
 39.30000,  1.03333,99.90856
 39.35100,  1.04000,99.90807
 39.40500,  1.04667,99.90759
 39.45300,  1.05333,99.90711
 39.50400,  1.06000,99.90616
 39.55300,  1.06667,99.90569
 39.60300,  1.07333,99.90522
 39.65600,  1.08000,99.90523
 39.70400,  1.08667,99.90476
 39.75300,  1.09333,99.90382
 39.80300,  1.10000,99.90336
 39.85400,  1.10667,99.90290
 39.90200,  1.11333,99.90244
 39.95200,  1.12000,99.90151
