##Temp./°C,Time/min,DSC/(mW/mg),Sensit./(uV/mW)
 50.00000, 3.99962,-0.13861,3.36629
 51.00000, 4.19967,-0.13896,3.36607
 52.00000, 4.39964,-0.13997,3.36581
 53.00000, 4.59950,-0.14076,3.36553
 54.00000, 4.79939,-0.14102,3.36521
 55.00000, 4.99927,-0.14173,3.36487
 56.00000, 5.19921,-0.14184,3.36450
 57.00000, 5.39920,-0.14276,3.36410
 58.00000, 5.59914,-0.14318,3.36367
 59.00000, 5.79909,-0.14351,3.36321
 60.00000, 5.99904,-0.14435,3.36272
 61.00000, 6.19897,-0.14518,3.36221
 62.00000, 6.39898,-0.14574,3.36167
 63.00000, 6.59898,-0.14657,3.36110
 64.00000, 6.79890,-0.14733,3.36050
 65.00000, 6.99884,-0.14818,3.35987
 66.00000, 7.19884,-0.14929,3.35921
 67.00000, 7.39883,-0.15009,3.35853
 68.00000, 7.59882,-0.15122,3.35782
 69.00000, 7.79879,-0.15243,3.35708
 70.00000, 7.99877,-0.15332,3.35632
 71.00000, 8.19874,-0.15378,3.35553
 72.00000, 8.39869,-0.15425,3.35471
 73.00000, 8.59866,-0.15437,3.35386
 74.00000, 8.79868,-0.15466,3.35299
 75.00000, 8.99870,-0.15488,3.35209
 76.00000, 9.19867,-0.15495,3.35116
 77.00000, 9.39864,-0.15461,3.35021
 78.00000, 9.59860,-0.15450,3.34923
 79.00000, 9.79850,-0.15462,3.34822
 80.00000, 9.99847,-0.15448,3.34719
 81.00000,10.19854,-0.15483,3.34613
 82.00000,10.39861,-0.15540,3.34505
 83.00000,10.59860,-0.15573,3.34394
 84.00000,10.79857,-0.15616,3.34280
 85.00000,10.99852,-0.15675,3.34164
 86.00000,11.19849,-0.15699,3.34045
 87.00000,11.39856,-0.15730,3.33924
 88.00000,11.59858,-0.15764,3.33801
 89.00000,11.79851,-0.15815,3.33674
 90.00000,11.99846,-0.15860,3.33546
 91.00000,12.19846,-0.15928,3.33415
 92.00000,12.39852,-0.15963,3.33281
 93.00000,12.59853,-0.16015,3.33145
 94.00000,12.79848,-0.16048,3.33006
 95.00000,12.99845,-0.16097,3.32866
 96.00000,13.19850,-0.16154,3.32722
 97.00000,13.39854,-0.16169,3.32577
 98.00000,13.59844,-0.16239,3.32428
 99.00000,13.79837,-0.16286,3.32278
100.00000,13.99845,-0.16319,3.32125
101.00000,14.19849,-0.16361,3.31970
102.00000,14.39849,-0.16437,3.31813
103.00000,14.59848,-0.16460,3.31653
104.00000,14.79845,-0.16512,3.31491
105.00000,14.99841,-0.16555,3.31327
106.00000,15.19843,-0.16591,3.31160
107.00000,15.39847,-0.16653,3.30991
108.00000,15.59845,-0.16717,3.30820
109.00000,15.79844,-0.16761,3.30647
110.00000,15.99846,-0.16783,3.30471
111.00000,16.19843,-0.16824,3.30293
112.00000,16.39843,-0.16857,3.30113
113.00000,16.59845,-0.16890,3.29931
114.00000,16.79844,-0.16910,3.29747
115.00000,16.99845,-0.16938,3.29561
116.00000,17.19846,-0.16992,3.29372
117.00000,17.39844,-0.17042,3.29182
118.00000,17.59841,-0.17075,3.28989
119.00000,17.79843,-0.17107,3.28794
120.00000,17.99847,-0.17090,3.28598
121.00000,18.19845,-0.17111,3.28399
122.00000,18.39837,-0.17177,3.28198
123.00000,18.59835,-0.17177,3.27995
124.00000,18.79841,-0.17188,3.27790
125.00000,18.99844,-0.17183,3.27583
126.00000,19.19839,-0.17242,3.27374
127.00000,19.39837,-0.17202,3.27164
128.00000,19.59835,-0.17195,3.26951
129.00000,19.79839,-0.17210,3.26736
130.00000,19.99851,-0.17186,3.26520
131.00000,20.19850,-0.17242,3.26301
132.00000,20.39838,-0.17232,3.26081
133.00000,20.59834,-0.17226,3.25859
134.00000,20.79837,-0.17173,3.25635
135.00000,20.99841,-0.17135,3.25409
136.00000,21.19845,-0.17135,3.25181
137.00000,21.39843,-0.17131,3.24952
138.00000,21.59840,-0.17088,3.24721
139.00000,21.79841,-0.17080,3.24488
140.00000,21.99845,-0.17037,3.24253
141.00000,22.19847,-0.17002,3.24016
142.00000,22.39846,-0.16988,3.23778
143.00000,22.59841,-0.16965,3.23538
144.00000,22.79838,-0.16905,3.23297
145.00000,22.99840,-0.16871,3.23053
146.00000,23.19842,-0.16810,3.22808
147.00000,23.39837,-0.16774,3.22562
148.00000,23.59836,-0.16730,3.22314
149.00000,23.79844,-0.16675,3.22064
150.00000,23.99847,-0.16635,3.21813
151.00000,24.19839,-0.16633,3.21560
152.00000,24.39833,-0.16561,3.21305
153.00000,24.59837,-0.16496,3.21049
154.00000,24.79842,-0.16426,3.20792
155.00000,24.99841,-0.16388,3.20532
156.00000,25.19839,-0.16355,3.20272
157.00000,25.39840,-0.16289,3.20010
158.00000,25.59839,-0.16227,3.19746
159.00000,25.79835,-0.16196,3.19481
160.00000,25.99831,-0.16132,3.19215
161.00000,26.19827,-0.16089,3.18947
162.00000,26.39826,-0.16015,3.18678
163.00000,26.59832,-0.15952,3.18408
164.00000,26.79841,-0.15888,3.18136
165.00000,26.99841,-0.15849,3.17863
166.00000,27.19834,-0.15813,3.17588
167.00000,27.39834,-0.15724,3.17312
168.00000,27.59841,-0.15709,3.17035
169.00000,27.79844,-0.15650,3.16757
170.00000,27.99838,-0.15632,3.16477
171.00000,28.19833,-0.15570,3.16196
172.00000,28.39833,-0.15490,3.15914
173.00000,28.59832,-0.15404,3.15630
174.00000,28.79833,-0.15330,3.15346
175.00000,28.99838,-0.15298,3.15060
176.00000,29.19836,-0.15260,3.14773
177.00000,29.39831,-0.15172,3.14485
178.00000,29.59833,-0.15098,3.14196
179.00000,29.79835,-0.15019,3.13906
180.00000,29.99835,-0.14960,3.13614
