,2005 current dollars,2006 current dollars,2007 current dollars,2008 current dollars,2009 current dollars
All industries excluding unclassified enterprises,18.30,18.76,19.48,20.16,20.44
"Forestry, logging and support",22.37,22.34,21.37,21.87,F
Mining and oil and gas extraction,28.02,29.23,31.63,31.52,33.30
Utilities,.,.,.,.,.
Construction,23.11,23.75,24.63,26.49,27.30
Manufacturing,20.57,20.51,21.61,21.98,20.86
Wholesale trade,17.25,18.18,18.66,19.36,19.41
Retail trade,13.03,13.58,13.53,13.90,14.35
Transportation and warehousing,20.94,21.28,22.23,22.15,21.52
Information and cultural industries,22.14,22.04,24.60,22.54,22.45
Finance and insurance,17.47,18.84,19.76,21.06,23.24
Real estate and rental and leasing,16.36,17.46,15.61,18.85,18.95
"Professional, scientific and technical services",19.59,20.96,21.37,22.46,24.31
Management of companies and enterprises,.,.,.,.,.
"Administrative and support, waste management and remediation services",14.41,14.09,15.15,16.62,16.79
Educational services,.,.,.,.,.
Health care and social assistance,22.13,22.70,23.41,24.03,25.29
"Arts, entertainment and recreation",12.73,13.75,14.92,15.33,14.85
Accommodation and food services,10.48,10.64,11.24,11.89,12.24
Public administration,19.09,20.78,22.89,23.12,24.39
Other services,15.65,16.07,17.10,18.20,18.28
