Region,"New students, total","New students, men","New students, women","Students, total","Students, men","Students, women"
Whole country,20 169,8 963,11 206,168 475,78 292,90 183
Continental Finland,20 169,8 963,11 206,168 467,78 292,90 175
Uusimaa,6 197,2 943,3 254,58 196,28 121,30 075
Varsinais-Suomi,2 435,1 013,1 422,21 760,8 951,12 809
Satakunta,389,142,247,2 329,1 049,1 280
Kanta-Häme,73,24,49,505,142,363
Pirkanmaa,2 445,1 221,1 224,25 113,13 347,11 766
Päijät-Häme,23,7,16,236,54,182
South Karelia,880,600,280,5 706,4 042,1 664
Etelä-Savo,225,59,166,1 120,239,881
Pohjois-Savo,884,286,598,5 982,2 045,3 937
North Karelia,1 102,464,638,7 021,2 927,4 094
Central Finland,1 925,710,1 215,13 284,5 000,8 284
South Ostrobothnia,-,-,-,47,45,2
Ostrobothnia,1 086,425,661,6 644,2 790,3 854
Central Ostrobothnia,52,18,34,164,55,109
North Ostrobothnia,1 676,850,826,15 082,7 892,7 190
Kainuu,127,50,77,635,220,415
Lapland,650,151,499,4 643,1 373,3 270
Åland,-,-,-,8,-,8
Åland,-,-,-,8,-,8
