BET2_Ads,P/Po,N2 Vol,BET2_Des,P/Po,N2 Vol,PoreSize2,Porewidth,DFT dV
,0.04577,27.0092,,0.90333,232.0461,,8.0683,1.08E-04
,0.09584,30.4031,,0.85744,201.5569,,8.4397,1.13E-04
,0.14064,33.2011,,0.80913,168.148,,8.8282,0
,0.19139,36.3979,,0.76276,143.2484,,9.2345,0
,0.236,39.1591,,0.71571,120.8164,,9.6595,0
,0.28184,42.1193,,0.66309,99.3808,,10.1041,0
,0.3293,45.4373,,0.62272,87.4998,,10.5692,0
,0.37945,49.0546,,0.57254,78.0488,,11.0557,0
,0.42816,52.8778,,0.52087,71.0109,,11.5646,0
,0.47519,57.1115,,0.47984,66.4279,,12.0969,0
,0.52165,61.8912,,0.43261,61.6255,,12.6537,0
,0.5696,67.5848,,0.38584,57.2085,,13.2361,7.79E-04
,0.61379,73.8101,,0.33898,52.9098,,13.8453,0.00512
,0.66193,82.3757,,0.29147,48.6173,,14.4826,0.00641
,0.70913,95.0781,,0.24365,44.3847,,15.1492,0.00616
,0.75895,113.0014,,0.19641,40.1618,,15.8465,0.00613
,0.80479,134.4635,,0.14945,35.9614,,16.5758,0.00575
,0.85217,160.0658,,0.1014,31.5574,,17.3388,0.00416
,0.90116,192.7465,,0.05338,26.7319,,18.1369,0.00246
,0.94657,247.3155,,,,,18.9717,0
,,,,,,,19.8449,0
,,,,,,,20.7583,2.13E-04
,,,,,,,21.7138,0.00452
,,,,,,,22.7132,0.00659
,,,,,,,23.7586,0.00837
,,,,,,,24.8522,0.00844
,,,,,,,25.9961,0.01057
,,,,,,,27.1926,0.01144
,,,,,,,28.4443,0.01281
,,,,,,,29.7535,0.00973
,,,,,,,31.123,0.00951
,,,,,,,32.5555,0.00814
,,,,,,,34.054,0.00871
,,,,,,,35.6214,0.00971
,,,,,,,37.261,0.01023
,,,,,,,38.976,0.01007
,,,,,,,40.77,0.00807
,,,,,,,42.6465,0.00688
,,,,,,,44.6095,0.00746
,,,,,,,46.6628,0.00701
,,,,,,,48.8105,0.00509
,,,,,,,51.0572,0.0048
,,,,,,,53.4072,0.00532
,,,,,,,55.8655,0.00445
,,,,,,,58.4368,0.00353
,,,,,,,61.1265,0.00336
,,,,,,,63.9401,0.00321
,,,,,,,66.8831,0.00367
