number of datasets:,
6,
,
reference_solution:,
-,0
,
calculated_solutions:,d0
2,-1.7822751505068708
4,-1.7956071347148441
8,-2.0849930551120708
16,-2.5031692545039195
32,-2.9784033133525201
64,-3.5157679799029298
,
end,
,
reference_solution:,
-,0
,
calculated_solutions:,d1
2,-1.7572154779004605
4,-1.8016879277187519
8,-2.1847228985650595
16,-3.3936605851926878
32,-4.5046646391459477
64,-5.4658584954879101
,
end,
,
reference_solution:,
-,0
,
calculated_solutions:,d2
2,-1.5832181525593143
4,-1.8105182252386709
8,-2.4093883129960090
16,-4.0305949417381219
32,-5.4554644804837285
64,-6.7251893544380215
,
end,
,
reference_solution:,
-,0
,
calculated_solutions:,d3
2     ,-1.5260329113920721
4,-1.8005011264645925
8,-2.4213190588639364
16,-4.5810319412406217
32,-6.3591445273797396
64,-7.9586359114666383
,
end,
,
reference_solution:,
-,0
,
calculated_solutions:,d4
2,-1.4398454561145986
4,-1.9095928275155658
8,-2.7469777040034953
16,-5.1206902596857242
32,-7.2600491529511455
64,-9.1899023528129060
,
end,
,
reference_solution:,
-,0
,
calculated_solutions:,d5
2,-1.2994365900151044
4,-1.9177937626156212
8,-2.7825277203917627
16,-5.6254863891508906
32,-7.6478043732698149
64,-9.1640806071616403
,
end,
,
against log 1/h where h is size of element,
S20,
converged to 10^-13,
