Title: Transcriptomics-based screening of molecular signatures associated with patients overall survival and their key regulators in subtypes of breast cancer,,,,,,
Supplementary_File_1:Basal_like_candidate_prognostic_markers,,,,,,
GeneName,GSE10886_logFC,GSE26304_logFC,GSE59246_logFC,HR,HR_Lower,HR_Higher
MRPL14,0.984,0.586,1.142,1.83,1.32,2.55
P4HA2,0.731,0.661,0.864,1.77,1.37,2.29
UBE2T,2.4,1.4,3.45,1.65,1.19,2.29
RACGAP1,1.76,1.24,1.791,1.58,1.22,2.04
DIAPH3,2.12,1.04,2.64,1.53,1.1,2.12
DTL,1.73,1.36,2.225,1.52,1.17,1.95
NDUFB9,0.802,0.96,0.781,1.52,1.1,2.11
COMTD1,0.751,0.788,1.56,1.5,1.08,2.07
DPM3,0.643,0.712,1.24,1.5,1.17,1.94
WWTR1,1.08,0.854,1.152,1.46,1.13,1.88
ARMC9,1.19,1.25,1.582,1.44,1.11,1.85
COX17,0.718,0.621,0.778,1.41,1.09,1.82
SDC1,1.21,1.62,2.64,1.41,1.1,1.82
ATP5E,0.75,0.798,0.732,1.4,1.08,1.8
NCAPG,2.14,0.971,2.591,1.39,1.08,1.79
COX6C,0.64,1.35,1.019,1.38,1.07,1.78
KIF23,1.61,0.64,3.187,1.38,1.07,1.78
MTDH,1.32,1.4,0.736,1.38,1.07,1.78
PGBD5,1.77,0.859,3.506,1.37,1.06,1.76
STIL,1.19,0.883,2.387,1.37,1.06,1.76
SULF1,1.61,2.28,2.351,1.35,1.05,1.74
PTTG1,1.19,0.676,3.148,1.34,1.04,1.72
ANP32E,1.6,0.755,1.824,1.33,1.04,1.72
CENPE,2.16,0.851,2.844,1.32,1.02,1.7
MRPL13,1.29,0.908,1.141,1.31,1.02,1.69
COL10A1,3.18,4.47,4.653,1.3,1.01,1.67
HIST1H4K,0.685,1.3,1.394,1.29,1,1.66
S100P,2.55,2.16,4.14,1.29,1,1.66
TDG,0.651,1.08,0.655,1.29,1.01,1.67
TNFRSF12A,1.47,1.17,1.546,1.29,1,1.66
GPRASP1,-1.64,-1.19,-1.158,0.78,0.6,1
RNF186,-0.914,-1.85,-4.598,0.77,0.6,0.99
TENC1,-1.29,-0.764,-1.607,0.77,0.6,1
MEOX1,-1.05,-1.14,-3.213,0.76,0.59,0.98
MYOM2,-1.72,-1.7,-2.652,0.76,0.59,0.98
TPO,-1.73,-2.14,-1.199,0.76,0.59,0.99
TTC28,-0.839,-0.981,-2.538,0.76,0.59,0.98
LRIG1,-1.97,-0.729,-1.673,0.75,0.59,0.97
RASL10A,-1.87,-1.66,-2.998,0.75,0.58,0.97
GDF10,-1.26,-1.99,-3.751,0.74,0.57,0.95
RPL41,-0.849,-0.667,-0.999,0.74,0.58,0.96
THRA,-1.44,-1.01,-2.041,0.74,0.58,0.96
ADD3,-0.915,-1.2,-1.549,0.73,0.57,0.94
CX3CL1,-2.04,-1.37,-1.724,0.73,0.57,0.94
CXCL12,-1.91,-1.09,-3.468,0.73,0.57,0.94
GSTM2,-1.25,-1.04,-1.434,0.73,0.57,0.94
ZDHHC17,-0.831,-0.834,-0.908,0.73,0.57,0.94
BDH2,-0.799,-1.5,-1.836,0.72,0.52,1
CSN2,-0.835,-0.63,-10.145,0.72,0.56,0.93
DMD,-1.78,-1.64,-1.883,0.72,0.56,0.93
MYLIP,-1,-0.702,-0.795,0.72,0.52,0.99
TESC,-3.3,-1.71,-2.681,0.72,0.56,0.92
CYP26A1,-1.94,-1.67,-2.767,0.71,0.55,0.91
ALB,-2.41,-1.7,-3.841,0.7,0.55,0.91
VIPR1,-0.661,-1.79,-1.618,0.7,0.54,0.9
CD34,-0.659,-0.926,-2.754,0.69,0.53,0.88
JAM2,-1.64,-1.72,-2.368,0.69,0.5,0.95
TSPAN7,-1.33,-0.876,-3.396,0.69,0.54,0.89
ABHD14B,-0.707,-0.642,-1.954,0.68,0.49,0.94
DNASE1L3,-0.968,-0.99,-2.676,0.68,0.53,0.87
SH3BP5,-0.951,-0.621,-2.325,0.68,0.52,0.87
ITM2A,-2.78,-1.36,-3.457,0.67,0.52,0.87
PPAP2B,-1.34,-0.865,-2.673,0.67,0.52,0.87
FIGF,-2.38,-3.23,-6.117,0.66,0.51,0.85
IL11RA,-0.86,-1.27,-1.243,0.66,0.51,0.85
ACSS2,-1.2,-1.21,-1.668,0.65,0.47,0.9
SH3BGRL2,-0.628,-2.09,-3.226,0.65,0.47,0.91
CRHBP,-0.871,-1.44,-4.985,0.64,0.5,0.83
CCNG2,-0.718,-0.646,-1.199,0.63,0.46,0.88
CYYR1,-0.792,-1.36,-2.734,0.63,0.46,0.88
MYOC,-0.708,-1.59,-5.707,0.63,0.49,0.82
C1QTNF9,-0.934,-0.695,-3.666,0.62,0.45,0.86
ADH1A,-1.31,-1.38,-5.828,0.58,0.45,0.74
ABCB1,-1.29,-1.04,-1.334,0.52,0.4,0.67
FREM1,-2.79,-1.66,-2.677,0.46,0.33,0.65
