filename,predicted_delimiter,predicted_quotechar,predicted_escapechar,prediction_time
00eb68dca3507abb10b30475ae44d2c5.csv,#,,,0.01999263
0136bed8213b8bf8986e37944510d4b9.csv,,,,0.0021714509999999996
01868c89cfa9a81cc9fe501ac868c4aa.csv,",",,,0.020600671
029e9ffdb1a0e345399b4cd04a4005d7.csv,",","""",,0.09110230600000001
02eda5fac1b2365250a7d5024a92c881.csv,",",,,0.024963033000000003
035279d24de791913452d22623e4c3b2.csv,,,,0.002341991
03da11fbc5a353701afbaefe588d5f55.csv,",","""",,0.07443606700000001
0476b562bb101c3c3c7cef585376cfe0.csv,",","""",,0.12210458099999999
083f6a62fdef287d2fdd0aa856bc714b.csv,",",,,0.029856615000000003
093e73814c7135cd4c2f42ec7702b8ae.csv,",",,,0.026604764000000003
09ee401f9f023c7446f0ff8cecb25e30.csv,",",,,0.044997422999999995
0da5feb29bc9d079437cef08d6241fd7.csv,",",,,0.033283336999999996
0ed8830ebf676c560d971329d093d7d4.csv,|,"""",,0.317100839
1039d7820393577330f4dcb767e49a6f.csv,",",,,0.019042229
112d8e3b81bfc7f76d48270481853bc0.csv,,"""",,0.021339300000000002
11378df3f63284c3b39a1aeaf0ec8d81.csv,#,,,0.055800737999999996
12c817bee5fb4124b452652ee860f9bc.csv,",",,,0.144051182
16b500398983f0b6b3b8c01dbeb899a5.csv, ,,,0.015327498
198be0ff10f38ba1a6858dde9c98568c.csv,,,,0.017188408999999998
1b63a910a223365745be355e0686d79c.csv,",",,,0.047192544
1d162176afef7f53f8ce7343a29d20db.csv,",",,,0.085868093
1d3486ce2826879728db57eca3a5495f.csv,",",',,0.021883921
1d46699279e21ec4cc765cbcec605c18.csv,",","""",,0.081974541
1de3886f4f34ec760a8408a2858f946d.csv,",",,,0.04026546
1fd85c5cbbfe521feea3c2b7b58e6d41.csv,	,,,0.029203244
20130402_gpc_spend_jan13.csv,",","""",,0.057233558999999996
2097e025f80f41f4953e89ac72e59532.csv, ,,,0.031326625000000004
236e73f55784521765d5c600f2df1e95.csv,",",,,0.020927269999999998
260bb419de6e5f7e49ae4d39d23bc432.csv,",",,,0.178557549
26e78bc8ec208c8c5972088f18138465.csv, ,,,0.015752388
27420fa4435b5989759789fbf55e24ee.csv,",","""",,0.384918443
2819f387be06ca50c81a4e9b63e49330.csv,",",,,0.042914741
285ee375035d3abaf71c7f456e293214.csv,",",,,0.018092769
2a86b8d79cf6bf212a22541dc178e58f.csv,",","""",,0.029548554999999997
2ad15181611197c8aa9ad390341df313.csv,,,,0.001956821000000001
