Item Number,Item Description,Purchase Unit Size,Purchase Price,Minimum Usage Size size,units,fraction of whole,Minimum Usage Unit Cost,Number of Minimum Units Used,Total Item Cost
1.0,"bag, plastic",box of 40,4.69,1.0,bag,0.025,0.11725000000000002,,0.0
2.0,"ball, baseball",one,4.0,1.0,ball,1.0,4.0,,0.0
3.0,"ball, rubber",one,2.0,1.0,ball,1.0,2.0,,0.0
4.0,balloons,package of 3,0.5,1.0,balloon,0.3333333333333333,0.16666666666666666,,0.0
5.0,battery (9V),one,3.0,1.0,battery,1.0,3.0,,0.0
6.0,"bearings, skate board",set of eight,7.0,1.0,bearing,0.125,0.875,,0.0
7.0,"bobbins, plastic",pack of 4,0.66,1.0,bobbin,0.25,0.165,,0.0
8.0,"bolt, 3""",one,0.21,1.0,bolt,1.0,0.21,,0.0
9.0,"bolt, 6""",one,0.4,1.0,bolt,1.0,0.4,,0.0
10.0,bottle cap,one,0.01,1.0,cap,1.0,0.01,,0.0
11.0,brackets,one,0.25,1.0,bracket,1.0,0.25,,0.0
12.0,"brick, red",one,0.38,1.0,brick,1.0,0.38,,0.0
13.0,"cans, recycled aluminum",one,0.02,1.0,can,1.0,0.02,,0.0
14.0,"cans, recycled tin",one,0.05,1.0,can,1.0,0.05,,0.0
15.0,"car, match box",one,0.79,1.0,car,1.0,0.79,,0.0
16.0,cardboard,10 sq ft,1.7,1.0,sq ft,0.1,0.17,,0.0
17.0,"cards, index",100.0,0.5,1.0,card,0.01,0.005,,0.0
18.0,"cards, playing",1 deck,3.0,1.0,card,0.019230769230769232,0.057692307692307696,,0.0
19.0,clamp,package of 2,0.5,1.0,clamp,0.5,0.25,,0.0
20.0,"clothesline, cotton",100' long,4.61,1.0,foot,0.01,0.0461,,0.0
21.0,clothes pins,package of 20,5.0,1.0,each,0.05,0.25,,0.0
22.0,compact disk,one,1.0,1.0,disk,1.0,1.0,,0.0
23.0,cork,one,0.03,1.0,cork,1.0,0.03,,0.0
24.0,corrugated fiber board,shipping box,1.39,1.0,sq. foot,0.25,0.25,,0.0
25.0,cotton balls,bag of 100,2.0,5.0,balls,0.05,0.1,,0.0
26.0,craft sticks (popcicle sticks),box of 1000,1.99,10.0,sticks,0.01,0.0199,,0.0
27.0,dental floss,12 yards,1.5,1.0,foot,0.25,0.375,,0.0
28.0,"dowel, wood (0.25"")","48""  long",0.36,1.0,foot,0.25,0.09,,0.0
29.0,"dowel, wood (1/2"")","48""  long",1.17,12.0,inches,0.25,0.2925,,0.0
30.0,duct tape,60 yard roll,5.51,1.0,foot,0.005555555555555556,0.03061111111111111,,0.0
31.0,electrical terminals,package of 10,0.5,1.0,terminal,0.1,0.05,,0.0
32.0,eyes,package of 14,0.99,1.0,eye,0.07142857142857142,0.07071428571428572,,0.0
33.0,fishing line,10 yd,0.5,1.0,yd,0.1,0.05,,0.0
34.0,"glue, carpenters",118 ml bottle,2.19,0.1,bottle,0.1,0.219,,0.0
35.0,"glue, construction adhesive",310 ml tube,1.19,0.1,tube,0.1,0.119,,0.0
36.0,"glue, crazy",0.07 oz tube,2.0,0.1,tube,0.1,0.2,,0.0
37.0,"glue, Elmer's white",118 ml bottle,1.37,0.1,bottle,0.1,0.137,,0.0
38.0,"glue, hot stick",box of  10,1.99,1.0,stick,0.1,0.199,,0.0
39.0,"glue, modeling",1 oz tube,2.29,0.1,tube,0.1,0.229,,0.0
40.0,glue stick,40 g tube,2.0,1.0,g,0.025,0.05,,0.0
41.0,hinge,package of 2,0.53,1.0,hinge,0.5,0.265,,0.0
42.0,hook,package of five,0.81,1.0,hook,0.2,0.16200000000000003,,0.0
43.0,hose clamps,set of two,1.18,1.0,clamp,0.5,0.59,,0.0
44.0,"hose, rubber",2 feet,1.79,6.0,inches,0.25,0.4475,,0.0
45.0,Lego (ages 6-12),596 pieces,24.99,5.0,pieces,0.008333333333333333,0.20825,,0.0
46.0,"Lego, Technic",147 pieces,13.99,5.0,pieces,0.03333333333333333,0.4663333333333333,,0.0
47.0,lexan plastic,"18"" x 24"" sheet",9.97,1/4,sheet,0.25,2.4925,,0.0
48.0,"lid,  small plastic",one,0.01,1.0,unit,1.0,0.01,,0.0
49.0,"lid, large plastic",one,0.05,1.0,lid,1.0,0.05,,0.0
50.0,"lid, small jar",one,0.03,1.0,lid,1.0,0.03,,0.0
51.0,"lid, large jar",one,0.05,1.0,lid,1.0,0.05,,0.0
52.0,Lincoln Logs,box of 300,10.0,5.0,logs,0.016666666666666666,0.16666666666666666,,0.0
53.0,modeling clay,1 oz package,1.0,1/10,oz,0.1,0.1,,0.0
54.0,mouse traps,pair,1.09,1.0,trap,0.5,0.545,,0.0
55.0,nails,box of 500,3.59,5.0,nails,0.01,0.0359,,0.0
56.0,"nut, hex",one,0.03,1.0,nut,1.0,0.03,,0.0
57.0,"nuts, wing",one,0.25,1.0,nut,1.0,0.25,,0.0
58.0,"paint stirrer, wooden",one stirrer,0.05,1.0,stirrer,1.0,0.05,,0.0
59.0,"paper clip, giant",package of 50,0.49,1.0,clip,0.02,0.0098,,0.0
60.0,paper clips,box of 100,0.3,2.0,clips,0.02,0.006,,0.0
61.0,"paper, computer",300 sheets,1.99,5.0,sheets,0.016666666666666666,0.033166666666666664,,0.0
62.0,paper towels,85 sheets,0.79,1.0,sheet,0.011764705882352941,0.009294117647058824,,0.0
63.0,"paper, wrapping (tissue)",10 sheets (4 sq ft),1.0,1.0,sq ft,0.025,0.025,,0.0
64.0,particle board,"2"" x 4"" sheet",3.72,1/4,sheet,0.25,0.93,,0.0
65.0,pen,box of 12,1.98,1.0,pen,0.08333333333333333,0.16499999999999998,,0.0
66.0,"pencil, wooden",box of 12,1.5,1.0,pencil,0.08333333333333333,0.125,,0.0
67.0,"pencil grip, plastic",one,0.29,1.0,grip,1.0,0.29,,0.0
68.0,"pins, push",box of 20,0.99,1.0,pin,0.05,0.0495,,0.0
69.0,"pipe, galvanized",4' long,6.79,1.0,foot,0.25,1.6975,,0.0
70.0,"pipe, PVC",10' long,0.85,1.0,foot,0.1,0.085,,0.0
71.0,playdoe,2 170 g canisters,0.99,1/10,canister,0.05,0.0495,,0.0
72.0,"plexiglass (1/16"")","4"" by 10"" piece",0.35,0.5,sq ft,0.9,0.315,,0.0
73.0,"plexiglass (1/4"")","6"" by 30"" piece",0.5,0.5,sq ft,0.2,0.1,,0.0
74.0,"ply wood (1/2"")",4' x 4' sheet,7.14,0.25,sheet,0.25,1.785,,0.0
75.0,"ply wood (1/4"")","2"" x 4"" sheet",5.93,0.25,sheet,0.25,1.4825,,0.0
76.0,poker chip,one,0.25,1.0,chip,1.0,0.25,,0.0
77.0,post-it notes,package of 100,1.0,1.0,post-it,0.01,0.01,,0.0
78.0,"protractor, small plastic",one,0.49,1.0,item,1.0,0.49,,0.0
79.0,"pulley, plastic",one,0.25,1.0,pulley,1.0,0.25,,0.0
80.0,"pulley, blower",one,11.89,1.0,pulley,1.0,11.89,,0.0
81.0,razor blade,package of 5,3.37,1.0,blade,0.2,0.674,,0.0
82.0,rubber bands,box of 50,0.69,1.0,rubber band,0.02,0.0138,,0.0
83.0,rubber cement,100 ml bottle,2.0,10.0,ml,0.1,0.2,,0.0
84.0,"ruler, 12"" wood",one,1.0,1.0,ruler,1.0,1.0,,0.0
85.0,"ruler, metal, 6""",one,2.29,1.0,ruler,1.0,2.29,,0.0
86.0,sand,50 LB bag,3.0,1.0,LB,0.02,0.06,,0.0
87.0,screws,one,0.1,1.0,screw,1.0,0.1,,0.0
88.0,silicon adhesive,310 ml tube,4.69,1/10,tube,0.1,0.4690000000000001,,0.0
89.0,solder,roll (100 inches),3.69,1.0,inches,0.01,0.0369,,0.0
90.0,"spool, plastic",thread spool,1.75,1.0,spool,1.0,1.75,,0.0
91.0,"spoons, metal",one,0.25,1.0,spoon,1.0,0.25,,0.0
92.0,"spoons, plastic",box of 100,2.96,1.0,spoon,0.01,0.0296,,0.0
93.0,spring,one,0.4,1.0,spring,1.0,0.4,,0.0
94.0,staples,package of 5000,1.59,30.0,staples,0.006,0.00954,,0.0
95.0,stone,one,0.01,1.0,rock,1.0,0.01,,0.0
96.0,straws,box of 50,0.39,1.0,straw,0.02,0.0078000000000000005,,0.0
97.0,styrofoam,block,1.75,36.0,cub. in.,0.083,0.14525000000000002,,0.0
98.0,suction cup,box of 6,1.69,1.0,cup,0.16666666666666666,0.2816666666666666,,0.0
99.0,"tape, electric",60 foot roll,0.29,2.0,foot,0.03,0.0087,,0.0
100.0,"tape, masking",60 foot roll,2.0,1.0,foot,0.017,0.034,,0.0
101.0,"tape, transparent",800 inch roll,1.99,1.0,ft,0.015,0.029849999999999998,,0.0
102.0,thread,250 yd spool,1.75,3.0,feet,0.004,0.007,,0.0
103.0,tie twists,package of 100,1.0,1.0,tie,0.01,0.01,,0.0
104.0,tongue depressor,package of 100,1.75,1.0,stick,0.01,0.0175,,0.0
105.0,tooth picks,box of 750,1.0,10.0,picks,0.013333333333333334,0.013333333333333334,,0.0
106.0,"tube, plastic",bag of 25,3.0,1.0,tube,0.04,0.12,,0.0
