BUDGET DIVISION,Actual 2012 BUDGET,Projected 2011/12 SALARIES,ADMIN & SUPPORT,OPERATING,0.9166666666666666 Formula Allocation,10/11 Expenditure,+/- last year,
President,1715950,1033479,0,281541.7392233321,1315020.7392233321,1866754.5899999999,-400929.26077666786,
Provost,5616538,2932244.71,0,798806.0478072752,3731050.7578072753,5326965.159999993,-1885487.2421927247,
Finance & Aministration,8646125,6191740,0,1686762.138774638,7878502.138774638,5800432.320000004,-767622.8612253619,
"Strategy, Planning & Policy",1760002,1253406,0,341454.54836814274,1594860.5483681427,1953311.1800000002,-165141.45163185732,
Student Services & Enrollment Management,2665119,1087604,0,296286.5445221943,1383890.5445221942,2802905.0100000002,-1281228.4554778058,
Development,449832,362804,0,98835.55365632178,461639.5536563218,237428.81,11807.553656321776,
Agriculture,591449,514875.19748062076,98265.77433333333,57533.28817204301,670674.2599859971,609114.74,79225.25998599711,
Art & Music,1229055,732473.2453713835,98519.83866666666,58628.963440860214,889622.0474789103,1224074.26,-339432.9525210897,
Biology,1043296,914846.3662139897,111218.26166666666,113392.05376344085,1139456.6816440972,1166095.81,96160.6816440972,
Chemistry & Biochemistry,531545,458454.075967725,97187.19933333334,52881.83655913978,608523.1118601981,593342.58,76978.11186019809,
"Communication, Mass Media, & Theatre",989795,814244.5344292803,107927.4095,99199.95806451612,1021371.9019937963,1270127.6099999999,31576.901993796346,
English & Modern Langagues,1663079,1326468.0502481388,124544.655,170863.32258064518,1621876.027828784,1561307.4100000001,-41202.97217121604,
Pol Science & Criminal Justice,0,265553.625,93172.5035,35568.1,394294.22849999997,810604.71,394294.22849999997,
History & Political Science,1224668,993969.4801488834,115383.95800000001,131356.9935483871,1240710.4316972706,747226.05,16042.4316972706,
Mathematics & Computer Science,1259999,1290107.512096774,124992.86283333335,172796.25913978496,1587896.6340698926,1641555.22,327897.6340698926,
Physics,810053,624510.9229220465,100590.70266666666,67559.7505376344,792661.3761263476,699416.9,-17391.623873652425,
"Accounting, Economics, & Finance",1066854,701791.0366004963,103634.681,80687.1806451613,886112.8982456576,1231240.44,-180741.10175434244,
Aerospace Studies,44068,21299.854838709674,85586.526,2852.8903225806453,109739.27116129032,45671.08,65671.27116129032,
Management & Marketing,1102526,601756.5176799007,99773.3825,64034.98387096774,765564.8840508685,1224074.26,-336961.11594913155,
Security Studies & Criminal Justice,193510,387968.4261786601,93865.18833333332,38555.36559139785,520388.98010339134,,326878.98010339134,
Teacher Education,763138,317414.14112903224,92108.3095,30978.667741935486,440501.1183709677,872026.21,-322636.8816290323,
Curriculum & Instruction,459814,977121.9361042182,87700.533,11969.735483870967,1076792.2045880894,933895.04,616978.2045880894,
Kinesiology,578599,443402.66377171216,95106.74799999999,43909.70322580646,582419.1149975186,836218.02,3820.114997518598,
Nursing,2203128,1302907.6941901986,104643.74783333333,85038.87204301075,1492590.3140665428,2598646.27,-710537.6859334572,
Athletic Training,0,0,84925,0,84925,,84925,
Physical Therapy,1082098,0,84925,0,84925,1025297.34,-997173,
"Psychology, Sociology & Social Work",1137342,1220224.041873449,113334.6655,122519.23548387097,1456077.9428573202,1229276.16,318735.9428573202,
Academic Affairs,,150025.06451612903,89584.444,20094.270967741937,259703.77948387098,0,259703.77948387098,
Facilities,,0,0,0,0,4656768.75,,
