,Local Education Agencies,Median Student-Teacher Ratio,Median Student-Adult Ratio
1,Alpine,22.5,21.225
2,Beaver,19.74,15.32
3,Box Elder,22.82,21.21
4,Cache,22.42,18.78
5,Carbon,19.665,13.32
6,Daggett,13,13
7,Davis,22.4,21.45
8,Duchesne,17.325,14.665
9,Emery,17.435,15.09
10,Garfield,12.52,9.55
11,Grand,17.35,13.75
12,Granite,22.7,21.59
13,Iron,21.29,17.95
14,Jordan,23.505,21.79
15,Juab,22.12,19.33
16,Kane,16.41,10.12
39,Logan,19.21,16.2
17,Millard,17.675,11.725
18,Morgan,21.185,20.41
40,Murray,20.73,18.32
19,Nebo,21.41,18.635
20,North Sanpete,18.74,11.09
21,North Summit,16.39,15.12
37,Ogden,22.38,15.35
22,Park City,16.555,14.905
23,Piute,13.52,9.63
38,Provo,20.69,19.53
24,Rich,13.66,11.585
36,Salt Lake,19.8,13.51
25,San Juan,15.24,10.365
26,Sevier,20.1,19.12
27,South Sanpete,19.19,10.01
28,South Summit,17.55,16.28
29,Tintic,11.21,8.96
30,Tooele,21.4,18.99
31,Uintah,22.28,15.45
32,Wasatch,18.455,17.225
33,Washington,20.505,19.61
34,Wayne,13.345,12.865
35,Weber,22.57,20.94
,DISTRICT MEDIAN,21.415,19.22
,CHARTER MEDIAN,19.615,17.315
,STATE MEDIAN,21.33,19.105
