Grade,years in service,Current Spine point,Current salary 1.8.04,Proposed new spine point,Proposed salary from 1.8.04,annual salary difference,comment,career earnings plus/minus
AR 123/AC1/23,0(pt4/22),4.0,19460.12,22.0,19645.0,184.88000000000102,,184.88000000000102
,1(pt5/23),5.0,20540.46,23.0,20235.0,-305.4599999999991,,-120.57999999999811
,2(pt6/24),6.0,21639.99,24.0,20842.0,-797.9900000000016,AR1 std max pt 6,-918.5699999999997
,3(pt7/25),7.0,22507.25,25.0,21467.0,-1040.25,,-1958.8199999999997
,4(pt8/26),8.0,23643.0,26.0,22111.0,-1532.0,,-3490.8199999999997
,5(pt9/27),9.0,24820.3,27.0,22774.0,-2046.2999999999993,,-5537.119999999999
,6(pt10/28),10.0,25699.3,28.0,23457.0,-2242.2999999999993,,-7779.419999999998
,7(pt11/29),11.0,27116.31,29.0,24161.0,-2955.3100000000013,Acad 1 new std max pt 29,-10734.73
,8(pt12/30),12.0,27988.9,30.0,24886.0,-3102.9000000000015,,-13837.630000000001
,9(pt13/31),13.0,29127.85,31.0,25633.0,-3494.8499999999985,AR2 std max pt 13,-17332.48
,10(pt14/32),14.0,30362.68,32.0,26401.0,-3961.6800000000003,,-21294.16
,11(pt15/33),15.0,31559.16,33.0,27194.0,-4365.16,,-25659.32
,12(pt16/34),16.0,32666.15,34.0,28009.0,-4657.1500000000015,Acad 2 new std max 34,-30316.47
,13(pt17/35),17.0,34227.0,35.0,28850.0,-5377.0,,-35693.47
,14(pt18/36),18.0,35882.68,36.0,29715.0,-6167.68,AR 3 std max pt 18,-41861.15
