,IT equipment,Communi-cation equipment,Non-ICT equipment,Transport equipment,Non residential structures,Software,,Total,,IT equipment,Communi-cation equipment,Non-ICT equipment,Transport equipment,Non residential structures,Software,,Total,,in current prices
1980.0,1935.2748035018135,5580.515994983146,55334.64988117306,9751.47141506207,95601.11379323927,2077.539861880698,,170280.56574984005,,4263.055772646535,3095.094188585092,33000.04194698064,5305.992218863063,46699.23175532513,1444.8682446748733,,93808.28412707531,,562684.5
1981.0,2090.5705770651784,6225.349465879134,50932.65372130744,9156.933461945884,89394.59879989304,2245.0398595485053,,160045.14588563918,,4401.589342806393,3735.4467893405413,32769.92653952145,5372.927590821232,48046.53607805823,1655.663921941769,,95982.09026248961,,615049.6
1982.0,2467.7446159714364,6194.908565027906,52347.225021810744,9372.884861049213,90395.64568822469,2660.3323044290605,,163438.74105651304,,5010.29745411486,3998.042312090654,37372.616787167826,6105.091440749367,51353.20537794026,2096.6946220597397,,105935.94799412272,,672839.6
1983.0,3521.045653858725,6934.994612152429,54063.49585727085,9896.012307412604,90675.40674402866,3735.8962444540766,,168826.85141917734,,6794.441918294848,4869.73715216412,43416.62739910282,7254.436982703079,55736.775746813466,3163.224253186536,,121235.24345226487,,754925.8
1984.0,4649.446727046888,8360.311716537459,58123.78453497561,10936.865927733725,91022.21891272259,4534.169312648803,,177626.79713166508,,8182.926110124333,6328.450185396957,47966.11858098383,8236.377558606333,59997.39392558384,4012.3060744161644,,134723.57243511148,,846769.1
1985.0,6737.066928870657,7929.80564184574,67722.69343668935,12692.336315073804,94245.77855249397,6651.86394638389,,195979.5448213574,,11107.873534635879,6309.426447655681,59125.48076194075,10112.83020270605,64131.861186976064,6067.73881302394,,156855.21094693834,,921782.4
1986.0,7281.546989452996,7469.446837286116,68011.74280397143,12677.809735077519,96459.0658536073,7984.501618981584,,199884.11383837694,,11537.11770278271,6322.67512215407,61580.15126656561,10479.444416910344,68624.46491274217,7412.335087257828,,165956.1885084127,,1008997.3
1987.0,8452.050417317701,7524.948959065588,76719.6879808158,14152.556096070544,98640.42971474938,9050.941247117933,,214540.61441513695,,13217.361989342804,6598.179609800047,71294.744291095,11999.795559300192,74076.59362894983,8505.30637105016,,185691.98144953806,,1092960.7
1988.0,10472.517457762102,7350.696289275904,83059.91437689382,15341.205586060358,98675.53961446528,11223.26985820715,,226123.1431826646,,16071.993132030786,6610.069445888345,80310.9091320374,13524.93730485206,79998.92784549388,10943.972154506124,,207460.80901480862,,1192564.2
1989.0,11569.36485130286,8024.481458446057,98096.91494168135,17819.053516033862,108644.7165058652,13348.004191761709,,257502.53546509106,,17941.146832445233,7586.734553141352,98135.53062883142,16265.029241215245,97365.44629235883,13217.953707641162,,250511.84125563325,,1323011.5
1990.0,11451.604188837271,7822.885122923361,97845.50686803562,17710.48794068,105457.43085528357,12937.355527010013,,253225.27050276985,,17719.70301953819,7801.091312333228,100318.67921529581,16580.809832978146,103202.485041995,13224.614958004997,,258847.3833801454,,1455671.4
1991.0,11196.474048293581,7524.371455621706,83362.60301164813,15599.24426830362,96520.32902990222,12385.907013904127,,226588.92882767337,,16836.02676139728,7906.740998717815,82573.79102981948,14102.471130495118,97322.85925072101,13202.640749278988,,231944.5299204297,,1544659.3
1992.0,11585.20471650822,7613.424536007218,67043.64371950798,13097.644953619945,85333.14794770766,14313.018032903383,,198986.0839062544,,15697.32279455299,7968.228436774439,65673.15184754092,11689.737076869704,83904.08157979057,14186.918420209426,,199119.44015573806,,1532574.1
1993.0,14575.046427885498,9406.605239007175,51954.672568319365,11258.0,81217.61829026065,18704.808965436157,,187116.75149090882,,17726.0,9803.0,54256.0,10740.0,78830.52852020285,18721.471479797154,,190077.0,,1545491.0
1994.0,19175.946436553248,10042.98699858149,64796.032843313005,14715.0,90877.16428327396,21321.89538461727,,220929.02594633895,,21548.0,10309.0,65758.0,14351.0,88675.75782254607,20970.24217745392,,221612.0,,1647581.0
1995.0,23893.0,12179.0,82595.0,16069.0,97482.0,24130.0,,256348.0,,23893.0,12179.0,82595.0,16069.0,97482.0,24130.0,,256348.0,,1772021.0
1996.0,28792.826104639607,10761.506702409582,93227.47972537731,19317.0,93163.74669264858,26942.197248609496,,272204.75647368457,,23183.0,10439.0,89019.0,19587.0,95323.0,26300.0,,263851.0,,1817149.0
1997.0,37296.27533399262,10962.133037825673,94840.1682766969,21339.0,87577.51464044252,31517.60073575517,,283532.69202471286,,24491.0,10563.0,90513.0,21810.0,92016.0,30009.0,,269402.0,,1890187.0
1998.0,57385.056375108354,11645.253266019055,101347.12918610602,24430.0,89040.49276589477,41015.39404603336,,324863.32563916163,,29426.0,10591.0,94804.0,25406.0,97955.0,37860.0,,296042.0,,1973848.0
1999.0,75913.10952677249,14914.829326534082,106101.565241494,35040.0,85544.57456437325,50892.49034010531,,368406.5689992791,,31177.0,12989.0,100144.0,36870.0,97845.0,46889.0,,325914.0,,2078549.0
2000.0,89099.50008762829,20262.189726777415,106429.84902048629,40612.0,86355.72537564172,59896.34705837986,,402655.61126891355,,32207.0,17030.0,98081.0,43548.0,103553.0,55974.0,,350393.0,,2196764.0
2001.0,108707.85750137287,18968.88355444534,111110.17000869408,35150.0,90660.2655244755,61601.84253884489,,426199.0191278327,,32660.012565363784,15449.06833534894,102167.91909928728,38180.0,113547.0,58053.0,,360057.0,,2260419.0
