col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7
Settle Put Premium on ENE shares,37034148,,2000-08-03 00:00:00,,,,
Merlin,5428748.960000001,,2001-01-19 00:00:00,,,,
Cash Settlement on Put,-3965852,,2000-08-03 00:00:00,,,,
Transfer to Note,3965852,,2000-08-03 00:00:00,,,,
Merlin Credit Derivative Put Premium,36066314,,2000-08-03 00:00:00,,,,
Reduction to Note,-36066314,,2000-08-03 00:00:00,,,,
Distributions,,,,,,,
to LJM,-41000000,,2000-08-03 00:00:00,,,,
LJM additional Equity,6000000,,2000-08-03 00:00:00,,,,
Paymentof Interest on Note Receivable,-1613888.888888889,,2000-10-01 00:00:00,,,,
Permitted Investment,1613888.888888889,,2000-10-01 00:00:00,,,,
Intial Contribution,2000-04-18 00:00:00,,30000000,,,,
Additional,2000-08-03 00:00:00,,6000000,,,,
Capital Return if available,2001-03-09 00:00:00,,430027.397260274,,,,
Beginning Balance,71001000,,2000-04-18 00:00:00,,,,
Net Income,-250600941.59894314,,,,,,
Amortizations,-55479448.515981734,,,,,,
Unrealized Gains / (Losses),256238591.19352174,,,,,,
Change in:,,,,,,,
Notes Receivable,0,,,,,,
Interest Receivable,-1545833.3333333335,,,,,,
Notes Payable,66746305.505616486,,,,,,
Option/Put Obligations,-10362434.96,,,,,,
Distributions,-41000000,,,,,,
LJM Equity,6000000,,,,,,
Date,2000-04-18 00:00:00,,,2000-04-15 00:00:00,0.0692,,
Beginning Balance,71001000,,,2000-05-15 00:00:00,0.0733,,
Date,2000-08-03 00:00:00,,2000-08-03 00:00:00,2000-06-15 00:00:00,0.074,,
Days,107,,,2000-07-15 00:00:00,0.0733,,
Interest,1623881.6212500003,,,Avg,0.07245,,
Date,2000-08-03 00:00:00,,,2000-07-15 00:00:00,0.0733,,
Beginning Balance,37624882,,,2000-08-15 00:00:00,0.0724,,
Date,2000-10-01 00:00:00,,2000-10-01 00:00:00,2000-09-15 00:00:00,0.072,,
Days,59,,,Avg,0.0725666666666666,,
Interest,475216.1948014815,,,,,,
Date,2000-10-01 00:00:00,,,2000-09-15 00:00:00,0.072,2001-01-15 00:00:00,0.0594
Beginning Balance,39713987,,,2000-10-15 00:00:00,0.0718,2001-02-15 00:00:00,
Date,2001-03-09 00:00:00,,,2000-11-15 00:00:00,0.0713,2001-03-15 00:00:00,
Days,159,,,2000-12-15 00:00:00,0.0688,2001-04-15 00:00:00,
Interest,1283251.5859396667,,,Avg,0.06866,,
Interest Expense,25019031.93321779,,,,,,
Interest from Amort Sheet,24673121.528793924,,,,,,
Additional Interest included in Amort Sheet,,,,,,,
Transaction Date,2000-08-03 00:00:00,,Date,2000-10-01 00:00:00,,,
Amount,3965852,,Days,59,,,
Cash Settlement on Put,,,Additional Interest,45497.135444444444,,,
Transaction Date,2000-08-03 00:00:00,,Date,2000-10-01 00:00:00,,,
Amount,-36066314,,Days,59,,,
Merlin Credit Derivative Put Premium,,,Additional Interest,-413760.7689444445,,,
Transaction Date,2000-11-01 00:00:00,,Date,2001-03-09 00:00:00,,,
Amount,-65511,,Days,128,,,
Brigham Debt,2000-11-01 00:00:00,,Additional Interest,-1630.496,,,
Transaction Date,2000-11-14 00:00:00,,Date,2001-03-09 00:00:00,,,
Amount,-299117.99815116153,,Days,115,,,
Place Termination,2000-11-09 00:00:00,,Additional Interest,-6688.610791991252,,,
Transaction Date,2000-12-13 00:00:00,,Date,2001-03-09 00:00:00,,,
Amount,1166000.1205500006,,Days,86,,,
Quicksilver Termination,2000-12-08 00:00:00,,Additional Interest,19498.11312697501,,,
Transaction Date,2000-12-19 00:00:00,,Date,2001-03-09 00:00:00,,,
Amount,-599260.1400000001,,Days,80,,,
DEVX Pref Termination,2000-12-14 00:00:00,,Additional Interest,-9321.824400000003,,,
Transaction Date,2001-01-02 00:00:00,,Date,2001-03-09 00:00:00,,,
Amount,2417178.99,,Days,66,,,
Black Bay and Keathley Termination,2000-12-28 00:00:00,,Additional Interest,31020.463705000002,,,
Transaction Date,2001-01-03 00:00:00,,Date,2001-03-09 00:00:00,,,
Amount,887500,,Days,65,,,
Geo. Pursuit Termination,2000-12-29 00:00:00,,Additional Interest,11217.01388888889,,,
Transaction Date,2001-01-16 00:00:00,,Date,2001-03-09 00:00:00,,,
Amount,132061.02,,Days,52,,,
Avici Termination,2001-01-11 00:00:00,,Additional Interest,1335.2836466666665,,,
Transaction Date,2001-01-19 00:00:00,,Date,2001-03-09 00:00:00,,,
Amount,7079860.939999881,,Days,49,,,
Active Power Termination,2001-01-16 00:00:00,,Additional Interest,67455.34173388776,,,
Transaction Date,2001-01-19 00:00:00,,Date,2001-03-09 00:00:00,,,
Amount,63109023.64,,Days,49,,,
Merlin,2001-01-19 00:00:00,,Additional Interest,601288.7530144445,,,
