NAICS Code,NAICS Sector,Type of Operation or Tax Status,Number of Establishments,"Sales, Shipments, Receipts, Revenue, or Business Done ($1,000)","Annual Payroll ($1,000)",Number of Paid Employees for Pay Period Including March 12
31-33,Manufacturing,Total,75,800225,184393,2906
325,Chemical manufacturing,Total,10,325679,52032,617
3254,Pharmaceutical and medicine manufacturing,Total,5,D,D,566
32541,Pharmaceutical and medicine manufacturing,Total,5,D,D,566
334,Computer and electronic product manufacturing,Total,14,233595,56952,948
3344,Semiconductor and other electronic component manufacturing,Total,4,D,D,f
33441,Semiconductor and other electronic component manufacturing,Total,4,D,D,f
334413,Semiconductor and related device manufacturing,Total,1,D,D,f
42,Wholesale trade,"Merchant wholesalers, except manufacturers' sales branches and offices",90,2066440,189928,1693
423,"Merchant wholesalers, durable goods","Merchant wholesalers, except manufacturers' sales branches and offices",56,161590,37983,499
4237,"Hardware, plumbing and heating equipment and supplies merchant wholesalers","Merchant wholesalers, except manufacturers' sales branches and offices",4,66543,11117,164
42372,Plumbing and heating equipment and supplies (hydronics) merchant wholesalers,"Merchant wholesalers, except manufacturers' sales branches and offices",2,D,D,b
423720,Plumbing and heating equipment and supplies (hydronics) merchant wholesalers,"Merchant wholesalers, except manufacturers' sales branches and offices",2,D,D,b
424,"Merchant wholesalers, nondurable goods","Merchant wholesalers, except manufacturers' sales branches and offices",34,1904850,151945,1194
4242,Drugs and druggists' sundries merchant wholesalers,"Merchant wholesalers, except manufacturers' sales branches and offices",8,D,D,f
42421,Drugs and druggists' sundries merchant wholesalers,"Merchant wholesalers, except manufacturers' sales branches and offices",8,D,D,f
424210,Drugs and druggists' sundries merchant wholesalers,"Merchant wholesalers, except manufacturers' sales branches and offices",8,D,D,f
4242102,"Specialty-line drugs, pharmaceuticals, cosmetics, and toiletries merchant wholesalers","Merchant wholesalers, except manufacturers' sales branches and offices",6,D,D,f
4249,Miscellaneous nondurable goods merchant wholesalers,"Merchant wholesalers, except manufacturers' sales branches and offices",14,D,D,b
44-45,Retail trade,Total,474,1287709,150576,6627
441,Motor vehicle and parts dealers,Total,6,D,D,c
4411,Automobile dealers,Total,4,D,D,c
44112,Used car dealers,Total,2,D,D,a
441120,Used car dealers,Total,2,D,D,a
4412,Other motor vehicle dealers,Total,1,D,D,a
44122,"Motorcycle, boat, and other motor vehicle dealers",Total,1,D,D,a
442,Furniture and home furnishings stores,Total,33,37672,5466,195
4421,Furniture stores,Total,15,25531,3319,76
44211,Furniture stores,Total,15,25531,3319,76
442110,Furniture stores,Total,15,25531,3319,76
4422,Home furnishings stores,Total,18,12141,2147,119
44229,Other home furnishings stores,Total,13,10322,1763,107
442299,All other home furnishings stores,Total,12,D,D,c
443,Electronics and appliance stores,Total,21,126979,12422,397
4431,Electronics and appliance stores,Total,21,126979,12422,397
44311,"Appliance, television, and other electronics stores",Total,14,19370,2509,131
443112,"Radio, television, and other electronics stores",Total,12,D,D,c
44312,Computer and software stores,Total,4,D,D,c
443120,Computer and software stores,Total,4,D,D,c
44313,Camera and photographic supplies stores,Total,3,D,D,b
443130,Camera and photographic supplies stores,Total,3,D,D,b
444,Building material and garden equipment and supplies dealers,Total,12,30330,6210,209
4441,Building material and supplies dealers,Total,11,D,D,c
44412,Paint and wallpaper stores,Total,2,D,D,b
444120,Paint and wallpaper stores,Total,2,D,D,b
44413,Hardware stores,Total,6,12244,2868,132
444130,Hardware stores,Total,6,12244,2868,132
44419,Other building material dealers,Total,3,D,D,b
