College,,Dept,Dept Abbrv,,Degree Program,,,Major Abbrv,,Opt.,,Degree,,Level,,CIP
AGLS,,College Interdisciplinary,CLAG,,AGRICULTURAL CHEMISTRY,,,AGCH,,,,MAGR,,3.0,,01000000
AGLS,,Agricultural Education,AGED,,AGRICULTURAL SCIENCE,,,AGSC,,,,BS,,2.0,,01000000
INTD,,University Interdisciplinary,INTD,,AGRIBUSINESS,,,AGBU,,,,MAB,,3.0,,01010100
AGLS,,Biological and Agri Engineering,BAEN,,AGRICULTURAL SYSTEMS MANAGEMENT,,,AGSM,,,,BS,,2.0,,01010100
AGLS,,Biological and Agri Engineering,BAEN,,AGRICULTURAL SYSTEMS MANAGEMENT,,,AGSM,,,,MAGR,,3.0,,01010100
INTD,,University Interdisciplinary,INTD,,AGRIBUSINESS,,,AGBU,,,,BS,,2.0,,01010200
AGLS,,College Interdisciplinary,CLAG,,AGRICULTURAL DEVELOPMENT,,,ADEV,,,,MAGR,,3.0,,01010200
AGLS,,Agricultural Education,AGED,,AGRICULTURAL DEVELOPMENT,,,ADEV,,,,BS,,2.0,,01010200
AGLS,,Agricultrual Economics,AGEC,,AGRICULTURAL ECONOMICS,,,AGEC,,,,[BS],,2.0,,01010300
AGLS,,Agricultrual Economics,AGEC,,AGRICULTURAL ECONOMICS,,,AGEC,,,,MAGR,,3.0,,01010300
AGLS,,Agricultrual Economics,AGEC,,AGRICULTURAL ECONOMICS,,,AGEC,,,,MS,,3.0,,01010300
AGLS,,Agricultrual Economics,AGEC,,AGRICULTURAL ECONOMICS,,,AGEC,,,,PHD,,4.0,,01010300
AGLS,,Agricultrual Economics,AGEC,,,AGRI ECON-FARM & RANCH MGMT,,AGEC,,FRM,,BS,,2.0,,01010400
AGLS,,Rangeland Ecology & Mgmt,RLEM,,,RGLN ECL & MGT-RANCH MANAGEMENT,,RLEM,,RMO,,BS,,2.0,,01010400
AGLS,,Soil & Crop Sciences,SCSC,,,AGRN-AGRO INDUSTRY,,AGRO,,AGI,,BS,,2.0,,01010500
AGLS,,Agricultural Education,AGED,,,AGRI SCI-PRODUCTION,,AGSC,,--,,BS,,2.0,,01030100
AGLS,,Animal Science,ANSC,,,ANM SCI-PRODUCTION,,ANSC,,PRO,,BS,,2.0,,01030200
AGLS,,Animal Science,ANSC,,,ANM SCI-ANIMAL INDUSTRY,,ANSC,,AIN,,BS,,2.0,,01030200
AGLS,,Poultry Science,POSC,,,PLTRY SCI-INDUSTRY,,POSC,,IND,,BS,,2.0,,01030200
AGLS,,Wildlife & Fisheries Sci,WFSC,,,WL & FS SCI-AQUACULTURE,,WFSC,,AQU,,BS,,2.0,,01030300
AGLS,,College Interdisciplinary,CLAG,,,FOOD SCI & TCHN-INDUSTRY,,FSTC,,INO,,BS,,2.0,,01040100
AGLS,,Agricultrual Economics,AGEC,,,AGRI ECON-FOOD & FIBER MKTG,,AGEC,,FFM,,BS,,2.0,,01040100
AGLS,,Agricultural Education,AGED,,,AGRI SCI-HORTICULTURE,,AGSC,,--,,BS,,2.0,,01060100
AGLS,,Horticultural Sciences,HRSC,,HORTICULTURE,,,HORT,,,,BS,,2.0,,01060100
AGLS,,Horticultural Sciences,HRSC,,HORTICULTURE,,,HORT,,,,MAGR,,3.0,,01060100
AGLS,,Horticultural Sciences,HRSC,,HORTICULTURE,,,HORT,,,,MS,,3.0,,01060100
AGLS,,Horticultural Sciences,HRSC,,HORTICULTURE (Also joint w/Kingsville),,,HORT,,,,PHD,,4.0,,01060100
AGLS,,Horticultural Sciences,HRSC,,FLORICULTURE,,,FLOR,,,,BS,,2.0,,01060300
AGLS,,Horticultural Sciences,HRSC,,FLORICULTURE,,,FLOR,,,,MAGR,,3.0,,01060300
AGLS,,Horticultural Sciences,HRSC,,FLORICULTURE,,,FLOR,,,,MS,,3.0,,01060300
AGLS,,Soil & Crop Sciences,SCSC,,,AGRN-TURFGRASS MANAGEMENT,,AGRO,,TMO,,BS,,2.0,,01060700
INTD,,University Interdisciplinary,INTD,,AGRICULTURAL JOURNALISM,,,AGJR,,,,BS,,2.0,,01080200
AGLS,,Animal Science,ANSC,,ANIMAL SCIENCE,,,ANSC,,,,[BS],,2.0,,01090100
AGLS,,Animal Science,ANSC,,,ANM SCI-SCIENCE,,ANSC,,ANS,,BS,,2.0,,01090100
AGLS,,Animal Science,ANSC,,ANIMAL SCIENCE,,,ANSC,,,,MAGR,,3.0,,01090100
AGLS,,Animal Science,ANSC,,ANIMAL SCIENCE,,,ANSC,,,,MS,,3.0,,01090100
AGLS,,Animal Science,ANSC,,ANIMAL SCIENCE,,,ANSC,,,,PHD,,4.0,,01090100
AGLS,,College Interdisciplinary,CLAG,,ANIMAL BREEDING,,,ANBR,,,,MS,,3.0,,01090200
AGLS,,College Interdisciplinary,CLAG,,ANIMAL BREEDING,,,ANBR,,,,PHD,,4.0,,01090200
AGLS,,Animal Science,ANSC,,PHYSIOLOGY OF REPRODUCTION,,,PREP,,,,MS,,3.0,,01090200
AGLS,,Animal Science,ANSC,,PHYSIOLOGY OF REPRODUCTION,,,PREP,,,,PHD,,4.0,,01090200
AGLS,,Animal Science,ANSC,,DAIRY SCIENCE,,,DASC,,,,[BS],,2.0,,01090500
AGLS,,Animal Science,ANSC,,,DAIRY SCI-DAIRY PRODUCTION,,DASC,,DPO,,BS,,2.0,,01090500
AGLS,,Animal Science,ANSC,,,DAIRY SCI-DAIRY MANUFACTURING,,DASC,,DMO,,BS,,2.0,,01090500
AGLS,,Animal Science,ANSC,,DAIRY SCIENCE,,,DASC,,,,MAGR,,3.0,,01090500
AGLS,,Animal Science,ANSC,,DAIRY SCIENCE,,,DASC,,,,MS,,3.0,,01090500
AGLS,,Poultry Science,POSC,,POULTRY SCIENCE,,,POSC,,,,BS,,2.0,,01090700
AGLS,,Poultry Science,POSC,,POULTRY SCIENCE,,,POSC,,,,MAGR,,3.0,,01090700
AGLS,,Poultry Science,POSC,,POULTRY SCIENCE,,,POSC,,,,MS,,3.0,,01090700
AGLS,,Poultry Science,POSC,,POULTRY SCIENCE,,,POSC,,,,PHD,,4.0,,01090700
INTD,,University Interdisciplinary,INTD,,FOOD SCIENCE & TECHNOLOGY,,,FSTC,,,,MS,,3.0,,01100100
INTD,,University Interdisciplinary,INTD,,FOOD SCIENCE & TECHNOLOGY,,,FSTC,,,,PHD,,4.0,,01100100
AGLS,,College Interdisciplinary,CLAG,,FOOD SCIENCE & TECHNOLOGY,,,FSTC,,,,[BS],,2.0,,01100100
AGLS,,College Interdisciplinary,CLAG,,FOOD SCIENCE & TECHNOLOGY,,,FSTC,,,,MAGR,,3.0,,01100100
AGLS,,College Interdisciplinary,CLAG,,PLANT SCIENCES,,,PLSC,,,,MAGR,,3.0,,01110100
AGLS,,Soil & Crop Sciences,SCSC,,AGRONOMY,,,AGRO,,,,[BS],,2.0,,01110200
AGLS,,Soil & Crop Sciences,SCSC,,,AGRN-SOIL & CROP MANAGEMENT,,AGRO,,SCM,,BS,,2.0,,01110200
AGLS,,Soil & Crop Sciences,SCSC,,PLANT & ENVRNMNTL SOIL SCIENCE,,,PSSC,,,,BS,,2.0,,01110200
AGLS,,Soil & Crop Sciences,SCSC,,AGRONOMY,,,AGRO,,,,MAGR,,3.0,,01110200
AGLS,,Soil & Crop Sciences,SCSC,,AGRONOMY,,,AGRO,,,,MS,,3.0,,01110200
AGLS,,Soil & Crop Sciences,SCSC,,AGRONOMY,,,AGRO,,,,PHD,,4.0,,01110200
AGLS,,Horticultural Sciences,HRSC,,,HORT-SCIENCE,,HORT,,SCI,,BS,,2.0,,01110300
AGLS,,College Interdisciplinary,CLAG,,PLANT BREEDING,,,PLBR,,,,MS,,3.0,,01110400
AGLS,,College Interdisciplinary,CLAG,,PLANT BREEDING,,,PLBR,,,,PHD,,4.0,,01110400
AGLS,,College Interdisciplinary,CLAG,,PLANT PROTECTION,,,PPRO,,,,MAGR,,3.0,,01110500
AGLS,,Entomology,ENTO,,,ENTO-PEST MANAGEMENT (end 2003),,ENTO,,PMO,,BS,,2.0,,01110500
