Stdt ID,HW1 (/30),HW2 (/40),Exam1,exam2 bonus,14/4/2003,HW3 (/30),22/4/2003,28/4/2003,lecture 4,lecture 5,lec3a,lec3b,HW4 (/25),lec Q 5 (/10),rep 2 (/10),Final exam
2401961.0,17.0,30.0,35.0,1.0,0.0,16.0,1.0,1.0,1.0,,21.0,18.0,24.0,10.0,7.5,27.0
2293132.0,21.0,35.0,39.0,1.5,1.0,12.0,1.0,1.0,,,23.0,10.0,18.0,10.0,9.0,31.0
2608648.0,18.0,38.0,57.0,1.5,1.0,25.0,1.0,1.0,1.0,1.0,34.0,18.0,23.0,10.0,8.0,46.0
2261672.0,30.0,23.0,33.0,0.0,1.0,0.0,1.0,1.0,,,24.0,20.0,20.0,10.0,8.5,40.0
2606494.0,21.0,0.0,30.0,0.0,1.0,5.0,1.0,1.0,1.0,,,,14.0,9.0,9.0,30.0
2329278.0,30.0,40.0,50.0,0.5,1.0,15.0,1.0,1.0,1.0,1.0,35.0,18.0,23.0,8.0,8.5,69.0
2377263.0,13.0,33.0,60.0,0.0,1.0,12.0,1.0,1.0,1.0,1.0,15.0,,24.0,10.0,0.0,19.0
2139245.0,19.0,32.0,50.0,0.0,0.0,0.0,0.0,1.0,,,24.0,6.0,22.0,10.0,7.5,49.0
2302737.0,17.0,29.0,74.0,6.0,1.0,21.0,1.0,1.0,1.0,1.0,21.0,16.0,19.5,8.0,8.5,64.0
2302268.0,15.0,33.0,12.0,2.0,1.0,0.0,1.0,1.0,1.0,,29.0,16.0,23.0,10.0,8.0,80.0
135087.0,22.0,27.0,47.0,6.5,1.0,9.0,0.0,1.0,,,23.0,,21.0,7.0,0.0,36.0
2129290.0,20.0,36.0,39.0,1.0,1.0,0.0,1.0,0.0,,,33.0,20.0,21.0,10.0,8.5,37.0
2332988.0,13.0,23.0,43.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,13.0,18.0,21.0,0.0,0.0,45.0
2257487.0,25.0,32.0,72.0,5.0,0.0,15.0,1.0,1.0,,,32.0,20.0,20.5,10.0,8.5,50.0
98227577.0,,,,,,,,,,,,,,,,
2024141.0,17.0,30.0,49.0,1.5,1.0,11.0,1.0,1.0,1.0,1.0,,18.0,20.0,10.0,8.0,30.0
2471435.0,19.0,31.0,33.0,1.5,1.0,0.0,0.0,1.0,,,24.0,14.0,19.0,8.0,7.0,48.0
2323585.0,23.0,29.0,33.0,1.5,0.0,0.0,1.0,1.0,,,10.0,6.0,20.0,10.0,7.0,30.0
2323793.0,22.0,26.0,51.0,1.0,1.0,18.0,0.0,0.0,,,22.0,18.0,17.0,10.0,7.0,22.0
2191839.0,16.0,39.0,51.0,0.5,1.0,26.0,1.0,1.0,1.0,1.0,34.0,20.0,25.0,10.0,8.0,46.0
2461064.0,25.0,24.0,41.0,0.0,0.0,0.0,0.0,0.0,,,,,9.0,6.0,7.0,30.0
2274485.0,30.0,33.0,49.0,0.5,1.0,18.0,1.0,1.0,,,29.0,16.0,22.0,8.0,7.0,57.0
2327218.0,28.0,35.0,45.0,1.5,1.0,14.0,1.0,1.0,1.0,,23.0,18.0,16.0,10.0,0.0,44.0
2025676.0,16.0,23.0,44.0,0.0,0.0,0.0,1.0,1.0,,,17.0,15.0,19.0,6.0,7.5,50.0
2274459.0,30.0,40.0,74.0,0.0,1.0,12.0,1.0,1.0,1.0,1.0,30.0,18.0,17.0,6.0,8.5,49.0
2129331.0,17.0,32.0,35.0,0.0,1.0,12.0,1.0,1.0,,,35.0,18.0,24.0,10.0,7.5,63.0
2139300.0,17.0,32.0,33.0,5.0,1.0,16.0,1.0,1.0,1.0,1.0,,20.0,19.5,8.0,8.5,41.0
2399039.0,12.0,39.0,48.0,1.5,0.0,9.0,1.0,1.0,,,31.0,16.0,25.0,10.0,8.0,54.0
2293857.0,17.0,32.0,47.0,6.0,0.0,20.0,1.0,0.0,,,24.0,14.0,20.5,10.0,8.5,51.0
2004567.0,21.0,38.0,55.0,1.75,1.0,11.0,1.0,1.0,,1.0,35.0,19.0,25.0,10.0,9.0,28.0
2286567.0,15.0,36.0,42.0,1.5,1.0,14.0,1.0,1.0,,1.0,30.0,7.0,15.5,10.0,7.0,35.0
2270049.0,15.0,30.0,69.0,1.5,1.0,12.0,1.0,0.0,,,28.0,,23.0,8.0,7.0,66.0
2381800.0,29.0,31.0,45.0,1.75,0.0,19.0,0.0,0.0,,1.0,22.0,14.0,10.5,9.0,7.0,28.0
2086606.0,24.0,33.0,40.0,2.0,1.0,16.0,0.0,0.0,1.0,,30.0,14.0,16.0,8.0,7.0,35.0
2412312.0,20.0,33.0,22.0,2.0,1.0,11.0,1.0,1.0,,,25.0,10.0,22.0,10.0,9.0,40.0
2495194.0,13.0,38.0,44.0,0.0,0.0,11.0,1.0,0.0,1.0,1.0,,,18.0,0.0,0.0,38.0
2366123.0,26.0,40.0,50.0,1.75,1.0,22.0,1.0,1.0,1.0,1.0,35.0,20.0,25.0,10.0,8.5,66.0
2109836.0,15.0,36.0,28.0,1.5,0.0,15.0,1.0,1.0,,,31.0,20.0,14.5,10.0,7.0,36.0
2273390.0,21.0,37.0,62.0,1.75,1.0,21.0,1.0,1.0,1.0,1.0,31.0,20.0,23.0,10.0,9.0,85.0
2766103.0,22.0,30.0,35.0,5.0,1.0,13.0,1.0,1.0,,,25.0,16.0,20.0,6.0,0.0,87.0
2116815.0,25.0,37.0,69.0,1.5,1.0,13.0,1.0,1.0,,1.0,31.0,,24.0,10.0,7.5,44.0
2678239.0,21.0,40.0,19.0,0.5,1.0,12.0,0.0,1.0,,1.0,24.0,20.0,20.0,10.0,9.0,23.0
2334572.0,15.0,31.0,38.0,0.5,1.0,23.0,1.0,1.0,1.0,,31.0,15.0,22.5,10.0,7.0,60.0
2300595.0,15.0,31.0,77.0,0.5,1.0,13.0,0.0,1.0,1.0,,23.0,7.0,25.0,10.0,7.5,38.0
2074421.0,21.0,0.0,44.0,0.0,1.0,5.0,1.0,0.0,1.0,,,,10.0,7.0,7.0,24.0
2188741.0,19.0,31.0,38.0,0.0,0.0,5.0,1.0,0.0,,,,,12.0,10.0,9.0,24.0
2268474.0,15.0,30.0,57.0,2.0,1.0,14.0,1.0,1.0,,,35.0,16.0,24.0,8.0,7.5,44.0
2144020.0,23.0,31.0,32.0,0.5,1.0,11.0,0.0,1.0,1.0,,27.0,18.0,20.0,6.0,0.0,58.0
2328597.0,15.0,33.0,59.0,2.0,1.0,0.0,1.0,1.0,1.0,,31.0,18.0,24.0,10.0,8.0,39.0
2119116.0,20.0,37.0,36.0,0.25,1.0,12.0,0.0,1.0,,1.0,27.0,18.0,23.0,10.0,9.0,38.0
2600311.0,22.0,40.0,47.0,5.0,1.0,13.0,1.0,1.0,,,25.0,7.0,20.0,10.0,0.0,6.5
2303298.0,30.0,27.0,61.0,0.0,0.0,0.0,0.0,1.0,,,,10.0,19.0,3.0,8.5,54.0
2468452.0,22.0,35.0,33.0,0.5,1.0,15.0,1.0,0.0,,,24.0,8.0,23.0,10.0,0.0,62.0
2144692.0,30.0,38.0,79.0,1.0,1.0,0.0,0.0,1.0,,,35.0,10.0,24.0,10.0,8.5,47.0
2766555.0,22.0,33.0,32.0,6.0,1.0,11.0,1.0,1.0,,,25.0,9.0,23.0,6.0,0.0,48.0
2372316.0,15.0,34.0,47.0,0.5,1.0,15.0,1.0,1.0,1.0,1.0,25.0,15.0,20.5,10.0,7.0,62.0
2109288.0,13.0,22.0,70.0,2.0,1.0,0.0,0.0,0.0,,,30.0,,15.0,0.0,7.0,77.0
2375679.0,18.0,38.0,44.0,1.5,1.0,9.0,1.0,1.0,1.0,,30.0,14.0,23.0,4.0,8.0,36.0
2325387.0,22.0,37.0,47.0,1.0,1.0,15.0,0.0,1.0,,,28.0,16.0,25.0,10.0,0.0,64.0
2356269.0,24.0,38.0,30.0,1.0,1.0,14.0,1.0,1.0,,1.0,31.0,16.0,24.0,8.0,8.5,41.0
2261177.0,15.0,33.0,23.0,1.5,1.0,16.0,1.0,1.0,,,29.0,18.0,24.0,8.0,8.0,50.0
2359039.0,15.0,32.0,45.0,0.0,0.0,0.0,1.0,0.0,,,34.0,16.0,21.0,8.0,8.0,29.0
2389230.0,19.0,27.0,42.0,1.5,0.0,0.0,0.0,1.0,1.0,,22.0,14.0,20.0,6.0,7.0,57.0
2002791.0,15.0,31.0,40.0,1.25,1.0,0.0,1.0,1.0,1.0,,,16.0,15.0,6.0,7.5,27.0
2192522.0,13.0,34.0,42.0,0.0,1.0,0.0,1.0,1.0,,,,5.0,22.0,10.0,0.0,41.5
2336154.0,18.0,34.0,22.0,0.0,1.0,7.0,1.0,1.0,,,35.0,18.0,23.0,10.0,8.0,27.0
99650185.0,24.0,32.0,80.0,0.0,1.0,2.0,1.0,1.0,,,7.0,9.0,7.0,0.0,7.0,19.0
