col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29
User ID:,mbennet_pc,Please enter a valid User ID for ERMS/RUNM,,,,,,,,,,,,,,,,,,,,,,,,,,,
Password:,mbennet_pc,Please enter the Password for the User ID,,,,,,,,,,,,,,,,,,,,,,,,,,,
Database:,egsprod,"Database into which the curves will be loaded (ex: egsprod = ERMS Prod, egstest = ERMS Test, etc.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
Effective Dt:,2001-11-16 00:00:00,Enter today's Effective Dt,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29
,Effective Date,2001-11-16 00:00:00,2001-11-16 00:00:00,2001-11-16 00:00:00,2001-11-16 00:00:00,2001-11-16 00:00:00,2001-11-16 00:00:00,2001-11-16 00:00:00,2001-11-16 00:00:00,2001-11-16 00:00:00,2001-11-16 00:00:00,2001-11-16 00:00:00,2001-11-16 00:00:00,2001-11-16 00:00:00,2001-11-16 00:00:00,2001-11-16 00:00:00,2001-11-16 00:00:00,2001-11-16 00:00:00,2001-11-16 00:00:00,2001-11-16 00:00:00,2001-11-16 00:00:00,2001-11-16 00:00:00,2001-11-16 00:00:00,2001-11-16 00:00:00,2001-11-16 00:00:00,2001-11-16 00:00:00,2001-11-16 00:00:00,2001-11-16 00:00:00,2001-11-16 00:00:00
,Prompt Month,2001-12-01 00:00:00,2001-12-01 00:00:00,2001-12-01 00:00:00,2001-12-01 00:00:00,2001-12-01 00:00:00,2001-12-01 00:00:00,2001-12-01 00:00:00,2001-12-01 00:00:00,2001-12-01 00:00:00,2001-12-01 00:00:00,2001-12-01 00:00:00,2001-12-01 00:00:00,2001-12-01 00:00:00,2001-12-01 00:00:00,2001-12-01 00:00:00,2001-12-01 00:00:00,2001-12-01 00:00:00,2001-12-01 00:00:00,2001-12-01 00:00:00,2001-12-01 00:00:00,2001-12-01 00:00:00,2001-12-01 00:00:00,2001-12-01 00:00:00,2001-12-01 00:00:00,2001-12-01 00:00:00,2001-12-01 00:00:00,2001-12-01 00:00:00,2001-12-01 00:00:00
,Curve Code,IF-HEHUB,NGI-PGE/CG,NGI-MALIN,NGI-SOCAL,IF-NWPL_ROCKY_M,NW-STANFIELD,IF-ELPO/SJ,IF-WAHA-TX,IF-NTHWST/CANBR,CGPR-AECO/BASIS,IF-CIG/RKYMTN,IF-NGPL/MIDCON,NGI-PGE/TOPOCK,IF-ELPO/PERMIAN,GDP-HEHUB,GD-PG&E/CITIGAT,GDP-MALIN-CTYGA,GDP-CAL BORDER,GDP-KERN/OPAL,GD-NW STANFIELD,GDP-ELPO/SANJUA,GDP-WAHA,GDP-NTHWST/CANB,GD-AECOUSD-DAIL,GDP-CIG/RKYMTN,GDP-NGPL/OK,GDP-PGE/TOPOCK,GDP-ELPO/PERM2
,Curve Type,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR
,Book Code 1,I,I,I,I,I,I,I,I,I,I,I,I,I,I,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
