Start,End,Length,Description,Type,AASWD
1,11,11,STUDENT-NAME-LAST,alpha or blank,
12,19,8,STUDENT-NAME-FIRST,alpha or blank,
20,20,1,STUDENT-NAME-MI,alpha or blank,
21,29,9,District Student ID (DSID),alphanumeric or blank,
30,31,2,Exam Grade,alphanumeric,"03, 04, 05, 06, 07, 08, GR"
32,32,1,Assessment Type,alpha,A
33,37,5,filler,,
38,39,2,Birth Month,numeric or blank,"01, 02,..., 12"
40,41,2,Birth Day,numeric or blank,"01, 02,..., 31"
42,45,4,Birth Year,numeric or blank,CCYY Format
46,47,2,Enrolled Grade,numeric or blank,"22=Kindergarten, 01, 02, …. 13=Adult HS, 14=OGT Only, blank=missing/unknown"
48,48,1,Gender,alpha or blank,F=Female
,,,,,M=Male
,,,,,blank=unknown
49,49,1,Ethnicity,numeric or blank,1=American Indian
,,,,,2=Asian/Pacific Islander
,,,,,3=Black/African American
,,,,,4=Hispanic
,,,,,5=White
,,,,,6=Multi-Racial
,,,,,7=Other
,,,,,Blank=Unknown
50,58,9,filler,,
59,78,20,Attending District Name,alpha,
79,84,6,Attending District IRN,numeric,
85,104,20,Attending School Name,alpha,
105,110,6,Attending School IRN,numeric,
111,112,2,Test Month,numeric,MM
113,114,2,Test Day,numeric or blank,DD
115,118,4,Test Year,numeric,CCYY format
119,123,5,Homeroom ID,alphanumeric or blank,
124,125,2,filler,,
126,126,1,Migrant Student,alpha or blank,Y=Yes
,,,,,Blank=Not Indicated
127,127,1,IEP-Writing,alpha or blank,Y=Yes
,,,,,Blank=Not Indicated
128,128,1,IEP-Reading,alpha or blank,Y=Yes
,,,,,Blank=Not Indicated
129,129,1,IEP-Mathematics,alpha or blank,Y=Yes
,,,,,Blank=Not Indicated
130,130,1,IEP-Social Studies,alpha or blank,Y=Yes
,,,,,Blank=Not Indicated
131,131,1,IEP-Science,alpha or blank,Y=Yes
,,,,,Blank=Not Indicated
132,132,1,LEP Identified,alpha or blank,Y=Yes
,,,,,Blank=Not Indicated
