col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18
,1. . . Construction Finance ;,1.1 . . . Construction of dwellings for rent/resale ;,2. . . Purchase of real property ;,2.1.1 . . . Dwellings for rent/resale (by Individuals) ;,2.1.2 . . . Dwellings for rent/resale (by Other) ;,3. . . Wholesale Finance ;,4. . . Plant and Equipment ;,4.1 . . . Motor vehicles ;,4.2 . . . Other ;,5. . . Refinancing ;,6. . . Other (incl Wholesale Finance) ;,TOTAL FIXED LOANS ;,Fixed loan commitments not drawn at end of month ;,Revolving Credit - NEW & INCREASED LIMITS ;,Revolving Credit - total credit limits at end of month ;,Revolving Credit - used at end of month ;,Revolving Credit - cancellations and reductions ;,TOTAL COMMERCIAL FINANCE ;
Unit,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000,$'000
Series Type,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original
Data Type,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW
Frequency,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month
Collection Month,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Series Start,1985-01-01 00:00:00,1985-01-01 00:00:00,1985-01-01 00:00:00,1985-01-01 00:00:00,1985-01-01 00:00:00,1985-01-01 00:00:00,1985-01-01 00:00:00,1985-01-01 00:00:00,1985-01-01 00:00:00,1985-01-01 00:00:00,1985-01-01 00:00:00,1985-01-01 00:00:00,1985-01-01 00:00:00,1985-01-01 00:00:00,1985-01-01 00:00:00,1985-01-01 00:00:00,1985-01-01 00:00:00,1985-01-01 00:00:00
Series End,2009-02-01 00:00:00,2009-02-01 00:00:00,2009-02-01 00:00:00,2009-02-01 00:00:00,2009-02-01 00:00:00,2009-02-01 00:00:00,2009-02-01 00:00:00,2009-02-01 00:00:00,2009-02-01 00:00:00,2009-02-01 00:00:00,2009-02-01 00:00:00,2009-02-01 00:00:00,2009-02-01 00:00:00,2009-02-01 00:00:00,2009-02-01 00:00:00,2009-02-01 00:00:00,2009-02-01 00:00:00,2009-02-01 00:00:00
No. Obs,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290,290
Series ID,A2414114R,A2493551K,A2414115T,A2414116V,A2414117W,A2414118X,A2414119A,A2414120K,A2414121L,A2414122R,A2414123T,A2414124V,A2414125W,A2414126X,A2414127A,A2414128C,A2414129F,A2414130R
1985-01-01 00:00:00,1521,147,,,1273,65,914,597,317,1613,,9954,22179,5296,217705,114716,7798,15250
1985-02-01 00:00:00,1660,688,,,1838,162,889,471,418,477,,8593,21334,7090,221977,126512,2818,15683
1985-03-01 00:00:00,2805,769,,,902,214,1053,717,336,545,,11106,27813,5806,225890,131794,1893,16912
1985-04-01 00:00:00,3974,2280,,,1385,10,1623,1073,550,2880,,17013,33203,9698,230255,133557,5333,26711
1985-05-01 00:00:00,4601,1279,,,1853,323,2130,1075,1055,1980,,14595,22616,8190,230828,142880,8712,22785
1985-06-01 00:00:00,2476,1324,,,1351,60,1412,681,731,602,,10885,29224,7907,234011,143060,4724,18792
1985-07-01 00:00:00,1454,871,,,383,264,1673,877,796,2697,,8972,27278,8571,236641,147507,5941,17543
1985-08-01 00:00:00,866,395,,,180,222,1653,910,743,714,,9653,28814,12581,299193,154440,-49971,22234
1985-09-01 00:00:00,3231,579,,,305,694,2298,1063,1235,512,,10162,25891,5302,268044,125243,36451,15464
1985-10-01 00:00:00,1009,577,,,767,235,1828,1166,662,1069,,11312,22106,5646,267174,134300,6516,16958
1985-11-01 00:00:00,1967,489,,,282,282,1707,1007,700,283,,8162,20130,7146,268944,140017,5376,15308
1985-12-01 00:00:00,4043,583,,,675,290,1739,759,980,600,,14289,23187,6040,268578,136334,6406,20329
1986-01-01 00:00:00,4035,846,,,942,316,1333,638,695,700,,15705,20241,9889,271563,136160,6904,25594
1986-02-01 00:00:00,5038,2915,,,337,245,930,372,558,2101,,15488,21480,15197,286900,149139,-140,30685
1986-03-01 00:00:00,2766,1229,,,937,750,1542,757,785,1346,,14744,24612,14404,292531,164625,8773,29148
1986-04-01 00:00:00,6012,4795,,,1270,400,2081,665,1416,1865,,17426,12344,32660,319977,193181,5214,50086
1986-05-01 00:00:00,3852,3141,,,1055,696,1488,855,633,2703,,16716,18217,15891,334129,196030,1739,32607
1986-06-01 00:00:00,4533,1727,,,460,576,2784,1194,1590,550,,13590,7958,20263,346208,210291,8184,33853
1986-07-01 00:00:00,1924,1144,,,1355,671,1682,755,927,3492,,13333,7168,14838,334580,246394,26466,28171
1986-08-01 00:00:00,2360,1584,,,1254,495,596,281,315,642,,7982,7458,16082,343395,258943,7267,24064
1986-09-01 00:00:00,4444,3325,,,523,101,1389,830,559,1938,,11501,13065,11477,351977,260658,2895,22978
1986-10-01 00:00:00,3551,2452,,,830,1753,2073,1265,808,4312,,20131,8483,26454,362399,269167,16032,46585
1986-11-01 00:00:00,1779,746,,,894,188,1313,555,758,1067,,10720,27651,10929,356583,272740,16745,21649
1986-12-01 00:00:00,6476,5833,,,2861,388,1201,654,547,2406,,18439,26288,10322,358959,279820,7946,28761
1987-01-01 00:00:00,2136,1630,,,2431,52,1181,647,534,316,,8534,32145,8500,316787,247146,48672,17034
1987-02-01 00:00:00,5106,4165,,,286,728,1004,384,620,1739,,12551,37350,13106,316614,253737,13279,25657
1987-03-01 00:00:00,4772,4256,,,1528,721,978,603,375,895,,13598,20580,37158,336634,251056,17138,50756
1987-04-01 00:00:00,2567,1685,,,1785,640,1794,862,932,1833,,13021,24879,15483,342256,257808,9861,28504
1987-05-01 00:00:00,1107,890,,,440,639,780,453,327,435,,8115,22022,21650,359394,270114,4512,29765
1987-06-01 00:00:00,5550,4665,,,948,864,1919,1134,785,3063,,21613,25024,36335,396157,293245,-428,57948
1987-07-01 00:00:00,1668,783,,,1333,668,1332,489,843,754,,8940,19814,23772,412295,320860,7634,32712
1987-08-01 00:00:00,5085,3316,,,3104,2666,1518,797,721,1576,,21121,15960,15265,415625,293267,11935,36386
1987-09-01 00:00:00,1399,489,,,1038,85,2389,932,1457,2077,,10725,17301,16086,509341,301582,-64333,26811
1987-10-01 00:00:00,3051,329,,,625,192,1447,709,738,2555,,10782,11634,23403,520954,316671,2388,34185
1987-11-01 00:00:00,2201,906,,,935,209,2052,1007,1045,1917,,11477,13077,23074,516182,315140,28793,34551
1987-12-01 00:00:00,2565,321,,,844,422,1039,660,379,1194,,13449,13138,18798,499590,317728,33890,32247
1988-01-01 00:00:00,468,359,,,130,235,1552,774,778,1727,,9567,11830,51290,556143,357400,-5913,60857
1988-02-01 00:00:00,1035,573,,,544,76,1046,444,602,1746,,8375,11388,21630,566560,364801,11213,30005
1988-03-01 00:00:00,474,313,,,2003,737,1458,636,822,3064,,14603,17863,19951,513557,360558,72954,34554
1988-04-01 00:00:00,638,207,,,1934,805,2370,975,1395,1144,,14718,12935,20382,527814,392174,6125,35100
1988-05-01 00:00:00,2007,1002,,,1617,717,1590,782,808,2283,,14663,14649,11529,534825,404428,4518,26192
1988-06-01 00:00:00,832,303,,,6340,789,1790,1063,727,2494,,18364,12825,19331,541073,400933,13083,37695
1988-07-01 00:00:00,1504,257,,,1225,651,2404,1068,1336,670,,13935,11784,13541,534024,398744,20590,27476
1988-08-01 00:00:00,2523,1233,,,1807,199,2306,1182,1124,1712,,12176,10281,24081,539358,395944,18747,36257
1988-09-01 00:00:00,1287,401,,,1672,349,1588,870,718,1409,,14101,10794,13131,547524,395621,4965,27232
1988-10-01 00:00:00,599,81,,,2274,212,2351,856,1495,1881,,21447,9350,10004,549669,408810,7859,31451
1988-11-01 00:00:00,3467,190,,,2727,352,1561,583,978,1474,,15499,10457,21680,546353,412744,24996,37179
1988-12-01 00:00:00,816,199,,,1669,634,1529,497,1032,647,,12549,10483,7590,547989,412261,5954,20139
1989-01-01 00:00:00,841,698,,,1443,306,1749,701,1048,335,,11312,12374,10655,553175,410991,5469,21967
1989-02-01 00:00:00,836,564,,,1252,593,1459,542,917,1177,,11291,10494,11807,546421,418339,18561,23098
1989-03-01 00:00:00,618,415,,,3287,124,3294,1899,1395,1891,,14874,11394,16856,554409,413285,8868,31730
1989-04-01 00:00:00,1539,597,,,1217,532,2067,1035,1032,3541,,15813,14534,8085,538806,405700,23688,23898
1989-05-01 00:00:00,1666,344,,,2854,491,1318,1071,247,2541,,20821,8688,12463,541775,404242,9494,33284
1989-06-01 00:00:00,659,348,,,3195,21,1445,763,682,1448,,16461,13575,15486,537580,379190,19681,31947
1989-07-01 00:00:00,1689,349,,,858,573,1593,721,872,1215,,8472,9152,14044,551358,381463,267,22516
1989-08-01 00:00:00,2796,65,,,3082,490,2421,659,1762,2300,,15339,8483,9144,526033,352384,42590,24483
1989-09-01 00:00:00,2947,198,,,1639,127,1233,439,794,1881,,12228,6747,13333,532088,341677,7278,25561
1989-10-01 00:00:00,939,146,,,2083,152,1736,897,839,1065,,8301,8414,38503,565796,334935,4795,46804
1989-11-01 00:00:00,564,278,,,1956,150,1631,970,661,6348,,13671,9391,10879,561010,323383,15666,24550
1989-12-01 00:00:00,4584,340,,,1061,35,1760,868,892,1383,,11534,11911,4095,569305,315655,-4200,15629
1990-01-01 00:00:00,811,712,,,2774,50,1129,278,851,1392,,7981,9151,13978,561865,327960,21418,21959
1990-02-01 00:00:00,229,174,,,1981,38,1600,998,602,842,,6460,6855,15066,554283,317858,21108,21526
1990-03-01 00:00:00,328,100,,,1650,3550,2011,1090,921,1365,,12267,6619,21618,561247,324677,14654,33885
1990-04-01 00:00:00,235,65,,,2169,1,2046,1149,897,9372,,16426,6498,21323,553554,322445,29016,37749
1990-05-01 00:00:00,545,310,,,2275,1100,2663,1426,1237,9449,,20110,8087,19439,566274,337611,6719,39549
1990-06-01 00:00:00,585,311,,,2002,925,1965,1285,680,7613,,16335,6531,18856,574023,333535,11107,35191
1990-07-01 00:00:00,3474,69,,,1835,784,1680,926,754,3404,,13393,4080,14205,568466,329918,19762,27598
1990-08-01 00:00:00,958,868,,,2559,1246,1552,522,1030,3052,,13211,3915,20440,582183,331733,6723,33651
1990-09-01 00:00:00,293,118,,,2669,2172,1562,925,637,2423,,13319,5467,15040,570593,366061,8349,28359
1990-10-01 00:00:00,2379,417,,,3174,1012,1066,660,406,1996,,12768,6857,12239,571676,341861,12174,25007
1990-11-01 00:00:00,1631,152,,,2523,1278,1769,882,887,3922,,14182,6755,13464,578474,359232,7010,27646
1990-12-01 00:00:00,1094,1094,,,1800,413,1381,792,589,1248,,10534,7547,8223,577824,330674,8701,18757
1991-01-01 00:00:00,618,339,,,2669,613,1113,689,424,1695,,9383,13719,7715,559270,325709,26269,17098
1991-02-01 00:00:00,813,583,,,2688,1400,1507,984,523,5412,,18344,8154,38214,591693,342426,5791,56558
1991-03-01 00:00:00,209,194,,,3391,1426,2177,1516,661,3168,,13974,8969,9906,592694,351668,8908,23880
1991-04-01 00:00:00,980,566,,,3872,1252,2186,1148,1038,6624,,24828,7839,13414,577686,334713,27601,38242
1991-05-01 00:00:00,276,48,,,5080,1697,3547,1559,1988,823,,15076,8321,9161,530463,328373,56384,24237
1991-06-01 00:00:00,417,120,,,2147,1512,1907,930,977,2100,,10092,9323,14634,544298,336096,1592,24726
1991-07-01 00:00:00,2198,236,9189,2365,2526,1765,3454,2042,1412,1746,6665,23252,10836,10590,491221,287306,74003,33842
1991-08-01 00:00:00,1256,849,7794,893,2166,582,2178,859,1319,1867,2217,15312,14006,13482,533481,296787,15067,28794
1991-09-01 00:00:00,301,47,5720,963,2870,1711,3989,1824,2165,877,4742,15629,10815,7603,523191,297587,16609,23232
1991-10-01 00:00:00,1045,428,6515,3005,2494,1257,2301,1391,910,14531,3527,27919,11727,12897,534681,305180,5836,40816
1991-11-01 00:00:00,782,644,6509,2827,1922,1973,2792,980,1812,1120,5834,17037,12909,7640,535493,318075,7411,24677
1991-12-01 00:00:00,415,80,4290,1239,1658,1200,2535,1386,1149,647,2818,10705,26482,10105,510353,295432,31934,20810
1992-01-01 00:00:00,1016,425,3465,775,1460,1403,1494,744,750,483,4128,10586,18944,10367,506007,282884,14713,20953
1992-02-01 00:00:00,571,210,6019,1943,952,1187,1261,749,512,581,3100,11532,17694,17780,485049,292941,37046,29312
1992-03-01 00:00:00,648,632,8045,3493,2809,1754,2457,1281,1176,2804,5400,19354,20008,15197,472223,297203,29465,34551
1992-04-01 00:00:00,492,317,7144,3029,1787,1331,2572,1623,949,1038,3427,14673,12899,14824,476195,345502,8735,29497
1992-05-01 00:00:00,1056,869,6641,2752,1643,1835,3060,1492,1568,1770,7323,19850,10983,18753,464822,334330,27435,38603
1992-06-01 00:00:00,1971,932,6668,3323,1771,1039,3883,2533,1350,5140,5996,23658,13206,21547,461840,328979,21593,45205
1992-07-01 00:00:00,1200,203,10368,5294,2507,1808,2438,1700,738,3655,4554,22215,15333,22990,450971,327390,15770,45205
1992-08-01 00:00:00,1058,514,9389,4178,3248,1974,2828,2039,789,2515,5664,21454,17324,19645,465515,335346,12884,41099
1992-09-01 00:00:00,272,20,7145,3622,2258,1877,2183,1539,644,2218,4961,16779,17120,11195,453992,333711,17108,27974
1992-10-01 00:00:00,1329,1003,7875,4169,2525,1675,3397,1895,1502,1166,5859,19626,16844,6596,452005,329072,8583,26222
1992-11-01 00:00:00,451,148,8779,3707,3430,2759,2240,1547,693,1242,4170,16882,41739,5820,433681,328179,24144,22702
1992-12-01 00:00:00,1385,178,10079,3193,4402,1900,2369,1512,857,3008,4010,20851,13366,11620,435310,321495,9996,32471
1993-01-01 00:00:00,113,93,6003,3385,2311,2160,1728,1293,435,1147,6150,15141,13931,5754,436937,305062,5683,20895
1993-02-01 00:00:00,356,81,9626,4452,4051,1497,2152,938,1214,3505,3887,19526,13915,13442,433226,312979,17282,32968
1993-03-01 00:00:00,1777,1001,12999,5527,6311,4349,2583,849,1734,3152,7776,28287,14671,20161,427356,330506,26031,48448
1993-04-01 00:00:00,1141,661,9025,4570,3823,2434,3217,2245,972,799,4711,18893,12708,5553,404374,329130,5753,24446
1993-05-01 00:00:00,1029,385,10069,4395,3676,2807,3576,2888,688,1393,5665,21732,13221,10320,405622,308350,9172,32052
1993-06-01 00:00:00,1777,1166,10426,4471,3603,2726,7369,5453,1916,1936,5525,27033,15080,13616,409257,324141,10255,40649
1993-07-01 00:00:00,898,493,9068,3690,4865,2076,4232,2633,1599,673,7571,22442,15134,9932,421859,326319,6884,32374
1993-08-01 00:00:00,2224,843,10922,5770,3488,2052,3816,2040,1776,4083,3755,24800,17767,17780,420828,342262,15459,42580
1993-09-01 00:00:00,1658,1354,13786,7166,4319,1798,3267,1622,1645,3762,5588,28061,21127,14559,411600,353890,23814,42620
1993-10-01 00:00:00,1780,1234,8861,5154,2272,2973,3662,1294,2368,1098,4983,20384,24390,6134,407330,350024,10360,26518
