col_0,col_1
Challenges of value-added data component,52
"Desire for MDE support:  communication, models, training, etc.",40
Financial burden of unfunded mandate,39
Flexibility in plan development & implementation; local control,31
"Keep plan simple, feasible, realistic, reasonable, manageable",27
Amount of time to implement,13
"Unique schools:  small, rural, charter, intermediate, itinerant staff",12
"Plan is research-based, appropriately measures all staff, & tied to PD",11
Timeline & legislative feedback for initial implementation,10
Difficulty of juggling all responsibilities & required mandates,5
