FALL SEMESTER 2007,,,- 69 Class Days Per Semester -,SPRING SEMESTER 2008,,
"Aug. 7,",Tue.,,Deadline for Readmission,,"Dec. 21,",Fri.
,,,INTERSESSION,,Jan.2-12,
"Aug. 17,",Fri.,,International Student Orientation Begins,,"Jan. 8,",Tue.
"Aug. 18,",Sat.,,Housing Available for Students/Orientation Begins,,"Jan. 9,",Wed.
"Aug. 22,",Wed.,,CLASSES BEGIN,,"Jan. 14,",Mon.
"Aug. 23,",Thu.,,Late Registration Fees in Effect,,"Jan. 15,",Tue.
,,,"HOLIDAY (MARTIN LUTHER KING, JR. DAY)",,"Jan. 21,",Mon.
"Aug. 31,",Fri.,,Last Day for Registration and to Add a Course,,"Jan. 23,",Wed.
"Sept. 3,",Mon.,,HOLIDAY (LABOR DAY),,,
"Sept. 7,",Fri.,,"Last Day to Drop a Course Without a ""W""",,"Jan. 30,",Wed.
"Sept. 7,",Fri.,,Last Day to Make a Change in Credit-Only Designation,,"Jan. 30,",Wed.
"Sept. 18,",Tue.,,Last Day to Apply for Graduation,,"Feb. 8,",Fri.
"Sept. 24,",Mon.,,Prestigious Fellowships/Scholarships Due in Honors Program Office,,,
"Oct. 3,",Wed.,,Academic Alert Grades Due in EASY,,"Feb. 25,",Mon.
TBA,,,<FALL RECESS>,,,
,,,<SPRING RECESS/ INTERSESSION >,,Mar. 8-16,
"Oct. 22,",Mon.,,Registration Appointments Available on EASY,,"Mar. 24,",Mon.
"Oct. 25,",Thu.,,Last Day to Drop a Course,,"Mar. 24,",Mon.
"Nov. 5,",Mon.,,Registration for Spring 2008* (Begins),,,
,,,Registration for Fall Semester 2008 & Summer 2008* (Begins),,"Apr. 7,",Mon.
"Nov. 16,",Fri.,,Magna/Summa Theses Due in Honors Program Office,,"Apr. 11,",Fri.
Nov. 22-25,,,<THANKSGIVING RECESS>,,,
"Nov. 26,",Mon.,,Theses/Dissertations Due in Graduate School Office,,"Apr. 18,",Fri.
"Nov. 30,",Fri.,,(11:00 PM) CLASSES END  (11:00 PM),,"Apr. 25,",Fri.
Dec.1-4,,,Reading Days,,Apr. 26-29,
Dec. 5 -Dec. 12,,,FINAL EXAMS,,Apr. 30-May 8,
,,,Honors Day Convocation (Spring),,TBA,Thu.
"Dec. 12,",Wed.,,(11:00 PM) SEMESTER ENDS (11:00 PM),,"May 8,",Thu.
TBA,,,FALL COMMENCEMENT EXERCISES,,,
,,,SPRING COMMENCEMENT EXERCISES,,TBA,
"Dec. 13,",Thu.,,Housing Closes at NOON for Non-Commencement Participants,,"May 9,",Fri.
"Dec. 14,",Fri.,,Housing Closes at NOON for Commencement Participants,,"May 10,",Sat.
"Dec. 17,",Mon.,,Final Grades Released by Faculty in EASY by 5 p.m.,,"May 12,",Mon.
"Dec. 20,",Mon.,,Final Grades Available to Students in EASY,,"May 15,",Thu.
