Date,Open,High,Low,Close,Volume
2014-04-24,1.18,1.21,1.17,1.21,26917.0
2014-04-23,1.18,1.19,1.16,1.19,36172.0
2014-04-22,1.18,1.2,1.15,1.2,38389.0
2014-04-21,1.11,1.17,1.1,1.15,76373.0
2014-04-17,1.14,1.16,1.11,1.13,43986.0
2014-04-16,1.122,1.18,1.1,1.17,31772.0
2014-04-15,1.19,1.2,1.13,1.15,95065.0
2014-04-14,1.15,1.23,1.12,1.23,42563.0
2014-04-11,1.15,1.2,1.13,1.13,85955.0
2014-04-10,1.23,1.23,1.2,1.2,99316.0
2014-04-09,1.14,1.21,1.12,1.21,39910.0
2014-04-08,1.17,1.18,1.14,1.14,45991.0
2014-04-07,1.22,1.25,1.12,1.16,91696.0
2014-04-04,1.19,1.25,1.16,1.22,71668.0
2014-04-03,1.28,1.34,1.16,1.16,157922.0
2014-04-02,1.1,1.35,1.09,1.25,298177.0
2014-04-01,1.15,1.16,1.05,1.09,151205.0
2014-03-28,1.09,1.14,1.06,1.11,96808.0
2014-03-27,1.05,1.09,1.02,1.07,219374.0
2014-03-26,1.2,1.23,1.07,1.085,214805.0
2014-03-25,1.3,1.33,1.2,1.21,162561.0
2014-03-24,1.38,1.38,1.2,1.26,269512.0
2014-03-21,1.37,1.41,1.33,1.38,69534.0
2014-03-20,1.35,1.38,1.3,1.3,150411.0
2014-03-19,1.4,1.43,1.36,1.37,88487.0
2014-03-18,1.49,1.49,1.39,1.43,128396.0
2014-03-17,1.36,1.42,1.32,1.406,203920.0
2014-03-14,1.41,1.44,1.12,1.29,828925.0
2014-03-13,1.599,1.6,1.35,1.37,215841.0
2014-03-12,1.65,1.65,1.41,1.45,269711.0
2014-03-11,1.51,1.63,1.463,1.5,307398.0
2014-03-10,1.68,1.74,1.41,1.42,399426.0
2014-03-07,1.74,1.74,1.6,1.68,342427.0
2014-03-06,1.6,1.8,1.6,1.73,568639.0
2014-03-05,1.5,1.62,1.47,1.599,652742.0
2014-03-04,1.5,1.5,1.4,1.46,159237.0
2014-03-03,1.44,1.52,1.39,1.5,269574.0
2014-02-26,1.19,1.193,1.13,1.15,96629.0
2014-02-25,1.19,1.2,1.14,1.19,99007.0
2014-02-24,1.24,1.24,1.15,1.18,248304.0
2014-02-21,1.24,1.24,1.13,1.18,213516.0
2014-02-20,1.19,1.24,1.1,1.24,194392.0
2014-02-19,1.25,1.28,1.16,1.18,258429.0
2014-02-18,1.31,1.34,1.25,1.31,660159.0
2014-02-14,1.0,1.412,1.0,1.2,954821.0
2014-02-13,0.99,1.02,0.96,0.96,114278.0
2014-02-12,1.02,1.03,0.98,0.99,129900.0
2014-02-11,0.91,1.05,0.91,0.97,200041.0
2014-02-10,0.95,0.95,0.864,0.888,126706.0
2014-02-07,0.88,0.909,0.83,0.853,98074.0
2014-02-06,0.88,0.88,0.84,0.85,81107.0
2014-02-05,0.85,0.85,0.79,0.798,212159.0
2014-02-04,0.87,0.87,0.77,0.773,112056.0
2014-02-03,0.86,0.92,0.8,0.821,259676.0
2014-01-31,0.75,0.86,0.75,0.766,483394.0
2014-01-30,0.68,0.81,0.66,0.682,85429.0
2014-01-29,0.69,0.69,0.639,0.65,44348.0
2014-01-28,0.69,0.69,0.665,0.67,22306.0
2014-01-27,0.75,0.79,0.7,0.7,47545.0
2014-01-24,0.81,0.81,0.75,0.75,27688.0
2014-01-23,0.76,0.844,0.749,0.8,97706.0
2014-01-22,0.66,0.851,0.636,0.8,189195.0
2014-01-21,0.59,0.685,0.59,0.67,239594.0
2014-01-17,0.59,0.61,0.59,0.61,21799.0
2014-01-16,0.61,0.62,0.59,0.62,50272.0
2014-01-15,0.64,0.64,0.6,0.6,28007.0
2014-01-14,0.64,0.64,0.61,0.61,4540.0
2014-01-13,0.648,0.648,0.631,0.639,18877.0
2014-01-10,0.648,0.648,0.6,0.62,27062.0
2014-01-09,0.65,0.65,0.648,0.648,15149.0
2014-01-08,0.65,0.65,0.62,0.64,23502.0
2014-01-07,0.65,0.65,0.64,0.65,8239.0
2014-01-06,0.65,0.666,0.63,0.64,11073.0
2014-01-03,0.65,0.67,0.65,0.66,34339.0
2014-01-02,0.64,0.658,0.61,0.658,107420.0
2013-12-31,0.56,0.61,0.56,0.6,38928.0
2013-12-30,0.6,0.6,0.56,0.566,24889.0
2013-12-27,0.59,0.62,0.58,0.61,23431.0
2013-12-26,0.56,0.59,0.56,0.58,23386.0
2013-12-24,0.57,0.581,0.57,0.57,13796.0
2013-12-23,0.58,0.59,0.56,0.58,18356.0
2013-12-20,0.559,0.58,0.55,0.57,25461.0
2013-12-19,0.55,0.585,0.55,0.58,16150.0
2013-12-18,0.62,0.62,0.55,0.58,24608.0
2013-12-17,0.61,0.61,0.579,0.59,6688.0
2013-12-16,0.54,0.6,0.54,0.6,33866.0
2013-12-13,0.61,0.61,0.55,0.56,13080.0
2013-12-12,0.521,0.59,0.51,0.58,62585.0
2013-12-11,0.64,0.64,0.572,0.59,49500.0
2013-12-10,0.58,0.62,0.56,0.61,137438.0
2013-12-09,0.57,0.57,0.54,0.55,43336.0
2013-12-06,0.54,0.54,0.53,0.53,10806.0
2013-12-05,0.535,0.55,0.535,0.54,40271.0
2013-12-04,0.55,0.55,0.535,0.54,7000.0
2013-12-03,0.53,0.548,0.53,0.535,26201.0
2013-12-02,0.545,0.55,0.535,0.535,8400.0
2013-11-29,0.53,0.55,0.53,0.547,25500.0
2013-11-27,0.54,0.54,0.52,0.53,21930.0
2013-11-26,0.488,0.57,0.48,0.53,50316.0
2013-11-25,0.5,0.528,0.5,0.5,94563.0
2013-11-22,0.53,0.54,0.51,0.524,12330.0
2013-11-21,0.5,0.529,0.5,0.525,16458.0
2013-11-20,0.535,0.54,0.5,0.502,98667.0
2013-11-19,0.53,0.54,0.53,0.537,10935.0
2013-11-18,0.54,0.55,0.53,0.53,5300.0
2013-11-15,0.53,0.55,0.53,0.53,21120.0
2013-11-14,0.53,0.56,0.53,0.56,20650.0
2013-11-13,0.56,0.56,0.54,0.55,34011.0
2013-11-12,0.547,0.565,0.53,0.53,22090.0
2013-11-11,0.55,0.565,0.55,0.56,5450.0
2013-11-08,0.52,0.54,0.52,0.54,11619.0
2013-11-07,0.55,0.56,0.52,0.55,49300.0
2013-11-06,0.56,0.565,0.52,0.56,27900.0
2013-11-05,0.58,0.59,0.56,0.57,32503.0
2013-11-04,0.57,0.6,0.57,0.6,10800.0
2013-11-01,0.6,0.6,0.594,0.6,4400.0
2013-10-31,0.63,0.64,0.6,0.6,50850.0
2013-10-30,0.6,0.6,0.59,0.6,8125.0
2013-10-29,0.62,0.64,0.57,0.582,15200.0
2013-10-28,0.58,0.68,0.56,0.58,51604.0
2013-10-25,0.6,0.61,0.581,0.61,30773.0
2013-10-24,0.62,0.62,0.6,0.61,10300.0
2013-10-23,0.65,0.66,0.61,0.63,4960.0
2013-10-22,0.69,0.69,0.61,0.63,30468.0
2013-10-21,0.58,0.68,0.58,0.65,73220.0
2013-10-18,0.57,0.59,0.55,0.57,23400.0
