,Contributions  2000,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,Pledges  2012,2013.0,2014.0,2015.0,2016-2031,2011-2015 unallocated Matching Fund,Grand Total
Absolute Return for Kids (ARK),,,,,,,,,,,,,1.5988998,1.5988,,,,,3.1976998
Matching Fund,,,,,,,,,,,,,1.5988998,1.5988,,,,,3.1976998
Anglo American plc,,,,,,,,,,,,1.0,1,1.0,,,,,3
Matching Fund,,,,,,,,,,,,1.0,1,1.0,,,,,3
Australia,,,,,,,5.0,5.0,5.0,5.0,8.6,51.79041493,83.02649999999998,88.20899999999999,5.121,14.8509,222.76349999999996,,494.36131492999993
Direct Contribution,,,,,,,5.0,5.0,5.0,5.0,8.6,48.844,77.90549999999999,83.088,,,,,238.43749999999997
IFFIm,,,,,,,,,,,,2.94641493,5.121,5.121,5.121,14.8509,222.76349999999996,,255.92381492999996
Bill & Melinda Gates Foundation,325,425.0,,3.5,5.0,154.338,,75.0,75.0,85.0,85.0,227.154651,276.43102,270.8994,250.0,267.0,,38.514929,2562.8379999999997
Matching Fund,,,,,,,,,,,,3.054651,7.6310199999999995,0.7994,,,,38.514929,50
Direct Contribution,325,425.0,,3.5,5.0,154.338,,75.0,75.0,75.0,75.0,214.1,258.8,260.1,250.0,267.0,,,2462.8379999999997
AMC,,,,,,,,,,10.0,10.0,10.0,10,10.0,,,,,50
Brazil,,,,,,,,,,,,,1,1.0,1.0,1.0,16,,20
IFFIm,,,,,,,,,,,,,1,1.0,1.0,1.0,16,,20
Canada,,,1.880356,4.755421,9.062734,130.868641,5.190311,,,105.297577,19.768596,44.592553835,41.910371749624204,27.65197206240606,16.616562157969717,10.028999999999998,,,417.62409580499997
Direct Contribution,,,1.880356,4.755421,9.062734,130.868641,5.190311,,,,,20.736133,15.043499999999998,10.028999999999998,10.028999999999998,10.028999999999998,,,217.62409599999998
AMC,,,,,,,,,,105.297577,19.768596,23.856420835,26.866871749624206,17.622972062406063,6.58756215796972,,,,199.99999980500002
Children's Investment Fund Foundation (CIFF),,,,,,,,,,,,,4.3,2.2,,,,,6.5
Matching Fund,,,,,,,,,,,,,4.3,2.2,,,,,6.5
Comic Relief,,,,,,,,,,,,,3.2154,0.7994,,,,,4.0148
Matching Fund,,,,,,,,,,,,,3.2154,0.7994,,,,,4.0148
Denmark,,1.147407,,,3.338879,3.416107,4.411262,4.73754,,9.098396,1.807207,8.7981518,4.4825,4.4825,4.4825,4.4825,,,54.684949800000005
Direct Contribution,,1.147407,,,3.338879,3.416107,4.411262,4.73754,,9.098396,1.807207,8.7981518,4.4825,4.4825,4.4825,4.4825,,,54.684949800000005
European Commission (EC),,,,1.26,,,,4.84964,23.129054,28.63013,,,,52.2888,,,,,110.157624
Direct Contribution,,,,1.26,,,,4.84964,23.129054,28.63013,,,,52.2888,,,,,110.157624
France,,,,,6.029114,,12.63,24.66148429153558,52.43021955741005,56.15742434280256,57.2622386104,92.9357711,93.8589775,98.09685,102.7491175,107.5764675,1150.6832550000001,,1855.0709194021483
Direct Contribution,,,,,6.029114,,12.63,,,,,34.5276,24.67715,24.67715,24.67715,24.67715,,,151.895314
IFFIm,,,,,,,,24.66148429153558,52.43021955741005,56.15742434280256,57.2622386104,58.4081711,69.1818275,73.4197,78.0719675,82.8993175,1150.6832550000001,,1703.1756054021484
Germany,,,,,,,5.2604,5.948,,5.72138,5.13598,8.54885,58.4219,,,,,,89.03650999999999
Direct Contribution,,,,,,,5.2604,5.948,,5.72138,5.13598,8.54885,58.4219,,,,,,89.03650999999999
His Highness Sheikh Mohammed bin Zayed Al Nahyan,,,,,,,,,,,,14.077607,8.825486,10.096907,,,,,33
Direct Contribution,,,,,,,,,,,,14.077607,8.825486,10.096907,,,,,33
Ireland,,,0.51075,0.62375,0.65,0.83146,7.902,8.3112,3.84132,3.54,3.630863,4.913,1.413934,3.06797,3.06797,,,,42.30421700000001
Direct Contribution,,,0.51075,0.62375,0.65,0.83146,7.902,8.3112,3.84132,3.54,3.630863,4.913,1.413934,3.06797,3.06797,,,,42.30421700000001
Italy,,,,,,,3.664141,7.273075278464423,83.26614496450861,87.72505687719746,83.0649770596,84.356396,87.74447,88.24447,88.64447,89.34447,561.0446999999999,,1264.3723711797702
AMC,,,,,,,,,50.2,55.7,52.3,52.4,52.7,53.2,53.6,54.3,210.6,,635
IFFIm,,,,,,,3.664141,7.273075278464423,33.06614496450862,32.02505687719746,30.764977059600003,31.956396,35.04447,35.04447,35.04447,35.04447,350.44469999999995,,629.3723711797704
Japan,,,,,,,,,,,,9.347826,9.07,,,,,,18.417825999999998
Direct Contribution,,,,,,,,,,,,9.347826,9.07,,,,,,18.417825999999998
JP Morgan,,,,,,,,,,,,2.3618,,,,,,,2.3618
Matching Fund,,,,,,,,,,,,2.3618,,,,,,,2.3618
"""la Caixa"" Foundation",,,,,,,,,5.8,5.9,4.0,3.054651,2.91562,,,,,,21.670271
Matching Fund,,,,,,,,,,,,3.054651,2.91562,,,,,,5.970271
Direct Contribution,,,,,,,,,5.8,5.9,4.0,,,,,,,,15.7
LDS Charities,,,,,,,,,,,,,1.5,,,,,,1.5
Matching Fund,,,,,,,,,,,,,1.5,,,,,,1.5
Luxembourg,,,,,,0.64515,1.318775,0.81184,1.4229,1.19124,1.10044,1.186128,1.0752701,1.093798,1.093798,1.093798,,,12.0331371
Direct Contribution,,,,,,0.64515,1.318775,0.81184,1.4229,1.19124,1.10044,1.186128,1.0752701,1.093798,1.093798,1.093798,,,12.0331371
Netherlands,,24.060335,13.375172,16.492642,17.329866,15.859414,,33.547469,38.885,45.21065,25.111385,26.326,20.02,53.36750000000001,60.037000000000006,80.0455,20.02,,489.687933
Direct Contribution,,24.060335,13.375172,16.492642,17.329866,15.859414,,33.547469,38.885,31.20579,25.111385,26.326,0,33.347500000000004,40.017,60.02550000000001,,,375.583073
IFFIm,,,,,,,,,,14.00486,,,20.02,20.02,20.02,20.02,20.02,,114.10485999999999
Norway,,17.89469,21.325656,21.791087,40.924593,39.534594,72.56331399999999,91.340761,70.63345,88.03830500000001,99.08162413,111.7429036,145.3821,162.989525,180.6358,198.8462,118.73100000000001,,1481.45560273
Direct Contribution,,17.89469,21.325656,21.791087,40.924593,39.534594,67.379314,86.156761,65.44948,82.800325,76.483608,79.15513920999999,106.6359,131.325,156.8896,175.1,,,1168.84574721
AMC,,,,,,,,,,,2.081675,25.0,15,7.918325,,,,,50.00000000000001
IFFIm,,,,,,,5.184,5.184,5.18397,5.23798,20.516341130000004,7.58776439,23.7462,23.7462,23.7462,23.7462,118.73100000000001,,262.60985552
Republic of Korea,,,,,,,,,,,0.4,0.3,0.3,,,,,,1
Direct Contribution,,,,,,,,,,,0.4,0.3,0.3,,,,,,1
Russia,,,,,,,,,,,8.0,8.0,8,8.0,8.0,8.0,32,,80
AMC,,,,,,,,,,,8.0,8.0,8,8.0,8.0,8.0,32,,80
South Africa,,,,,,,,0.96,0.96,0.97,0.97,0.97,1,1.0,1.0,1.0,11,,19.83
IFFIm,,,,,,,,0.96,0.96,0.97,0.97,0.97,1,1.0,1.0,1.0,11,,19.83
Spain,,,,,,,11.55884625,11.74323553,52.2667988,11.48520033,11.09194767,13.36324478,12.01856375,12.01856375,12.01856375,12.01856375,120.1856375,,279.76916586
Direct Contribution,,,,,,,,,40.5362,,,2.6658,,,,,,,43.202
IFFIm,,,,,,,11.55884625,11.74323553,11.7305988,11.48520033,11.09194767,10.69744478,12.01856375,12.01856375,12.01856375,12.01856375,120.1856375,,236.56716586
Sweden,,1.892133,1.1148,2.385182,4.93143,12.663401,14.593975,17.95740489,21.60381015808133,16.25175494,38.8563166,94.97626143,2.5155428024868485,40.21554280248685,40.21554280248685,40.21554280248685,15.09325681492109,,365.48189704294987
Direct Contribution,,1.892133,1.1148,2.385182,4.93143,12.663401,14.593975,15.514976,19.151976,13.801,36.487498,92.69424458,,37.7,37.7,37.7,,,328.33061557999997
IFFIm,,,,,,,,2.44242889,2.451834158081331,2.45075494,2.3688186,2.28201685,2.5155428024868485,2.5155428024868485,2.5155428024868485,2.5155428024868485,15.09325681492109,,37.15128146294982
United Kingdom,4.4634,,15.04825,5.60595,18.491535,6.625149,23.214072,65.05087036,31.15784251,44.87740592,96.97773188,209.72399688,339.4260284447,594.2515793023999,759.7761660314,583.1036985416999,2238.7979085573,64.6546802,5101.246264627501
Matching Fund,,,,,,,,,,,,3.3618,6.8988998,4.7988,,,,64.6546802,79.71418
Direct Contribution,4.4634,,15.04825,5.60595,18.491535,6.625149,23.214072,48.113952,,,15.883044,81.8958,198.49102,390.1072,374.1192,332.1994442144,25.845764327599998,,1540.1037805419999
AMC,,,,,,,,,,,22.204536,52.913244,18.2,65.5,233.2,93.0,,,485.01778
IFFIm,,,,,,,,16.93691836,31.15784251,44.87740592,58.89015188,71.55315288,115.8361086447,133.84557930239998,152.4569660314,157.9042543273,2212.9521442297,,2996.4105240855
United States of America,,48.092,53.0,58.0,59.64,64.48,69.3,69.3,71.913,75.0,78.0,89.8,130,145.0,175.0,,,,1186.525
