FALL SEMESTER 2006,,,- 69 Class Days Per Semester -,SPRING SEMESTER 2007,,
"Aug. 8,",Tue.,,Deadline for Readmission,,"Dec. 28,",Thu.
,,,INTERSESSION,,Jan.  2-12,
"Aug. 18,",Fri.,,International Student Orientation Begins,,"Jan.  9,",Tue.
"Aug.  19,",Sat.,,Housing Available for Students/Orientation Begins,,"Jan.  10,",Wed.
,,,"HOLIDAY (MARTIN LUTHER KING, JR. DAY)",,"Jan.  15,",Mon.
"Aug. 23,",Wed.,,CLASSES BEGIN,,"Jan.  16,",Tue.
"Aug.  24,",Thu.,,Late Registration Fees in Effect,,"Jan.  17,",Wed.
"Sept. 1,",Fri.,,Last Day for Registration and to Add a Course,,"Jan.  24,",Wed.
"Sept. 4,",Mon.,,HOLIDAY (LABOR DAY),,,
"Sept. 8,",Fri.,,"Last Day to Drop a Course Without a ""W""",,"Jan. 31,",Wed.
"Sept. 8,",Fri.,,Last Day to Make a Change in Credit-Only Designation,,"Jan. 31,",Wed.
"Sept.  19,",Tue.,,Last Day to Apply for Graduation,,"Feb.  9,",Fri.
"Sept.  25,",Mon.,,Prestigious Fellowships/Scholarships Due in Honors Program Office,,,
"Oct. 4,",Wed.,,Academic Alert Grades Due in EASY,,"Feb. 26,",Mon.
TBA,,,<FALL RECESS>,,,
,,,<SPRING RECESS/ INTERSESSION >,,Mar.  10-18,
"Oct.26,",Thu.,,Last Day to Drop a Course,,"Mar. 26,",Mon.
"Oct.30,",Mon.,,Registration Appointments Available on EASY,,"Apr. 2,",Mon.
"Nov. 6,",Mon.,,Registration for Spring 2007* (Begins),,,
,,,Registration for Fall Semester 2007 & Summer 2007* (Begins),,"Apr.  9,",Mon.
"Nov.  17,",Fri.,,Magna/Summa Theses Due in Honors Program Office,,"Apr.  13,",Fri.
Nov. 23-26,,,<THANKSGIVING RECESS>,,,
"Nov.  27,",Mon.,,Theses/Dissertations Due in Graduate School Office,,"Apr.  20,",Fri.
"Dec. 1,",Fri.,,(11:00 PM) CLASSES END  (11:00 PM),,"Apr.  27,",Fri.
Dec. 2-5,,,Reading Days,,Apr.  28 – May 1,
Dec.6 - 13,,,FINAL EXAMS,,May  2 - 10,
,,,Honors Day Convocation (Spring),,"May 10,",Thu.
"Dec. 13,",Wed.,,(11:00 PM) SEMESTER ENDS (11:00 PM),,"May 10,",Thu.
TBA,,,FALL COMMENCEMENT EXERCISES,,,
,,,SPRING COMMENCEMENT EXERCISES,,TBA,
"Dec.  14,",Thu.,,Housing Closes at NOON for Non-Commencement Participants,,"May  11,",Fri.
TBA,Fri.,,Housing Closes at NOON for Commencement Participants,,"May  12,",Sat.
"Dec.  19,",Tues.,,Final Grades Released by Faculty in EASY by 5 p.m.,,"May  14,",Mon.
"Dec. 22,",Fri.,,Final Grades Available to Students in EASY,,"May  17,",Thu.
