,Futures Commission Merchant / Retail Foreign Exchange Dealer,Reg As    (a),DSRO    (b),A/O Date,Adjusted Net Capital,Net Capital Requirement   (c),Excess Net Capital   (d),Customers' Assets in Seg  (e),Customers' Seg Required 4d(a)(2)  (f),Excess/Deficient Funds in Seg   (g),Funds in Separate Section 30.7 Accounts  (h),Customer Amount Pt. 30 Required  (i),Excess/Deficient Funds in Separate Section 30.7 Accounts (j),Total Amount of Retail Forex Obligation  (k)
1.0,ABN AMRO CLEARING CHICAGO LLC,FCM BD,CBOT,2013-09-30 00:00:00,474254371,119383756,354870615,2453290599,2215109300,238181299,136792668,100303442,36489226,0
2.0,ADM INVESTOR SERVICES INC,FCM,CBOT,2013-09-30 00:00:00,274214706,161983809,112230897,3130428924,2904912537,225516387,223959847,157033076,66926771,0
3.0,ADVANTAGE FUTURES LLC,FCM,CME,2013-09-30 00:00:00,21707480,11983302,9724178,490219339,476337543,13881796,35212711,32755606,2457105,0
4.0,ALPARI (US) LLC,FCMRFD,NFA,2013-09-30 00:00:00,20598941,20000000,598941,3366786,906768,2460018,3222849,1383954,1838895,764141
5.0,AMERIPRISE FINANCIAL SERVICES INC,FCM BD,NFA,2013-09-30 00:00:00,94914432,1000000,93914432,0,0,0,0,0,0,0
6.0,AMP GLOBAL CLEARING LLC,FCM,NFA,2013-09-30 00:00:00,2455937,1500000,955937,43950581,42649124,1301457,610881,433904,176977,0
7.0,BARCLAYS CAPITAL INC,FCM BD,NYME,2013-09-30 00:00:00,6377014854,1325297956,5051716898,6433689354,6195369101,238320253,4077109356,3838190653,238918703,0
8.0,BGC FINANCIAL LP,FCM BD,NFA,2013-09-30 00:00:00,50769696,3066649,47703047,0,0,0,0,0,0,0
9.0,BNP PARIBAS PRIME BROKERAGE INC,FCM BD,NYME,2013-09-30 00:00:00,3449699726,228574927,3221124799,2570099873,2314675427,255424446,18344434,1537676,16806758,0
10.0,BNP PARIBAS SECURITIES CORP,FCM BD,CBOT,2013-09-30 00:00:00,1504168886,209625054,1294543832,1217124083,989239987,227884096,6000000,0,6000000,0
11.0,BNY MELLON CLEARING LLC,FCM,CME,2013-09-30 00:00:00,285888490,20000000,265888490,243691889,116557582,127134307,35531290,15993869,19537421,0
12.0,BOCI COMMODITIES & FUTURES USA LLC,FCM,NFA,2013-09-30 00:00:00,4632267,1000000,3632267,0,0,0,0,0,0,0
13.0,CANTOR FITZGERALD & CO,FCM BD,CBOT,2013-09-30 00:00:00,201084080,11673471,189410609,6277097,1308107,4968990,0,0,0,0
14.0,CAPITAL MARKET SERVICES LLC,FCM,NFA,2013-09-30 00:00:00,1918277,1000000,918277,0,0,0,0,0,0,0
15.0,CHS HEDGING INC,FCM,CBOT,2013-09-30 00:00:00,26201682,10382993,15818689,176454849,150316262,26138587,977862,254673,723189,0
16.0,CITADEL SECURITIES LLC,FCM BD,CME,2013-09-30 00:00:00,351478749,1000000,350478749,0,0,0,0,0,0,0
17.0,CITIGROUP GLOBAL MARKETS INC,FCM BD,CBOT,2013-09-30 00:00:00,6343805740,751365911,5592439829,5816677700,5526563754,290113946,1115237751,929128137,186109614,0
18.0,CREDIT SUISSE SECURITIES (USA) LLC,FCM BD,CBOT,2013-09-30 00:00:00,8392250211,2137469190,6254781021,8551219227,7068897049,1482322178,3617923824,3077406564,540517260,0
19.0,CROSSLAND LLC,FCM,CBOT,2013-09-30 00:00:00,9203296,1840381,7362915,80057740,78420216,1637524,7491707,6866811,624896,0
20.0,CUNNINGHAM COMMODITIES LLC,FCM,CBOT,2013-09-30 00:00:00,2922977,1196195,1726782,65937838,64810005,1127833,571198,397722,173476,0
21.0,DAIWA CAPITAL MARKETS AMERICA INC,FCM BD,CME,2013-09-30 00:00:00,391941567,8617965,383323602,9210599,3972061,5238538,632094,0,632094,0
22.0,DEUTSCHE BANK SECURITIES INC,FCM BD,CBOT,2013-09-30 00:00:00,7271025770,633691782,6637333988,14520446103,13997233518,523212585,1156722073,925109595,231612478,0
23.0,DORMAN TRADING LLC,FCM,CME,2013-09-30 00:00:00,11120865,1647110,9473755,137451364,134454758,2996606,2401488,1949153,452335,0
24.0,E D & F MAN CAPITAL MARKETS INC,FCM BD,CME,2013-09-30 00:00:00,27918978,5990052,21928926,192427543,181785646,10641897,2470887,1843678,627209,0
25.0,E TRADE CLEARING LLC,FCM BD,NFA,2013-09-30 00:00:00,703751617,137060644,566690973,48201095,37439197,10761898,1465032,463370,1001662,0
26.0,EFL FUTURES LIMITED,FCM,CME,2013-09-30 00:00:00,41069250,14838632,26230618,210939226,198008042,12931184,0,0,0,0
27.0,FCSTONE LLC,FCM,CME,2013-09-30 00:00:00,106289858,66327380,39962478,1693519561,1669643105,23876456,82510713,59844591,22666122,0
28.0,FIXI AMERICAS LLC,FCM,NFA,2013-09-30 00:00:00,1581433,1000000,581433,0,0,0,0,0,0,0
29.0,FOREX CAPITAL MARKETS LLC,FCMRFD,NFA,2013-09-30 00:00:00,83804377,27229571,56574806,0,0,0,0,0,0,154591423
30.0,FRIEDBERG MERCANTILE GROUP INC,FCM,NFA,2013-09-30 00:00:00,6638263,1000000,5638263,4111825,3549129,562696,1215512,1155538,59974,0
31.0,FRONTIER FUTURES INC,FCM,NFA,2013-09-30 00:00:00,1988606,1000000,988606,28893892,27899037,994855,0,0,0,0
32.0,FXDIRECTDEALER LLC,FCMRFD,NFA,2013-09-30 00:00:00,21706794,20934416,772378,0,0,0,0,0,0,28688321
33.0,GAIN CAPITAL GROUP LLC,FCMRFD,NFA,2013-09-30 00:00:00,44047092,24780104,19266988,142133744,136196564,5937180,4087678,3264250,823428,105602082
34.0,GFI SECURITIES LLC,FCM BD,NFA,2013-09-30 00:00:00,15270509,1000000,14270509,0,0,0,0,0,0,0
35.0,GH FINANCIALS LLC,FCM,CME,2013-09-30 00:00:00,9906177,1000000,8906177,3296834,2520949,775885,330388,230169,100219,0
36.0,GLOBAL FUTURES & FOREX LTD,FCMRFD,NFA,2013-09-30 00:00:00,1588300,1000000,588300,0,0,0,0,0,0,0
37.0,GOLDMAN SACHS & CO,FCM BD,CBOT,2013-09-30 00:00:00,14578316287,2073238212,12505078075,18521256729,17982469556,538787173,8738267973,8191754422,546513551,0
38.0,GOLDMAN SACHS EXECUTION & CLEARING LP,FCM BD,CME,2013-09-30 00:00:00,2088412190,129358268,1959053922,1383422832,804280610,579142222,72273447,25950466,46322981,0
39.0,GUGGENHEIM SECURITIES LLC,FCM BD,NFA,2013-09-30 00:00:00,57121104,1285139,55835965,0,0,0,0,0,0,0
40.0,HSBC SECURITIES USA INC,FCM BD,CME,2013-09-30 00:00:00,1004444812,127450583,876994229,1001644426,924068131,77576295,92048444,73925828,18122616,0
41.0,IBFX INC,RFED,NFA,2013-09-30 00:00:00,27725135,23047529,4677606,0,0,0,0,0,0,70950587
42.0,INSTINET LLC,FCM BD,NFA,2013-09-30 00:00:00,99917004,3075456,96841548,0,0,0,0,0,0,0
43.0,INSTITUTIONAL LIQUIDITY LLC,FCMRFD,NFA,2013-09-30 00:00:00,32622402,20158148,12464254,0,0,0,0,0,0,13162966
44.0,INTERACTIVE BROKERS LLC,FCM BD,NFA,2013-09-30 00:00:00,1922038217,283041718,1638996499,2253793734,2001369163,252424571,413962752,291463952,122498800,40061697
45.0,IRONBEAM INC,FCM,NFA,2013-09-30 00:00:00,2277556,1000000,1277556,39247783,37837192,1410591,111215,4358,106857,0
46.0,ITG DERIVATIVES LLC,FCM BD,NFA,2013-09-30 00:00:00,4703769,1000000,3703769,0,0,0,0,0,0,0
47.0,JEFFERIES BACHE LLC,FCM,CBOT,2013-09-30 00:00:00,204361000,120562160,83798840,2015781000,1916257000,99524000,191752000,124064000,67688000,0
48.0,JP MORGAN CLEARING CORP,FCM BD,NFA,2013-09-30 00:00:00,6838218091,1784735435,5053482656,889326014,619964701,269361313,681283018,453203445,228079573,0
49.0,JP MORGAN SECURITIES LLC,FCM BD,CEI,2013-09-30 00:00:00,14580355431,1912324267,12668031164,18591583837,16703123340,1888460497,3577161800,3165953634,411208166,0
50.0,KNIGHT CAPITAL AMERICAS LLC,FCM BD,CME,2013-09-30 00:00:00,356697379,21443189,335254190,494063375,477583598,16479777,11238261,7858663,3379598,38863784
51.0,LEK SECURITIES CORPORATION,FCM BD,NFA,2013-09-30 00:00:00,10007080,1500000,8507080,7324954,6169266,1155688,0,0,0,0
52.0,LINN GROUP THE,FCM,NFA,2013-09-30 00:00:00,3533253,1883968,1649285,79246711,75541923,3704788,348081,81628,266453,0
53.0,LPL FINANCIAL LLC,FCM BD,NFA,2013-09-30 00:00:00,183142190,6311599,176830591,0,0,0,0,0,0,0
54.0,MACQUARIE FUTURES USA LLC,FCM,CBOT,2013-09-30 00:00:00,144550421,103463827,41086594,1452571717,1277857778,174713939,30030412,23492956,6537456,0
