,Biotechnology Trait Acreage (in millions of acres),2003.0,2002.0,2001.0,2000.0,1999.0,1998.0,1997.0,1996.0
,U.S. Roundup Ready soybean trait,63.6,60.0,54.8,45.0,40.5,29.1,7.9,1.2
,Argentine Roundup Ready soybean trait,29.9,27.1,22.7,17.0,13.6,4.0,0.5,0.0
,Roundup Ready soybean trait – other,1.6,1.0,0.6,0.6,0.3,0.0,0.0,0.0
,U.S. Roundup Ready corn trait,6.9,5.6,3.4,2.6,2.1,0.9,0.0,0.0
,Roundup Ready corn trait – other,0.3,0.2,0.2,0.1,0.1,0.0,0.0,0.0
,U.S. YieldGard corn borer traits,20.0,18.2,14.3,14.6,15.4,11.4,2.3,0.0
,YieldGard corn borer traits – other,3.7,3.0,2.0,1.1,0.6,,0.0,0.0
,U.S. YieldGard rootworm corn trait,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,U.S. MON “stacked” corn traits*,5.1,2.2,1.2,0.1,0.0,0.0,0.0,0.0
,MON “stacked” corn traits – other*,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0
,U.S. Roundup Ready cotton trait,4.5,5.2,5.1,4.6,3.8,2.1,0.6,0.0
,Roundup Ready cotton trait – other,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0
,Chinese Bollgard cotton trait,2.0,1.9,2.3,0.3,0.3,0.2,0.0,0.0
,U.S. Bollgard I and II cotton traits,0.3,0.4,0.5,1.0,2.0,2.0,2.0,1.8
,Bollgard I and II cotton traits – other,0.5,0.5,0.7,0.5,0.3,0.2,0.1,0.0
,U.S. MON “stacked” cotton traits*,5.4,4.8,5.6,4.0,2.4,0.7,0.1,0.0
,MON “stacked” cotton traits – other*,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0
,U.S. Roundup Ready canola trait,0.7,0.9,0.9,0.7,0.2,0.0,0.0,0.0
,Canadian Roundup Ready canola trait,5.5,4.0,4.0,4.3,4.9,2.8,0.5,0.0
