,,,,,,,,,,,,,,'04,'05,'06,'07,'08,'09
,,,,,,,,,,,,ACa,FY,46.661455015262,48.0657439051826,42,48.53235461962889,42,49.948600121552126
,,,,,,,,,,,,ACa,CI,3.1982764104523267,2.580269241738211,42,1.8503296981402138,42,1.705969255885901
,,,,,,,,,,,,ACL,FY,39.78226183897339,41.64643518759057,42,42.773574246616164,42,43.759728820903476
,,,,,,,,,,,,ACL,CI,2.940518275387634,3.7827659446365884,42,2.0972440453084005,42,2.174198638895938
,,,,,,,,,,,,SFI,FY,31.36509783926842,34.46016357038345,42,36.26821168043551,42,37.686694406397976
,,,,,,,,,,,,SFI,CI,3.544281055692798,3.8791060575680567,42,2.508275519854798,42,2.3708855910717155
,,,,,,,,,,,,EEE,FY,25.283831783247496,22.9673189088191,42,25.779946395551953,42,25.535450123104482
,,,,,,,,,,,,EEE,CI,2.545773829570081,2.435084862212467,42,2.1621292822632747,42,1.4757729486350608
,,,,,,,,,,,,SCE,FY,59.22220981410885,57.62810274453522,42,59.77214960759904,42,62.746968126407914
,,,,,,,,,,,,SCE,CI,3.4456997827128375,3.8768739413761675,42,2.452059972252224,42,2.3913333190389436
