Date,Short Percentage of Float
2014-02-14,2.46%
2014-01-31,2.18%
2014-01-15,2.04%
2013-12-31,2.21%
2013-12-13,2.15%
2013-11-29,2.24%
2013-11-15,2.16%
2013-10-31,2.28%
2013-10-15,2.34%
2013-09-30,2.27%
2013-09-13,2.28%
2013-08-30,2.21%
2013-08-15,2.02%
2013-07-31,2.14%
2013-07-15,2.90%
2013-06-28,3.43%
2013-06-14,3.64%
2013-05-31,3.32%
2013-05-15,2.97%
2013-04-30,2.82%
2013-04-15,2.38%
2013-03-28,3.22%
2013-03-15,3.15%
2013-02-28,2.47%
2013-02-15,1.96%
2013-01-31,1.89%
2013-01-15,2.21%
2012-12-31,2.20%
2012-12-14,2.55%
2012-11-30,2.54%
2012-11-15,2.26%
2012-10-31,2.09%
2012-10-15,2.24%
2012-09-28,2.35%
2012-09-14,2.69%
2012-08-31,2.74%
2012-08-15,2.86%
2012-07-31,3.05%
2012-07-13,3.13%
2012-06-29,3.22%
2012-06-15,0.31%
2012-05-31,0.28%
2012-05-15,0.28%
2012-04-30,0.32%
2012-04-13,0.28%
2012-03-30,0.91%
2012-03-15,0.76%
2012-02-29,0.78%
2012-02-15,1.20%
2012-01-31,1.47%
2012-01-13,1.94%
2011-12-30,3.01%
2011-12-15,3.47%
2011-11-30,3.65%
2011-11-15,3.77%
2011-10-31,3.87%
2011-10-14,3.38%
2011-09-30,2.08%
2011-09-15,2.55%
2011-08-31,2.05%
2011-08-15,2.24%
2011-07-29,2.41%
2011-07-15,3.43%
2011-06-30,5.15%
2011-06-15,6.08%
2011-05-31,4.87%
2011-05-13,3.99%
2011-04-29,3.38%
2011-04-15,3.26%
2011-03-31,2.94%
2011-03-15,2.78%
2011-02-28,2.64%
2011-02-15,2.92%
2011-01-31,3.20%
2011-01-14,3.83%
2010-12-31,3.86%
2010-12-15,4.36%
2010-11-30,3.83%
2010-11-15,6.84%
2010-10-29,7.12%
2010-10-15,6.69%
2010-09-30,6.87%
2010-09-15,7.12%
2010-08-31,7.36%
2010-08-13,6.17%
2010-07-30,7.59%
2010-07-15,8.83%
2010-06-30,8.87%
2010-06-15,9.09%
2010-05-28,9.62%
2010-05-14,9.36%
2010-04-30,9.58%
2010-04-15,9.27%
2010-03-31,0.00%
2010-03-15,0.00%
2010-02-26,8.00%
2010-02-12,8.20%
2010-01-29,10.00%
2010-01-15,9.65%
2009-12-31,9.57%
2009-12-15,9.85%
2009-11-30,9.72%
2009-11-13,9.64%
2009-10-30,9.46%
2009-10-15,9.21%
2009-09-30,0.00%
2009-09-15,0.00%
2009-08-31,9.21%
2009-08-14,9.27%
2009-07-31,9.24%
2009-07-15,10.06%
2009-06-30,7.40%
2009-06-15,7.50%
2009-05-29,7.61%
2009-05-15,7.68%
2009-04-30,7.94%
2009-04-15,7.98%
2009-03-31,7.90%
2009-03-13,8.42%
2009-02-27,8.61%
2009-02-13,8.62%
2009-01-30,10.01%
2009-01-15,10.16%
2008-12-31,10.17%
2008-12-15,10.96%
2008-11-28,12.24%
