,BUDGET DIVISION,2012 UG SCH,2012 G SCH,UG Lab (HC),G Lab (HC),Required UG Fac. FTE,Required G Fac. FTE,Required UG Lab Fac,Required G Lab Fac,Total Faculty,2011/12 UG Faculty Salaries,2011/12 Grad Faculty Salaries,2011/12 Projected SALARIES,HeadCount Driven ADMIN & SUPPORT,2011/12 OPERATING,TOTAL ALLOCATION,HOLD HARMLESS,DIFFERENCE
,President,,,,,,,,,,,,1033479,,281541.7392233321,1315020.7392233321,,
,Provost,,,,,,,,,,,,2932244.71,,798806.0478072752,3731050.7578072753,,
,Finance & Aministration,,,,,,,,,,,,6191740,,1686762.138774638,7878502.138774638,,
,"Strategy, Planning & Policy",,,,,,,,,,,,1253406,,341454.54836814274,1594860.5483681427,,
,Student Services & Enrollment Management,,,,,,,,,,,,1087604,,296286.5445221943,1383890.5445221942,,
,Development,,,,,,,,,,,,362804,,98835.55365632178,461639.5536563218,,
,Agriculture,5566,316,48,0,7.481182795698925,1.3504273504273505,0.13568521031207598,0,8.96729535643835,437337.7103011336,77537.48717948719,514875.19748062076,98265.77433333333,57533.28817204301,670674.2599859971,,
,Art & Music,5672,0,1816,0,7.623655913978495,0,5.133423790140207,0,12.757079704118702,732473.2453713835,0,732473.2453713835,98519.83866666666,58628.963440860214,889622.0474789103,,
,Biology,10970,257,32,0,14.744623655913978,1.0982905982905984,0.09045680687471731,0,15.933371061079294,851785.8149319384,63060.55128205128,914846.3662139897,111218.26166666666,113392.05376344085,1139456.6816440972,,
,Chemistry & Biochemistry,5116,6,383,0,6.876344086021505,0.02564102564102564,1.0826549072817728,0,7.984640018944304,456981.84519849427,1472.230769230769,458454.075967725,97187.19933333334,52881.83655913978,608523.1118601981,,
,"Communication, Mass Media, & Theatre",9597,300,0,0,12.899193548387096,1.2820512820512822,0,0,14.181244830438379,740632.9959677418,73611.53846153847,814244.5344292803,107927.4095,99199.95806451612,1021371.9019937963,,
,English & Modern Langagues,16530,207,0,0,22.217741935483872,0.8846153846153846,0,0,23.102357320099255,1275676.0887096773,50791.96153846154,1326468.0502481388,124544.655,170863.32258064518,1621876.027828784,,
,Pol Science & Criminal Justice,3441,0,0,0,4.625,0,0,0,4.625,265553.625,0,265553.625,93172.5035,35568.1,394294.22849999997,,
,History & Political Science,12708,54,0,0,17.080645161290324,0.23076923076923078,0,0,17.311414392059554,980719.4032258065,13250.076923076922,993969.4801488834,115383.95800000001,131356.9935483871,1240710.4316972706,,
,Mathematics & Computer Science,16717,0,0,0,22.469086021505376,0,0,0,22.469086021505376,1290107.512096774,0,1290107.512096774,124992.86283333335,172796.25913978496,1587896.6340698926,,
,Physics,6536,0,740,0,8.78494623655914,0,2.0918136589778378,0,10.876759895536978,624510.9229220465,0,624510.9229220465,100590.70266666666,67559.7505376344,792661.3761263476,,
,"Accounting, Economics, & Finance",7806,405,0,0,10.491935483870968,1.7307692307692308,0,0,12.222704714640198,602415.4596774194,99375.57692307692,701791.0366004963,103634.681,80687.1806451613,886112.8982456576,,
,Aerospace Studies,276,0,0,0,0.3709677419354839,0,0,0,0.3709677419354839,21299.854838709674,0,21299.854838709674,85586.526,2852.8903225806453,109739.27116129032,,
,Management & marketing,6195,504,0,0,8.326612903225806,2.1538461538461537,0,0,10.48045905707196,478089.1330645161,123667.38461538461,601756.5176799007,99773.3825,64034.98387096774,765564.8840508685,,
,Security Studies & Criminal Justice,3730,408,0,0,5.013440860215054,1.7435897435897436,0,0,6.757030603804798,287856.7338709678,100111.69230769231,387968.4261786601,93865.18833333332,38555.36559139785,520388.98010339134,,
,Teacher Education,2997,351,0,0,4.028225806451613,1.5,0,0,5.528225806451613,231288.64112903224,86125.5,317414.14112903224,92108.3095,30978.667741935486,440501.1183709677,,
,Curriculum & Instruction,1158,3618,0,0,1.5564516129032258,15.461538461538462,0,0,17.017990074441688,89366.78225806452,887755.1538461538,977121.9361042182,87700.533,11969.735483870967,1076792.2045880894,,
,Kinesiology,4248,471,0,0,5.709677419354839,2.0128205128205128,0,0,7.722497932175352,327832.5483870968,115570.11538461538,443402.66377171216,95106.74799999999,43909.70322580646,582419.1149975186,,
,Nursing,8227,2520,306,0,11.057795698924732,10.76923076923077,0.8649932157394843,0,22.692019683894987,684570.7711132753,618336.9230769231,1302907.6941901986,104643.74783333333,85038.87204301075,1492590.3140665428,,
,Athletic Training,0,0,0,0,0,0,0,0,0,0,0,0,84925,0,84925,,
,Physical Therapy,0,0,0,0,0,0,0,0,0,0,0,0,84925,0,84925,,
,"Psychology, Sociology & Social Work",11853,1245,0,0,15.931451612903226,5.32051282051282,0,0,21.251964433416045,914736.1572580645,305487.8846153846,1220224.041873449,113334.6655,122519.23548387097,1456077.9428573202,,
,Academic Affairs,1944,0,0,0,2.6129032258064515,0,0,0,2.6129032258064515,150025.06451612903,0,150025.06451612903,89584.444,20094.270967741937,259703.77948387098,,
,Facilities,,,,,,,,,,,,,,,,,
