,,,,,,Back to Contents,,,,,,,,,,,,,
English Business Survey,,,,,,,,,,,,,,,,,,,
 QINVEST Whether made any new capital investment in the period Oct 11-Dec 11,,,,,,,,,,,,,,,,,,,
Base: All businesses,,,,,,,,,,,,,,,,,,,
,,Total,Region (NUTS1),,,,,,,,,Workplace size,,,,Industry sector summary variable,,,
,,England,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West,1 to 9,10 to 49,50 to 249,250+,Agriculture/ Production (A-E),Construction (F),"Other services (G-N, R-U)","Education, Health and Public administration and defence (OPQ)"
 ,Unweighted Base ,2995,250,400,315,285,335,320,310,365,410,685,1285,835,190,345,150,1640,860
,Yes,30%,27%,34%,32%,24%,26%,32%,33%,29%,27%,22%,23%,35%,45%,47%,32%,27%,29%
,No,63%,64%,57%,61%,74%,65%,65%,59%,63%,66%,74%,72%,57%,41%,51%,67%,65%,62%
,Don’t know,7%,10%,9%,8%,3%,9%,3%,8%,9%,7%,4%,5%,8%,14%,2%,*,8%,10%
Reference month - December 2011,,,,,,,,,,,,,,,,,,,
"Data are weighted to be representative of total employment in England (not workplaces), so a result of 10% should be interpreted as workplaces accounting for 10% of employment are....",,,,,,,,,,,,,,,,,,,
"Region, workplace size and industry all relate to the workplace. For workplaces that are part of larger organisations region, workplace size and industry may differ from that of the enterprise.",,,,,,,,,,,,,,,,,,,
Table sub-totals may not sum to total due to rounding. Unweighted totals are rounded to the nearest 5.,,,,,,,,,,,,,,,,,,,
Tables have been assessed for disclosure to protect confidentiality,,,,,,,,,,,,,,,,,,,
* Figures suppressed due to small cell sizes,,,,,,,,,,,,,,,,,,,
- Figures suppressed due to small England sizes (i.e. column suppression),,,,,,,,,,,,,,,,,,,
... Balance not available due to small sample sizes,,,,,,,,,,,,,,,,,,,
"Subgroup percentages have been tested against the equivalent percentage for England and if shaded, the difference was found to be statistically significant at the 95% level.   Further explanation of how to interpret this can be found in the User Guide.  ",,,,,,,,,,,,,,,,,,,
Please note that differences in the balance scores have not been tested.  The methodology for doing so is currently in development and will be published at a later date.  Further details can be found in the Technical Annex.  ,,,,,,,,,,,,,,,,,,,
