Ref. No.,Supplier Name,Payment Date,Invoice NET £,Directorate,Cost Type
Aug1,KENT TOP TEMPS LTD,2-Aug-10,"2,349.77","Environment, Highways & Waste",Sundry Debtors - General
Aug2,KENT TOP TEMPS LTD,2-Aug-10,"6,656.60","Environment, Highways & Waste",Sundry Debtors - General
Aug3,KENT TOP TEMPS LTD,2-Aug-10,"2,021.68","Environment, Highways & Waste",Agency Staff
Aug4,CANTERBURY CATHEDRAL LODGE#CT1 2EH,2-Aug-10,"1,237.76","Environment, Highways & Waste","External - Rent, Room Hire & Service Charges"
Aug5,KEE SYSTEMS LIMITED,2-Aug-10,"11,283.93","Environment, Highways & Waste",Infrastructure
Aug6,NDORS LIMITED#CM12 9YB,2-Aug-10,"6,820.00","Environment, Highways & Waste",Sundry Debtors - General
Aug7,PIPER FARMS,2-Aug-10,"8,275.87","Environment, Highways & Waste",Private Contractors
Aug8,PRIMARY MATTERS T/A PRIMARY TIMES,2-Aug-10,550.00,"Environment, Highways & Waste",Advertising (Other than for Staff)
Aug9,QUARRY HOUSE MANAGEMENT LIMITED,2-Aug-10,600.00,"Environment, Highways & Waste",Consultants
Aug10,TTC 2000,2-Aug-10,"2,310.00","Environment, Highways & Waste",Sundry Debtors - General
Aug11,KENT COUNTY COUNCIL,2-Aug-10,"13,574.25","Environment, Highways & Waste",Sundry Debtors - General
Aug12,KENT COUNTY COUNCIL,2-Aug-10,686.25,"Environment, Highways & Waste",Sundry Debtors - General
Aug13,KENT COUNTY COUNCIL,2-Aug-10,831.87,"Environment, Highways & Waste",Sundry Debtors - General
Aug14,BRIAN JONES COACHES,2-Aug-10,"3,250.00","Environment, Highways & Waste",Sundry Debtors - General
Aug906,KENT SOCIAL CARE PROFFESSIONALS LTD,2-Aug-10,500.36,Adult Services,Private Contractors
Aug909,KENT TOP TEMPS LTD,2-Aug-10,501.98,Adult Services,"Repairs, Alterations and Maintenance of Buildings"
Aug970,AIDING INDEPENDENCE,2-Aug-10,533.20,Adult Services,Private Contractors
Aug1010,ASHTON LODGE,2-Aug-10,555.74,Adult Services,Private Contractors
Aug1090,TOUCHE SERVICES LTD,2-Aug-10,596.19,Adult Services,Private Contractors
Aug1167,KENT TOP TEMPS LTD,2-Aug-10,624.38,Adult Services,Agency Staff
Aug1191,KENT TOP TEMPS LTD,2-Aug-10,645.68,Adult Services,Agency Staff
Aug1295,CROSSROADS CARE WEST KENT#ME18 5LW,2-Aug-10,715.00,Adult Services,Private Contractors
Aug1298,THE AVENUES TRUST LTD,2-Aug-10,716.24,Adult Services,Private Contractors
Aug1304,KENT SOCIAL CARE PROFFESSIONALS LTD,2-Aug-10,720.82,Adult Services,Private Contractors
Aug1343,KENT TOP TEMPS LTD,2-Aug-10,737.67,Adult Services,Agency Staff
Aug1386,EVESLEIGH (KENT) LIMITED,2-Aug-10,762.50,Adult Services,Private Contractors
Aug1388,OPAL TELECOM LIMITED#WA3 7BH,2-Aug-10,762.67,Adult Services,Telephone/ Fax Rental
Aug1391,COOMBS (CANTERBURY) LTD#NEW,2-Aug-10,765.00,Adult Services,"Repairs, Alterations and Maintenance of Buildings"
Aug1407,SOUTHERN WATER,2-Aug-10,779.99,Adult Services,Water Charges and Sewerage and Environmental Services
Aug1440,EASTERN AND COASTAL KENT PRIMARY CARE TRUST#PLEASE LET LINDA AND JENNY R KNOW WHEN YOU GET INVOICE IN,2-Aug-10,802.42,Adult Services,"Uniforms, Protective Clothing, Footwear Laundry, Toiletries, Personal Req Medical, First Aid"
Aug1461,A & D C W TRUST#CT3 3AJ,2-Aug-10,816.00,Adult Services,"External - Rent, Room Hire & Service Charges"
Aug1570,1ST CHOICE TAXIS LTD,2-Aug-10,908.70,Adult Services,Public Transport (Clients)
Aug1576,KENT TOP TEMPS LTD,2-Aug-10,916.68,Adult Services,Agency Staff
Aug1609,MH COMMUNITY CARE LIMITED,2-Aug-10,935.57,Adult Services,Private Contractors
Aug1624,KENT TOP TEMPS LTD,2-Aug-10,955.68,Adult Services,Agency Staff
Aug1625,LARKFIELD HALL LIMITED T/A PEPENBURY,2-Aug-10,955.80,Adult Services,Private Contractors
Aug1648,NAS SERVICES LTD,2-Aug-10,978.51,Adult Services,Private Contractors
Aug1725,KENT TOP TEMPS LTD,2-Aug-10,"1,058.96",Adult Services,Agency Staff
Aug1758,NAS SERVICES LTD,2-Aug-10,"1,097.14",Adult Services,Private Contractors
Aug1765,PHS ALL CLEAR LIMITED,2-Aug-10,"1,103.33",Adult Services,Contract Cleaning
Aug1786,FOLKESTONE TAXI CO LTD,2-Aug-10,"1,126.40",Adult Services,Public Transport (Clients)
Aug1789,AVANTE PARTNERSHIP#KCHT,2-Aug-10,"1,127.68",Adult Services,Voluntary Associations
Aug1801,MH COMMUNITY CARE LIMITED,2-Aug-10,"1,144.85",Adult Services,Private Contractors
Aug1846,AIDING INDEPENDENCE,2-Aug-10,"1,172.00",Adult Services,Private Contractors
Aug1851,ASHTON MACEY LTD,2-Aug-10,"1,176.44",Adult Services,Private Contractors
Aug1859,MOUNT EPHRAIM,2-Aug-10,"1,184.00",Adult Services,Private Contractors
Aug1893,KENT COUNTY COUNCIL,2-Aug-10,"1,212.88",Adult Services,Personal Expenses/Adaptations
Aug2100,KENT TOP TEMPS LTD,2-Aug-10,"1,350.13",Adult Services,Agency Staff
Aug2113,KENT TOP TEMPS LTD,2-Aug-10,"1,366.36",Adult Services,Agency Staff
Aug2114,UNITY CARE SOLUTIONS,2-Aug-10,"1,368.63",Adult Services,Private Contractors
Aug2115,TREETOPS RESIDENTIAL HOME,2-Aug-10,"1,368.80",Adult Services,Private Contractors
Aug2161,KENT TOP TEMPS LTD,2-Aug-10,"1,375.01",Adult Services,Agency Staff
Aug2267,LARKFIELD HALL LIMITED T/A PEPENBURY,2-Aug-10,"1,445.80",Adult Services,Private Contractors
Aug2418,KENT TOP TEMPS LTD,2-Aug-10,"1,530.77",Adult Services,Agency Staff
Aug2663,ASHDENE CARE HOME#BR1 3JE,2-Aug-10,"1,617.68",Adult Services,Private Contractors
Aug2708,AIDING INDEPENDENCE,2-Aug-10,"1,648.00",Adult Services,Private Contractors
Aug2761,TERRANCE HOUSE CARE LTD,2-Aug-10,"1,698.60",Adult Services,Private Contractors
