2nd edition,,,,,,,,,,,,,,,,,,,,,,,
Corrections,,,,,,,,,,,,,,,,,,,,,,,
The following errors were amended after publication of the first edition:,,,,,,,,,,,,,,,,,,,,,,,
Figure 13,,,,,,,,,,,,,,,,,,,,,,,
The data for 2010/2011 are incorrect.,,,,,,,,,,,,,,,,,,,,,,,
 They should be: ,,,,and not:,,,,,,,,,,,,,,,,,,,
                   2010/11,,,,2010/11,,,,,,,,,,,,,,,,,,,
Definite job,,       54,,Definite job,,55.0,,,,,,,,,,,,,,,,,
Looking for work,,19,,Looking for work,,38.0,,,,,,,,,,,,,,,,,
Accompany/join,,22,,Accompany/join,,16.0,,,,,,,,,,,,,,,,,
Formal study,,7,,Formal study,,10.0,,,,,,,,,,,,,,,,,
Other,,18,,Other,,13.0,,,,,,,,,,,,,,,,,
Figure 13 in the Report has been amended to take this into account.,,,,,,,,,,,,,,,,,,,,,,,
Figure 24,,,,,,,,,,,,,,,,,,,,,,,
Some of the data are incorrect.,,,,,,,,,,,,,,,,,,,,,,,
They should be:,,,,,,,,,,,,,,,,,,,,,,,
,,,1992.0,1993,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2002-2011 combined
Definite job,,,16.0,20,20.0,19.0,16.0,18.0,20.0,23.0,31.0,18.0,27.0,27.0,27.0,28.0,36.0,30.0,36.0,39.0,32.0,36.0,318
Looking for work,,,11.0,13,13.0,0.0,19.0,20.0,19.0,23.0,30.0,29.0,33.0,36.0,38.0,46.0,43.0,33.0,38.0,40.0,36.0,40.0,383
Accompany/join,,,23.0,20,15.0,15.0,11.0,13.0,12.0,17.0,14.0,10.0,14.0,13.0,11.0,10.0,13.0,7.0,14.0,9.0,8.0,7.0,106
Formal study,,,3.0,5,3.0,1.0,3.0,4.0,5.0,4.0,5.0,3.0,6.0,6.0,4.0,5.0,4.0,8.0,5.0,6.0,6.0,6.0,56
Other,,,12.0,3,4.0,16.0,1.0,4.0,5.0,2.0,2.0,5.0,3.0,3.0,5.0,4.0,5.0,6.0,4.0,5.0,3.0,5.0,43
No reason stated,,,17.0,8,8.0,6.0,5.0,6.0,5.0,16.0,10.0,13.0,16.0,17.0,8.0,15.0,14.0,8.0,13.0,10.0,9.0,9.0,119
All reasons (excluding those who did not give a reason),,,65.0,61,55.0,51.0,50.0,59.0,61.0,69.0,82.0,65.0,83.0,85.0,85.0,93.0,101.0,84.0,97.0,99.0,85.0,94.0,906
and not:,,,,,,,,,,,,,,,,,,,,,,,
,,,1992.0,1993,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2002-2011 combined
Definite job,,,16.0,20,20.0,19.0,16.0,18.0,20.0,23.0,31.0,18.0,27.0,27.0,28.0,28.0,36.0,30.0,36.0,39.0,32.0,36.0,319
Looking for work,,,11.0,13,13.0,0.0,19.0,20.0,19.0,23.0,30.0,29.0,33.0,36.0,38.0,47.0,44.0,33.0,38.0,40.0,36.0,40.0,385
Accompany/join,,,23.0,20,15.0,15.0,11.0,13.0,12.0,17.0,14.0,10.0,14.0,13.0,11.0,11.0,13.0,8.0,14.0,10.0,8.0,7.0,109
Formal study,,,3.0,5,3.0,1.0,3.0,4.0,5.0,4.0,5.0,3.0,6.0,5.0,4.0,5.0,4.0,8.0,5.0,6.0,6.0,6.0,55
Other,,,12.0,3,4.0,16.0,1.0,4.0,5.0,2.0,2.0,5.0,3.0,4.0,5.0,3.0,5.0,6.0,5.0,5.0,3.0,5.0,44
No reason stated,,,17.0,8,8.0,6.0,5.0,6.0,5.0,16.0,10.0,13.0,16.0,17.0,8.0,14.0,14.0,8.0,13.0,10.0,9.0,9.0,118
All reasons (excluding those who did not give a reason),,,65.0,61,55.0,51.0,50.0,59.0,61.0,69.0,82.0,65.0,83.0,85.0,86.0,94.0,102.0,85.0,98.0,100.0,85.0,94.0,912
"As the changes are comparatively small, figure 24 in the Report did not need amending.",,,,,,,,,,,,,,,,,,,,,,,
