"Table 2.1 - Number of Penalty Notices for Disorder issued to offenders aged 16 and over by offence, 12 months ending March 2005 to 12 months ending March 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England and Wales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offence,All Ages,,,,,,,,,,Age  16 -17,,,,,,,,,,Age  18 and over,,,,,,,,
,12 months ending,,,,,,,,,,12 months ending,,,,,,,,,,12 months ending,,,,,,,,
,Mar 2005,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,,Mar 2005,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,,Mar 2005,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013
Higher Tier Offences (£80),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wasting police time,"1,604","2,869","4,051","3,836","3,351","3,089","2,843","2,741","2,469",,108,272,349,314,220,205,173,113,77,,"1,496","2,597","3,702","3,522","3,131","2,884","2,670","2,628","2,392"
Misuse of public telecommunications system,208,499,"1,075","1,082",873,714,699,731,652,,16,30,98,93,81,47,48,47,19,,192,469,977,989,792,667,651,684,633
Giving false alarm to fire and rescue authority,65,100,105,80,83,75,55,40,33,,10,11,12,12,8,8,8,1,-,,55,89,93,68,75,67,47,39,33
"Causing Harassment, alarm or distress","41,416","67,184","84,279","73,968","53,840","39,787","30,983","23,405","16,085",,"3,153","6,308","8,246","6,546","4,324","2,820","2,006","1,250",580,,"38,263","60,876","76,033","67,422","49,516","36,967","28,977","22,155","15,505"
Throwing fireworks,260,675,669,631,497,340,347,322,213,,32,92,98,103,77,56,52,50,24,,228,583,571,528,420,284,295,272,189
Drunk and disorderly,"32,872","38,105","44,879","47,299","44,388","41,391","37,139","35,269","31,437",,"1,793","2,463","3,080","2,898","2,428","2,164","1,620","1,111",633,,"31,079","35,642","41,799","44,401","41,960","39,227","35,519","34,158","30,804"
Criminal Damage (under £500)(1),"3,541","14,134","21,727","18,297","12,525","8,881","5,962","4,616","3,313",,361,"1,720","3,084","2,511","1,668","1,043",619,387,176,,"3,180","12,414","18,643","15,786","10,857","7,838","5,343","4,229","3,137"
Theft (retail under £200)(1),"6,266","26,195","41,784","44,437","47,408","45,657","38,828","33,622","26,819",,440,"2,279","4,336","4,248","4,047","3,512","2,522","1,714",960,,"5,826","23,916","37,448","40,189","43,361","42,145","36,306","31,908","25,859"
Breach of fireworks curfew,18,36,49,37,22,14,24,10,9,,1,3,7,3,3,-,2,1,-,,17,33,42,34,19,14,22,9,9
Possession of category 4 firework,14,16,24,24,57,22,20,28,17,,3,5,3,5,8,-,3,4,-,,11,11,21,19,49,22,17,24,17
Possession by a person under 18 of adult firework,22,47,80,102,70,59,57,42,34,,19,43,73,101,61,48,47,39,26,,3,4,7,1,9,11,10,3,8
Sale of alcohol to drunken person,1,32,60,82,72,91,62,84,94,,-,2,2,-,3,1,-,1,-,,1,30,58,82,69,90,62,83,94
Supply of alcohol to a person under 18,-,12,56,66,93,94,54,44,54,,-,1,5,-,3,3,2,1,-,,-,11,51,66,90,91,52,43,54
Sale of alcohol to a person under 18,282,"2,536","3,171","3,703","3,010","2,573","2,027","1,463","1,304",,9,90,88,80,40,35,27,15,10,,273,"2,446","3,083","3,623","2,970","2,538","2,000","1,448","1,294"
Purchasing alcohol for a person under 18,102,235,444,596,461,420,297,244,142,,11,28,42,58,25,19,18,9,4,,91,207,402,538,436,401,279,235,138
Purchasing alcohol for a  person under 18 for consumption on the premises,28,71,67,60,49,35,35,33,6,,11,15,15,17,11,7,8,8,-,,17,56,52,43,38,28,27,25,6
Delivery of alcohol to a person under 18 or allowing such delivery,52,247,319,416,252,177,117,96,50,,6,23,26,34,17,10,9,5,-,,46,224,293,382,235,167,108,91,50
Possession of Cannabis(2),-,-,-,-,"1,852","13,142","14,426","16,272","15,486",,-,-,-,-,23,170,168,319,257,,-,-,-,-,"1,829","12,972","14,258","15,953","15,229"
Lower Tier Offences (£50),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trespassing on a railway,135,280,"1,340","1,410","1,599","1,448","1,449","1,276","1,045",,30,88,314,269,255,224,183,128,59,,105,192,"1,026","1,141","1,344","1,224","1,266","1,148",986
Throwing stones at a train / railway,73,14,12,32,29,12,11,10,8,,4,3,4,13,7,6,6,2,-,,69,11,8,19,22,6,5,8,8
Drunk in a highway,"3,004","2,999","2,588","1,961","1,314",915,740,639,465,,50,118,135,109,43,22,17,20,13,,"2,954","2,881","2,453","1,852","1,271",893,723,619,452
Consumption of alcohol in a designated public place,572,729,"1,148","1,594","1,829","1,440","1,143","1,081",528,,28,69,156,149,127,74,42,35,-,,544,660,992,"1,445","1,702","1,366","1,101","1,046",528
Depositing and leaving litter,186,842,"1,252","1,351","1,151","1,112",883,690,500,,40,206,271,308,213,163,119,64,30,,146,636,981,"1,043",938,949,764,626,470
Consumption of alcohol by a person under 18 on relevant premises,21,88,78,77,28,24,18,22,6,,20,77,72,76,24,16,13,18,4,,1,11,6,1,4,8,5,4,2
Allowing consumption of alcohol by a person under 18 on relevant premises,12,26,14,7,6,3,4,1,-,,1,2,-,1,2,-,-,-,-,,11,24,14,6,4,3,4,1,-
Buying or Attempting to buy alcohol by a person under 18,-,35,102,145,100,60,43,23,17,,-,29,93,145,85,52,35,18,9,,-,6,9,-,15,8,8,5,8
Depositing and leaving litter in a Royal Park,*,*,*,*,*,*,*,-,3,,*,*,*,*,*,*,*,-,-,,-,-,-,-,-,-,-,-,3
Use pedal cycle in a Royal Park,*,*,*,*,*,*,*,1,311,,*,*,*,*,*,*,*,-,2,,-,-,-,-,-,-,-,1,309
Failing to remove animal faeces from a Royal Park,*,*,*,*,*,*,*,-,4,,*,*,*,*,*,*,*,-,-,,-,-,-,-,-,-,-,-,4
Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Higher Tier Offences,"86,751","152,993","202,839","194,716","168,903","156,561","133,975","119,062","98,217",,"5,973","13,385","19,564","17,023","13,047","10,148","7,332","5,075","2,766",,"80,778","139,608","183,275","177,693","155,856","146,413","126,643","113,987","95,451"
Total Lower Tier Offences,"4,003","5,013","6,534","6,577","6,056","5,014","4,291","3,743","2,887",,173,592,"1,045","1,070",756,557,415,285,117,,"3,830","4,421","5,489","5,507","5,300","4,457","3,876","3,458","2,770"
Total all offences,"90,754","158,006","209,373","201,293","174,959","161,575","138,266","122,805","101,104",,"6,146","13,977","20,609","18,093","13,803","10,705","7,747","5,360","2,883",,"84,608","144,029","188,764","183,200","161,156","150,870","130,519","117,445","98,221"
(1) Offence added with effect from 1 November 2004. Penalty notices are no longer available for theft of goods valued at over £100 and may only be used for criminal damage up to a value of £300 from July 2009 onwards.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2) Offence added with effect form 27 January 2009.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* = Not applicable. - = nil.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
