Table 15  Pesticides in groundwater samples: 1998-20051,,,,,,,,,,,,,,,,,,
England and Wales,,,,,,,,,,,,,,,,,,
Pesticides,,Total Number of Samples,,,,,,,,,Percent of Samples over 0.1 µg/l  2,,,,,,,
,,1998,1999,2000,2001,2002,2003,2004,2005,,1998,1999,2000,2001,2002,2003,2004.0,2005.0
Most commonly found,,,,,,,,,,,,,,,,,,
pesticides,,,,,,,,,,,,,,,,,,
,atrazine,"1,204",529,892,515,693,"1,194","1,491","2,161",,10.80,4.10,2.47,3.69,2.67,4.27,2.62,1.3
,bentazone,488,285,452,347,439,995,"1,483","1,959",,2.25,0.40,1.55,2.59,0.23,5.03,0.88,1.74
,mecoprop,622,443,629,413,619,878,"1,484","1,847",,1.29,9.90,0.64,1.45,3.00,0.23,0.74,0.7
,clopyralid,-,-,262,423,404,500,"1,394","1,774",,-,-,0.24,0.50,-,-,0.43,0.73
,diuron,923,350,757,421,644,988,"1,560","2,021",,1.63,-,1.06,3.09,1.58,0.20,0.38,0.4
,simazine,"1,215",533,890,508,650,"1,076","1,464","2,146",,0.40,0.70,1.24,1.38,1.40,0.28,0.34,0.51
,chlorotoluron,926,350,715,433,727,975,"1,563","2,008",,0.65,0.30,1.12,0.23,0.55,0.30,0.26,0.45
,pirimicarb,-,-,55,93,22,75,805,"1,636",,-,-,-,-,-,-,0.25,0.0
,metazachlor,-,-,-,-,-,60,788,"1,681",,-,-,-,-,-,-,0.25,0.3
,cyanazine,-,-,314,314,152,240,933,"1,669",,-,-,1.08,-,-,0.42,0.21,0.18
,monuron,-,-,72,72,141,120,936,"1,592",,-,-,-,-,-,0.83,0.21,0.38
,triclopyr,451,362,580,382,468,793,"1,456","1,833",,-,0.60,0.34,-,0.26,-,0.14,0.16
,dichlorprop,535,319,506,394,455,836,"1,480","1,843",,-,4.70,-,-,0.22,-,0.14,0.11
,terbutryn,961,286,599,384,365,492,980,"1,764",,0.73,0.70,0.17,-,-,-,0.1,0.11
,"2,4-D",580,384,564,373,560,829,"1,174","1,496",,-,1.56,0.18,0.27,0.18,0.24,0.09,0.07
,dicamba,583,381,618,406,470,528,"1,231","1,550",,-,2.89,0.16,-,-,0.38,0.08,0.19
,trietazine,635,274,398,301,298,707,"1,194","1,977",,0.47,0.40,0.25,-,0.34,-,0.08,0.15
,MCPA,606,384,610,407,488,839,"1,454","1,840",,0.20,2.34,-,-,0.83,0.24,0.07,0.11
,isoproturon,963,371,756,435,517,"1,007","1,563","2,020",,1.97,1.10,0.53,1.61,0.19,0.20,0.06,0.59
Source:  Environment Agency,,,,,,,,,,,,,,,,,,
1,Data shown excludes known polluted sites and pollution incidents ,,,,,,,,,,,,,,,,,
