"TABLE 13 ADMISSIONS BY ADMISSION TYPE, BY HEALTH ORGANISATION, 2014 - 2016",,,,,,,,,,,,
,ADMISSION TYPE,,,,,,,,,,,
Year / Organisation,Planned - following surgery,,Unplanned - following surgery,,Planned - other,,Unplanned - other,,Unknown,,Total,
,n,(%),n,(%),n,(%),n,(%),n,(%),n,(%)
2014,,,,,,,,,,,,
A,162,(25.0),59,(9.1),47,(7.3),379,(58.6),0,(0.0),647,(3.3)
B,2,(0.8),2,(0.8),11,(4.2),247,(93.2),3,(1.1),265,(1.3)
C,49,(16.6),26,(8.8),4,(1.4),217,(73.3),0,(0.0),296,(1.5)
D,199,(26.4),47,(6.2),40,(5.3),468,(62.1),0,(0.0),754,(3.8)
E1,179,(19.1),55,(5.9),171,(18.2),534,(56.9),0,(0.0),939,(4.7)
E2,515,(65.0),16,(2.0),81,(10.2),180,(22.7),0,(0.0),792,(4.0)
F,533,(42.4),28,(2.2),101,(8.0),596,(47.4),0,(0.0),"1,258",(6.4)
G,0,(0.0),0,(0.0),0,(0.0),12,(100.0),0,(0.0),12,(0.1)
H,130,(24.1),44,(8.2),47,(8.7),318,(59.0),0,(0.0),539,(2.7)
I,401,(50.3),43,(5.4),24,(3.0),330,(41.4),0,(0.0),798,(4.0)
K2,146,(50.9),7,(2.4),36,(12.5),98,(34.1),0,(0.0),287,(1.5)
K3,167,(29.3),61,(10.7),14,(2.5),327,(57.5),0,(0.0),569,(2.9)
L,27,(8.9),10,(3.3),18,(5.9),248,(81.8),0,(0.0),303,(1.5)
M,79,(19.6),26,(6.4),6,(1.5),253,(62.6),40,(9.9),404,(2.0)
N,250,(34.4),38,(5.2),11,(1.5),422,(58.1),5,(0.7),726,(3.7)
O,387,(56.5),1,(0.1),55,(8.0),242,(35.3),0,(0.0),685,(3.5)
P,415,(41.0),29,(2.9),15,(1.5),554,(54.7),0,(0.0),"1,013",(5.1)
Q,74,(14.3),35,(6.8),29,(5.6),379,(73.3),0,(0.0),517,(2.6)
R,295,(33.0),29,(3.2),35,(3.9),534,(59.8),0,(0.0),893,(4.5)
S,16,(12.1),4,(3.0),2,(1.5),110,(83.3),0,(0.0),132,(0.7)
T,129,(27.2),20,(4.2),2,(0.4),323,(68.0),1,(0.2),475,(2.4)
U,20,(6.2),7,(2.2),3,(0.9),295,(90.8),0,(0.0),325,(1.6)
V,403,(30.0),112,(8.3),48,(3.6),782,(58.1),0,(0.0),"1,345",(6.8)
W,277,(40.1),37,(5.4),17,(2.5),358,(51.9),1,(0.1),690,(3.5)
X,242,(30.1),21,(2.6),201,(25.0),341,(42.4),0,(0.0),805,(4.1)
Y,163,(43.0),20,(5.3),3,(0.8),193,(50.9),0,(0.0),379,(1.9)
Z,46,(10.6),22,(5.1),23,(5.3),338,(78.2),3,(0.7),432,(2.2)
ZA,534,(49.5),50,(4.6),20,(1.9),472,(43.7),3,(0.3),"1,079",(5.5)
ZB,139,(27.4),34,(6.7),23,(4.5),311,(61.3),0,(0.0),507,(2.6)
ZC,426,(41.8),45,(4.4),155,(15.2),394,(38.6),0,(0.0),"1,020",(5.2)
ZD,113,(23.9),34,(7.2),8,(1.7),318,(67.2),0,(0.0),473,(2.4)
ZE,211,(70.1),5,(1.7),47,(15.6),37,(12.3),1,(0.3),301,(1.5)
ZF,67,(54.9),3,(2.5),15,(12.3),37,(30.3),0,(0.0),122,(0.6)
Total,"6,796",(34.4),970,(4.9),"1,312",(6.6),"10,647",(53.8),57,(0.3),"19,782",(100.0)
2015,,,,,,,,,,,,
A,148,(24.0),41,(6.7),46,(7.5),379,(61.5),2,(0.3),616,(3.1)
C,117,(25.1),26,(5.6),10,(2.1),313,(67.2),0,(0.0),466,(2.3)
D,132,(20.5),68,(10.6),21,(3.3),422,(65.6),0,(0.0),643,(3.2)
E1,181,(18.2),56,(5.6),191,(19.2),569,(57.1),0,(0.0),997,(5.0)
E2,542,(66.4),20,(2.5),64,(7.8),190,(23.3),0,(0.0),816,(4.1)
F,478,(40.2),61,(5.1),71,(6.0),580,(48.7),0,(0.0),"1,190",(6.0)
G,0,(0.0),2,(9.1),0,(0.0),19,(86.4),1,(4.5),22,(0.1)
H,114,(21.1),48,(8.9),48,(8.9),331,(61.2),0,(0.0),541,(2.7)
I,408,(51.5),58,(7.3),15,(1.9),312,(39.3),0,(0.0),793,(4.0)
K2,136,(52.9),3,(1.2),35,(13.6),83,(32.3),0,(0.0),257,(1.3)
K3,158,(26.4),77,(12.9),17,(2.8),345,(57.7),1,(0.2),598,(3.0)
L,30,(9.3),8,(2.5),12,(3.7),272,(84.2),1,(0.3),323,(1.6)
M,169,(24.6),41,(6.0),19,(2.8),457,(66.6),0,(0.0),686,(3.4)
N,316,(38.3),29,(3.5),7,(0.8),474,(57.4),0,(0.0),826,(4.1)
O,405,(60.5),4,(0.6),35,(5.2),225,(33.6),0,(0.0),669,(3.3)
P,400,(41.4),42,(4.3),15,(1.6),509,(52.7),0,(0.0),966,(4.8)
Q,67,(14.1),25,(5.3),22,(4.6),361,(75.8),1,(0.2),476,(2.4)
R,334,(34.9),41,(4.3),20,(2.1),562,(58.7),0,(0.0),957,(4.8)
S,14,(11.4),1,(0.8),5,(4.1),103,(83.7),0,(0.0),123,(0.6)
T,225,(35.2),19,(3.0),11,(1.7),383,(59.9),1,(0.2),639,(3.2)
U,27,(8.5),15,(4.7),4,(1.3),271,(85.5),0,(0.0),317,(1.6)
V,397,(29.6),133,(9.9),32,(2.4),781,(58.2),0,(0.0),"1,343",(6.7)
W,304,(39.9),41,(5.4),22,(2.9),394,(51.8),0,(0.0),761,(3.8)
