Table 1.43 Trafford Reported Road Casualty Data by Age Group 1989-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1989,1990.0,1991,1992.0,1993,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0
Pedestrian Casualties,,,,,,,,,,,,,,,,,,,,,,,,,,,
Under 16 years,Male,61,47.0,48,52.0,36,42.0,34.0,41.0,42.0,31.0,33.0,34.0,30.0,24.0,22.0,12.0,24.0,22.0,17.0,10.0,17.0,12.0,13.0,14.0,8.0,12.0
,Female,36,38.0,33,24.0,30,32.0,27.0,32.0,18.0,26.0,21.0,28.0,18.0,20.0,10.0,11.0,14.0,10.0,11.0,12.0,5.0,9.0,7.0,13.0,10.0,6.0
16 – 59,Male,58,50.0,47,45.0,54,49.0,46.0,43.0,38.0,35.0,46.0,43.0,30.0,33.0,35.0,41.0,32.0,30.0,22.0,35.0,25.0,22.0,19.0,19.0,13.0,13.0
,Female,39,34.0,31,30.0,22,31.0,21.0,34.0,22.0,28.0,25.0,23.0,22.0,23.0,20.0,30.0,17.0,15.0,18.0,21.0,16.0,13.0,15.0,10.0,10.0,6.0
Over 59 years,Male,20,17.0,12,17.0,13,11.0,9.0,5.0,14.0,17.0,5.0,10.0,13.0,11.0,6.0,6.0,4.0,2.0,5.0,8.0,9.0,4.0,6.0,3.0,3.0,9.0
,Female,24,27.0,22,22.0,23,21.0,9.0,14.0,10.0,15.0,21.0,19.0,12.0,12.0,12.0,10.0,5.0,8.0,9.0,10.0,6.0,6.0,12.0,4.0,4.0,5.0
,Total,238,213.0,193,190.0,178,186.0,146.0,169.0,144.0,152.0,151.0,157.0,125.0,123.0,105.0,110.0,96.0,87.0,82.0,96.0,78.0,66.0,72.0,63.0,48.0,51.0
Cyclists (Rider Only),,,,,,,,,,,,,,,,,,,,,,,,,,,
Under 16 years,Male,46,49.0,32,21.0,30,37.0,29.0,24.0,32.0,24.0,28.0,17.0,13.0,13.0,11.0,18.0,15.0,19.0,8.0,12.0,11.0,7.0,5.0,5.0,2.0,7.0
,Female,10,5.0,8,15.0,6,7.0,7.0,9.0,6.0,3.0,6.0,2.0,7.0,3.0,7.0,0.0,2.0,3.0,1.0,3.0,3.0,0.0,3.0,0.0,0.0,1.0
16 – 59,Male,87,71.0,56,63.0,57,53.0,63.0,70.0,70.0,59.0,60.0,57.0,55.0,47.0,39.0,29.0,35.0,44.0,52.0,62.0,70.0,45.0,51.0,45.0,42.0,46.0
,Female,26,16.0,17,20.0,16,21.0,18.0,19.0,12.0,18.0,14.0,19.0,9.0,10.0,13.0,2.0,7.0,15.0,11.0,17.0,9.0,12.0,9.0,12.0,4.0,12.0
Over 59 years,Male,7,12.0,14,10.0,4,5.0,7.0,7.0,11.0,3.0,6.0,5.0,2.0,5.0,7.0,4.0,7.0,7.0,7.0,2.0,3.0,2.0,4.0,3.0,2.0,3.0
,Female,4,3.0,4,4.0,3,3.0,2.0,3.0,3.0,1.0,3.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
